,aX,aY,aZ,gX,gY,gZ,index,middle,ring,little,thumb,Character
0,0.58,0.74,0.41,1.77,-2.26,-6.71,310,236,468,413,219,0
1,0.58,0.74,0.39,2.93,1.77,-8.3,309,236,464,413,220,0
2,0.53,0.73,0.41,-5.25,-5.68,-4.82,310,235,467,412,223,0
3,0.57,0.75,0.39,2.44,-6.41,-1.83,312,238,459,412,228,0
4,0.57,0.76,0.39,-1.59,-3.17,-4.39,309,238,465,416,220,0
5,0.51,0.74,0.41,-1.16,-5.0,-1.1,310,238,464,413,219,0
6,0.55,0.74,0.42,-4.21,-2.14,3.91,311,236,467,413,223,0
7,0.59,0.76,0.39,7.45,-3.23,-2.81,309,236,465,413,223,0
8,0.55,0.71,0.42,-4.15,-3.42,-0.98,312,238,465,414,226,0
9,0.58,0.75,0.4,2.26,-2.93,-3.11,311,246,465,413,223,0
10,0.52,0.69,0.44,-2.14,-0.61,-3.17,308,239,464,412,222,0
11,0.5,0.77,0.46,7.81,1.71,-7.39,311,240,461,413,224,0
12,0.5,0.71,0.44,2.08,-2.5,-1.28,309,240,459,417,225,0
13,0.45,0.83,0.47,2.32,2.08,-2.87,305,237,471,414,224,0
14,0.45,0.82,0.43,-3.48,-3.85,4.39,307,235,463,415,224,0
15,0.46,0.83,0.42,4.52,-1.16,-3.05,312,239,460,414,224,0
16,0.44,0.8,0.43,3.48,0.49,-2.62,308,240,465,414,228,0
17,0.45,0.79,0.42,1.04,-6.35,1.16,311,241,469,413,226,0
18,0.46,0.81,0.44,-0.61,-3.3,-2.08,315,242,466,412,228,0
19,0.46,0.77,0.42,1.04,-3.42,-0.98,310,242,466,414,226,0
20,0.46,0.79,0.42,-0.73,-1.95,-1.28,313,237,468,411,227,0
21,0.46,0.77,0.42,-1.53,-2.81,-3.17,314,241,467,412,228,0
22,0.48,0.77,0.41,1.16,-3.97,-2.01,315,240,466,415,229,0
23,0.48,0.79,0.41,0.24,-1.4,-2.44,311,239,467,410,227,0
24,0.47,0.79,0.42,-2.32,-2.69,-3.85,309,242,468,416,227,0
25,0.47,0.8,0.43,-2.32,-2.08,-2.14,313,241,466,415,228,0
26,0.46,0.77,0.42,1.71,-0.24,-4.09,310,243,467,415,227,0
27,0.47,0.79,0.42,0.12,-2.2,-2.5,311,241,474,410,268,0
28,0.46,0.79,0.43,1.34,-2.81,-3.17,314,239,473,415,226,0
29,0.46,0.8,0.42,0.73,-2.5,-3.48,317,242,471,415,229,0
30,0.48,0.79,0.42,1.65,-2.56,-3.42,310,241,468,416,229,0
31,0.46,0.78,0.43,1.04,-1.4,-1.95,311,240,463,413,231,0
32,0.47,0.79,0.43,-0.37,-3.36,-2.32,311,237,470,409,227,0
33,0.45,0.78,0.42,2.14,-1.04,-2.81,312,247,467,412,229,0
34,0.46,0.79,0.43,-1.04,-2.44,-4.21,312,240,465,413,231,0
35,0.47,0.8,0.4,5.19,-2.75,-2.56,308,236,471,413,228,0
36,0.47,0.77,0.4,2.14,-2.14,-2.32,309,237,464,414,234,0
37,0.48,0.79,0.39,-0.12,-3.17,-1.22,309,240,465,414,226,0
38,0.47,0.79,0.39,1.77,-3.17,-2.2,309,239,468,412,266,0
39,0.48,0.79,0.39,2.44,-5.62,0.24,312,237,464,414,229,0
40,0.48,0.78,0.39,-0.18,-5.0,1.71,308,237,467,417,226,0
41,0.49,0.79,0.38,2.14,-5.19,-1.77,310,240,468,410,229,0
42,0.48,0.79,0.39,0.61,-3.11,-1.89,311,239,467,414,228,0
43,0.49,0.79,0.38,2.26,-2.62,-2.93,308,242,469,415,226,0
44,0.49,0.8,0.39,0.43,-2.87,-2.32,312,238,468,416,229,0
45,0.49,0.8,0.38,1.22,-2.26,-0.43,311,237,471,411,228,0
46,0.49,0.8,0.39,0.31,-2.99,-4.46,311,238,471,417,227,0
47,0.48,0.79,0.39,2.81,-3.42,-3.54,309,239,472,413,231,0
48,0.47,0.8,0.38,4.03,-4.76,-2.01,310,237,470,412,228,0
49,0.48,0.8,0.38,0.79,-4.09,-3.3,309,236,467,414,232,0
50,0.49,0.79,0.37,1.28,-2.5,-1.22,312,237,466,416,231,0
51,0.49,0.79,0.37,2.2,-2.56,-0.55,311,238,481,415,227,0
52,0.49,0.78,0.38,1.28,-2.69,-2.99,310,238,462,414,229,0
53,0.48,0.8,0.4,1.34,-2.01,-4.82,319,239,463,415,229,0
54,0.49,0.8,0.38,0.31,-2.75,-1.71,308,241,470,412,225,0
55,0.48,0.78,0.38,0.61,-2.81,-0.24,313,237,472,412,232,0
56,0.49,0.8,0.38,2.75,-2.44,-2.81,312,238,469,414,231,0
57,0.49,0.79,0.37,-0.31,-3.48,-3.11,311,238,467,411,229,0
58,0.47,0.81,0.38,-1.65,-3.23,-4.58,312,240,470,416,233,0
59,0.49,0.79,0.36,0.92,-4.09,-1.83,315,241,471,415,225,0
60,0.5,0.81,0.36,-1.53,-4.03,-0.67,313,240,471,414,223,0
61,0.5,0.8,0.37,3.66,-3.91,-2.32,315,244,468,411,228,0
62,0.5,0.78,0.36,1.28,-2.44,-1.04,313,243,467,413,244,0
63,0.5,0.78,0.37,2.26,-4.39,-1.4,313,243,466,415,231,0
64,0.49,0.79,0.36,-2.08,-2.99,-2.93,313,239,471,412,231,0
65,0.49,0.79,0.36,-1.22,-2.93,-3.66,317,240,470,415,227,0
66,0.48,0.8,0.38,0.37,-2.2,-3.42,313,244,465,417,232,0
67,0.49,0.77,0.37,-1.71,-2.44,-2.08,313,241,473,415,231,0
68,0.46,0.79,0.36,-3.36,-4.82,-4.82,314,238,468,410,231,0
69,0.49,0.79,0.36,-0.43,-3.05,-1.34,313,240,470,415,232,0
70,0.49,0.8,0.37,0.61,-2.81,-2.81,317,245,468,415,229,0
71,0.48,0.8,0.37,1.4,-1.28,-4.27,312,239,481,415,232,0
72,0.49,0.8,0.37,1.89,-2.69,-3.11,317,246,473,411,231,0
73,0.48,0.79,0.38,-0.12,-1.65,-3.23,314,243,468,415,230,0
74,0.49,0.79,0.36,0.0,-2.44,-3.05,311,244,482,415,230,0
75,0.5,0.8,0.37,-0.49,-3.6,-0.24,315,240,462,416,229,0
76,0.49,0.78,0.36,-0.18,-2.81,-2.44,314,241,464,416,228,0
77,0.5,0.79,0.38,-0.06,-3.23,-2.93,314,241,470,415,231,0
78,0.46,0.79,0.37,-0.61,-2.38,-3.23,322,242,468,416,231,0
79,0.49,0.79,0.39,2.26,-1.71,-4.33,314,241,469,414,226,0
80,0.48,0.8,0.38,-0.79,-2.93,-2.44,312,241,463,412,234,0
81,0.49,0.78,0.39,-0.06,-3.54,-2.01,312,242,473,414,234,0
82,0.48,0.8,0.37,0.49,-4.21,-2.93,318,240,461,415,233,0
83,0.48,0.79,0.38,-0.49,-1.71,-2.38,310,242,467,414,231,0
84,0.48,0.79,0.37,-1.83,-2.44,-2.38,316,239,467,416,231,0
85,0.49,0.81,0.38,-0.67,-2.69,-3.72,316,242,466,415,231,0
86,0.46,0.8,0.39,-1.4,-0.67,-4.46,316,241,470,418,233,0
87,0.44,0.84,0.37,-3.3,-16.24,-9.58,316,239,471,416,232,0
88,0.46,0.8,0.4,-1.22,-11.84,-10.38,313,240,466,415,231,0
89,0.45,0.77,0.38,-4.21,-1.71,5.19,315,245,467,417,231,0
90,0.49,0.78,0.36,-0.12,3.66,5.98,317,244,464,417,234,0
91,0.48,0.75,0.36,2.32,3.66,10.99,318,240,468,416,232,0
92,0.47,0.82,0.42,-0.06,6.1,-2.75,316,242,468,412,230,0
93,0.49,0.8,0.39,2.5,-4.27,-1.53,318,242,471,415,234,0
94,0.44,0.78,0.42,1.4,-0.18,1.53,315,238,469,419,233,0
95,0.49,0.77,0.4,-0.06,-4.82,-2.26,316,242,467,414,233,0
96,0.48,0.78,0.4,0.79,-4.03,-2.62,316,241,468,416,233,0
97,0.5,0.8,0.4,0.49,-1.53,-3.17,316,246,478,414,233,0
98,0.5,0.8,0.41,2.32,-1.28,-2.81,318,243,467,419,251,0
