,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.93,-0.36,-0.07,0.43,-1.83,-2.2,224,294,398,465,275,2
1,0.92,-0.36,-0.06,5.43,-3.97,-4.46,227,294,397,463,271,2
2,0.93,-0.36,-0.06,1.22,-2.32,-4.64,224,295,396,468,278,2
3,0.93,-0.35,-0.07,2.62,-2.56,-2.75,221,300,398,465,275,2
4,0.93,-0.35,-0.06,1.28,-2.14,-4.03,228,301,404,475,280,2
5,0.93,-0.35,-0.05,2.93,-2.75,-5.19,226,299,407,464,275,2
6,0.97,-0.32,-0.08,-3.11,-3.11,-5.8,215,283,411,457,276,2
7,0.94,-0.32,-0.07,2.44,-1.71,-2.44,214,284,409,466,277,2
8,0.98,-0.29,-0.07,-0.85,-1.53,-1.53,212,283,415,466,277,2
9,0.84,-0.4,-0.07,-5.37,-2.26,-12.51,214,286,415,469,277,2
10,0.85,-0.37,-0.04,0.31,2.5,9.16,214,284,412,461,277,2
11,0.96,-0.33,-0.11,21.48,-23.99,14.04,214,285,411,461,272,2
12,0.95,-0.34,-0.09,6.29,-2.93,-5.25,215,288,408,461,275,2
13,0.92,-0.36,-0.05,2.62,1.28,-2.38,215,289,410,461,272,2
14,0.94,-0.36,0.0,4.03,-2.75,-1.77,222,292,402,461,273,2
15,0.94,-0.37,0.0,-0.73,1.65,-2.01,219,291,400,454,286,2
16,0.95,-0.35,0.01,-9.34,-4.52,-5.55,220,288,402,454,291,2
17,0.94,-0.35,-0.01,2.2,-4.39,-2.08,221,288,402,472,290,2
18,0.96,-0.33,0.02,-2.01,-3.11,-4.03,225,286,408,457,292,2
19,0.96,-0.32,0.02,0.67,-4.82,-1.4,221,286,418,460,289,2
20,0.93,-0.32,0.02,0.49,-4.46,-1.46,219,285,419,464,290,2
21,0.95,-0.32,0.0,0.06,-3.05,-3.11,223,290,413,460,291,2
22,0.94,-0.32,0.01,0.18,-3.78,-2.01,220,284,413,465,293,2
23,0.95,-0.33,-0.0,0.31,-3.72,-2.56,220,285,412,460,294,2
24,0.95,-0.32,0.0,-0.24,-3.85,-3.85,218,288,415,456,288,2
25,0.93,-0.31,-0.01,-1.83,-9.83,-4.03,220,285,415,461,293,2
26,0.97,-0.24,0.02,-9.64,16.05,-12.45,221,285,412,463,288,2
27,0.94,-0.28,-0.03,-6.41,-2.08,2.08,221,284,413,463,293,2
28,0.86,-0.33,-0.06,2.56,1.83,-7.02,220,284,419,458,292,2
29,0.96,-0.28,0.03,-0.49,0.98,-3.78,223,287,410,466,293,2
30,0.92,-0.33,0.02,-9.28,-0.12,-0.31,216,288,410,463,298,2
31,0.93,-0.28,0.0,-13.0,0.0,-2.32,222,288,411,462,295,2
32,0.97,-0.3,-0.01,1.77,0.43,-3.54,221,285,410,463,295,2
33,0.97,-0.29,0.03,2.32,-2.99,-4.09,219,284,412,464,294,2
34,0.96,-0.29,0.03,-4.21,-0.37,-4.88,220,289,409,463,295,2
35,0.98,-0.29,0.01,1.59,-5.0,-3.3,223,284,408,460,291,2
36,0.97,-0.29,-0.0,0.73,-3.3,-2.26,220,287,407,469,296,2
37,0.96,-0.28,0.0,-3.23,-2.38,-4.88,219,287,409,461,297,2
38,1.0,-0.28,-0.03,-1.53,-6.53,-0.55,221,287,407,465,295,2
39,0.95,-0.3,-0.03,5.86,-14.16,-2.56,221,287,407,464,296,2
40,0.96,-0.27,-0.02,0.24,-3.85,-2.81,221,288,410,466,296,2
41,0.94,-0.3,-0.04,-1.22,-3.54,-4.27,219,290,407,459,296,2
42,0.95,-0.32,-0.1,2.75,-3.85,-4.46,221,290,408,463,294,2
43,0.98,-0.28,-0.09,-14.4,-7.08,-4.33,221,289,409,459,296,2
44,0.97,-0.26,-0.06,2.08,-1.28,-4.58,219,290,403,460,293,2
45,0.95,-0.28,-0.05,3.48,-2.32,-1.28,221,286,406,465,295,2
46,0.96,-0.27,-0.08,1.16,-3.17,-3.23,221,288,408,467,296,2
47,0.97,-0.27,-0.08,-0.12,-1.59,-4.15,221,290,406,458,296,2
48,0.95,-0.27,-0.05,0.37,-1.83,-4.94,224,290,406,464,296,2
49,0.94,-0.26,-0.04,4.27,-8.36,-6.1,220,286,402,461,298,2
50,0.97,-0.25,-0.05,0.49,-1.89,-1.71,223,286,405,468,295,2
51,0.95,-0.28,-0.05,3.97,-2.93,-0.61,221,284,406,463,298,2
52,0.98,-0.26,-0.07,-3.17,-1.16,5.07,217,289,406,466,296,2
53,0.96,-0.29,-0.11,4.94,-1.71,-5.74,220,288,403,463,296,2
54,0.98,-0.28,-0.13,-6.96,-7.26,-4.52,220,288,408,462,296,2
55,0.96,-0.28,-0.12,2.99,-2.44,-4.39,224,288,402,467,287,2
56,0.96,-0.3,-0.16,17.94,-30.76,7.32,222,286,403,463,296,2
57,0.97,-0.24,-0.1,6.35,-5.43,0.73,221,285,403,463,299,2
58,0.96,-0.26,-0.13,-1.1,0.73,-4.52,223,287,403,462,300,2
59,0.97,-0.25,-0.11,0.18,-2.93,-1.34,217,288,399,460,293,2
60,0.97,-0.25,-0.11,0.24,-4.58,-1.77,224,289,405,459,295,2
61,0.97,-0.24,-0.11,0.06,-4.82,-3.11,223,286,401,463,295,2
62,0.98,-0.23,-0.1,-0.24,-0.61,-4.52,220,292,398,454,290,2
63,0.96,-0.22,-0.1,0.61,-3.66,-2.93,221,290,400,445,295,2
64,0.97,-0.23,-0.09,0.61,-1.16,-2.44,223,290,405,449,295,2
65,0.98,-0.22,-0.11,2.5,-3.36,-1.77,224,296,403,428,295,2
66,0.97,-0.22,-0.1,0.06,-3.05,-2.62,223,291,405,436,294,2
