,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.95,-0.29,0.02,17.4,0.55,1.89,190,471,414,471,284,3
1,0.96,-0.29,0.01,1.34,-2.2,-2.2,194,471,411,469,285,3
2,0.98,-0.3,0.01,-3.17,1.22,-6.04,195,475,415,476,284,3
3,0.96,-0.28,0.05,2.75,-8.36,1.46,199,477,412,481,285,3
4,0.95,-0.28,0.05,-1.34,-0.55,-6.1,200,477,411,479,288,3
5,0.96,-0.29,0.04,1.71,-3.72,-2.2,204,476,411,477,288,3
6,0.96,-0.28,0.02,-2.01,-0.85,-4.94,202,475,412,477,290,3
7,0.98,-0.26,0.04,-4.76,-2.08,-8.67,201,478,413,476,290,3
8,0.95,-0.28,0.02,0.85,-8.24,0.61,203,482,411,478,289,3
9,0.95,-0.3,-0.01,4.03,-6.59,-1.65,201,476,413,476,293,3
10,0.76,-0.29,0.13,37.11,3.54,-6.53,200,479,409,479,288,3
11,1.04,-0.22,-0.3,70.5,-61.4,53.53,198,479,406,474,288,3
12,0.94,-0.3,-0.05,3.66,-10.38,-7.08,201,480,404,473,289,3
13,1.0,-0.27,-0.12,3.42,-7.87,1.28,199,482,404,473,290,3
14,0.95,-0.28,-0.04,6.47,5.8,-5.92,200,484,408,471,289,3
15,0.95,-0.26,-0.01,-0.24,2.2,-6.35,201,480,404,474,290,3
16,0.95,-0.26,-0.01,-0.49,-3.91,-2.99,203,478,407,478,290,3
17,0.95,-0.27,-0.01,-4.03,0.61,-5.49,201,482,406,474,291,3
18,0.97,-0.25,-0.02,-1.89,0.85,-4.15,200,481,405,473,289,3
19,0.96,-0.25,-0.02,5.37,-4.09,-2.5,203,480,406,469,293,3
20,0.97,-0.26,-0.01,0.79,-3.17,-2.87,199,479,407,477,292,3
21,0.96,-0.24,-0.0,-1.16,-0.49,-3.91,228,477,408,471,290,3
22,0.98,-0.24,-0.01,-0.55,-3.72,-4.7,203,479,405,472,293,3
23,0.95,-0.24,-0.02,-0.12,-5.13,-6.41,203,480,406,473,291,3
24,0.98,-0.2,-0.02,-0.79,-2.5,0.79,212,480,405,473,295,3
25,0.87,-0.21,0.0,4.64,-20.51,1.28,202,480,411,472,295,3
26,1.05,-0.23,-0.16,-8.91,-1.34,-9.83,206,476,405,472,292,3
27,0.9,-0.17,-0.04,6.35,-23.07,2.14,204,477,405,466,293,3
28,0.98,-0.05,-0.2,-0.85,-15.63,16.54,205,478,402,472,290,3
29,0.93,-0.2,-0.02,3.85,-2.32,13.92,200,487,403,477,290,3
30,0.97,-0.22,-0.06,-10.5,-6.16,-13.79,226,481,404,471,293,3
31,0.97,-0.19,-0.04,-2.44,-1.4,4.15,203,479,403,471,293,3
32,0.97,-0.19,-0.05,-1.28,-5.31,-4.21,203,476,403,470,296,3
33,0.97,-0.18,-0.04,-3.85,-4.21,-0.73,199,479,405,467,293,3
34,1.0,-0.17,-0.05,-1.1,-3.54,-2.01,202,481,403,470,296,3
35,0.99,-0.17,-0.06,2.99,-5.68,-1.04,204,479,402,466,296,3
36,0.99,-0.2,-0.07,-0.18,-4.7,-1.53,202,480,400,472,293,3
37,1.0,-0.18,-0.07,0.06,-5.74,-0.73,203,479,404,468,294,3
38,0.98,-0.18,-0.07,1.59,-3.17,-1.95,204,479,403,468,292,3
39,0.99,-0.17,-0.08,-0.18,-2.38,-3.85,205,478,402,473,294,3
40,0.98,-0.15,-0.06,-1.34,0.0,-4.39,201,478,405,470,293,3
41,0.98,-0.17,-0.07,-0.73,-1.83,-4.15,204,477,403,468,295,3
42,0.99,-0.18,-0.06,-0.73,-0.06,-2.62,204,476,404,472,290,3
43,0.99,-0.15,-0.04,1.4,-3.36,-3.78,206,478,403,469,304,3
44,0.98,-0.18,-0.07,-0.18,-3.48,-5.86,205,480,405,467,292,3
45,0.99,-0.17,-0.07,-0.49,-1.71,-5.25,203,480,404,468,295,3
46,0.99,-0.15,-0.06,0.31,-3.48,-4.46,216,480,403,469,296,3
47,0.99,-0.15,-0.06,-0.12,-2.62,-4.52,205,475,403,471,293,3
48,0.99,-0.14,-0.05,1.83,-1.65,-1.46,214,479,404,470,295,3
49,0.98,-0.13,-0.04,0.12,-2.75,-2.32,204,480,402,469,296,3
50,1.0,-0.14,-0.05,0.73,-4.58,-3.54,214,479,406,484,298,3
51,0.99,-0.15,-0.04,0.43,-5.0,-4.27,206,478,403,464,295,3
52,0.99,-0.12,-0.05,-3.05,-2.62,-5.8,207,480,403,464,299,3
53,1.0,-0.11,-0.04,-4.39,-1.89,-7.14,207,478,402,469,294,3
54,0.98,-0.09,-0.03,-0.85,-2.32,-3.85,210,480,402,471,296,3
55,1.0,-0.12,-0.07,2.62,0.24,-4.09,205,475,407,468,294,3
56,0.99,-0.13,-0.03,1.77,-8.24,3.54,208,479,399,466,299,3
57,0.98,-0.15,-0.03,0.92,-3.36,-2.32,209,478,404,468,294,3
58,0.99,-0.14,-0.05,0.06,-3.23,-4.7,209,479,402,472,296,3
59,0.99,-0.12,-0.04,-1.95,-2.2,-2.99,210,477,402,467,295,3
60,1.0,-0.13,-0.05,-2.32,-3.3,-4.88,207,476,402,468,293,3
61,0.98,-0.13,-0.04,0.49,-3.72,-2.99,205,478,401,466,294,3
62,0.99,-0.13,-0.05,0.79,-4.64,-1.28,212,480,403,472,298,3
63,0.99,-0.12,-0.04,-0.98,-1.22,-3.91,209,479,399,467,294,3
64,1.0,-0.12,-0.05,-0.24,-3.11,-2.93,208,478,395,472,297,3
65,1.01,-0.12,-0.07,2.44,-6.04,0.49,207,477,395,471,303,3
66,0.97,-0.11,-0.03,-2.75,-2.38,-6.53,207,474,401,468,297,3
67,0.99,-0.11,-0.05,0.31,-1.4,-2.87,211,477,401,465,297,3
68,0.98,-0.12,-0.06,0.79,-2.62,0.06,210,479,400,471,296,3
69,1.0,-0.12,-0.05,3.78,-2.93,-1.71,209,477,399,465,294,3
70,1.0,-0.11,-0.04,4.58,-1.59,-7.75,209,476,399,471,299,3
71,0.99,-0.12,-0.05,-1.16,-1.53,-3.23,211,478,398,469,296,3
72,0.98,-0.11,-0.05,-0.43,-2.56,-2.87,211,474,399,469,299,3
73,0.99,-0.12,-0.05,-0.43,-2.75,-2.01,211,476,400,470,297,3
74,1.0,-0.12,-0.05,0.85,-3.6,-1.46,208,478,398,468,298,3
75,0.99,-0.12,-0.04,1.22,-3.6,-2.01,208,477,401,467,293,3
76,0.99,-0.13,-0.06,0.37,-2.81,-2.08,210,475,404,468,296,3
77,0.99,-0.13,-0.05,-0.06,-3.54,0.67,209,479,398,468,301,3
78,1.0,-0.14,-0.06,-1.16,-3.3,-2.01,198,480,415,469,298,3
79,0.99,-0.13,-0.06,-1.1,-4.27,-2.32,209,476,402,467,295,3
80,1.0,-0.12,-0.06,0.43,-2.56,-3.48,212,476,398,469,297,3
81,0.99,-0.13,-0.05,2.5,-2.01,-1.89,208,477,398,472,296,3
82,0.99,-0.14,-0.05,-1.71,-3.97,0.98,210,476,400,471,298,3
83,0.99,-0.15,-0.05,0.49,-2.93,-1.89,213,477,401,472,297,3
84,0.99,-0.16,-0.08,-2.26,-4.64,0.37,210,476,400,472,300,3
85,1.03,-0.12,-0.02,-8.0,-1.77,2.01,209,475,399,469,294,3
86,0.96,-0.23,-0.08,-4.7,1.16,-3.11,209,477,402,466,293,3
87,0.94,-0.32,-0.08,-13.31,3.72,20.75,209,480,398,467,295,3
88,0.89,-0.4,-0.09,-2.44,-8.67,-5.31,210,479,399,464,294,3
89,1.0,-0.29,-0.03,19.47,-1.28,-7.69,206,476,401,469,300,3
90,0.96,-0.34,-0.09,20.51,-20.57,-7.14,208,476,397,463,297,3
91,0.9,-0.22,0.07,21.42,12.33,-15.08,208,476,398,471,294,3
92,1.07,-0.13,-0.03,5.55,1.04,-3.6,206,472,399,469,298,3
93,1.0,-0.17,0.12,1.1,-21.73,9.22,207,472,399,469,298,3
94,0.98,-0.21,0.05,1.28,-5.37,-2.75,210,476,398,464,299,3
95,0.98,-0.2,0.06,-3.05,-5.86,-2.08,207,475,400,469,294,3
96,0.99,-0.17,0.07,0.49,-3.85,-2.56,210,478,406,463,299,3
97,1.0,-0.18,0.01,-4.27,-8.24,-3.23,208,473,399,465,298,3
98,0.99,-0.14,0.04,-0.49,-3.23,-2.56,207,475,401,466,298,3
99,0.98,-0.17,0.03,-2.75,-7.39,1.34,204,477,398,464,297,3
100,1.02,-0.15,0.01,2.38,-3.97,-2.38,209,472,396,470,295,3
101,1.01,-0.16,0.01,-0.73,-3.42,-3.11,206,474,399,464,296,3
102,1.0,-0.15,0.01,1.34,-7.26,1.4,207,473,397,474,300,3
103,0.97,-0.16,0.02,1.89,-8.3,0.49,207,477,405,473,295,3
104,0.98,-0.21,0.01,11.84,-8.0,5.62,197,476,415,464,291,3
105,0.98,-0.23,-0.03,7.63,-1.95,-5.98,205,473,407,473,290,3
106,0.99,-0.22,-0.04,3.6,-5.19,-4.58,207,470,409,469,289,3
107,0.99,-0.21,-0.04,1.65,-7.93,1.22,208,473,412,473,294,3
108,0.96,-0.23,-0.03,-0.67,-0.31,-6.71,207,470,411,472,292,3
109,0.97,-0.23,-0.05,-0.73,-2.75,-2.81,204,473,412,472,290,3
110,0.98,-0.21,-0.03,0.85,-2.87,-2.5,206,477,410,474,291,3
111,0.98,-0.2,-0.03,0.85,-3.23,-3.54,205,474,412,473,293,3
112,0.99,-0.21,-0.05,1.65,-2.14,-3.17,208,474,413,477,290,3
113,0.98,-0.19,-0.03,0.55,-1.95,-3.42,209,472,413,474,289,3
114,0.99,-0.2,-0.04,-1.71,2.99,-6.71,206,474,411,473,292,3
115,0.97,-0.21,-0.02,1.16,-2.75,-1.46,205,475,412,477,294,3
116,0.97,-0.2,-0.02,0.43,-2.44,-2.5,205,474,407,468,289,3
117,0.98,-0.19,-0.02,-0.24,-1.71,-3.6,208,471,413,468,291,3
118,0.98,-0.2,-0.03,1.4,-2.87,-2.81,205,473,410,473,294,3
119,0.99,-0.19,-0.03,-0.55,-3.6,-2.08,206,474,412,472,292,3
120,0.97,-0.18,-0.03,-0.31,-3.85,-2.56,206,477,408,477,295,3
121,0.99,-0.2,-0.02,-1.28,-3.05,-2.62,206,471,415,473,293,3
