,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.24,-0.83,0.54,-12.15,-6.59,-7.63,173,217,217,277,283,4
1,0.45,-0.79,0.26,-7.81,4.82,27.47,176,219,206,262,285,4
2,0.06,-0.91,0.45,-9.52,-11.41,20.75,173,223,209,258,285,4
3,0.14,-0.92,0.42,1.46,5.62,-2.08,173,220,207,263,285,4
4,0.13,-0.89,0.41,4.15,5.07,-3.3,179,222,209,267,283,4
5,0.07,-0.88,0.33,-4.88,-0.37,-3.23,175,221,206,261,282,4
6,0.02,-0.92,0.39,1.04,-0.79,-10.68,179,223,209,264,281,4
7,0.09,-0.89,0.37,-12.15,-19.96,-7.63,177,225,211,272,285,4
8,0.16,-0.93,0.41,-3.66,-7.2,-14.22,179,224,209,272,282,4
9,0.1,-0.86,0.41,-4.39,-3.66,-1.53,174,224,216,270,284,4
10,0.1,-0.9,0.54,3.48,-2.32,-6.41,177,227,212,273,285,4
11,0.12,-0.9,0.43,0.24,-4.82,-5.98,176,230,213,272,283,4
12,0.16,-0.9,0.42,1.1,-2.75,1.22,175,227,212,270,281,4
13,0.14,-0.87,0.41,-2.62,-3.48,2.2,182,227,214,273,283,4
14,0.22,-0.9,0.45,-5.74,0.24,-7.87,179,227,208,268,285,4
15,0.12,-0.89,0.39,5.37,-2.44,-6.41,181,232,195,259,288,4
16,0.17,-0.9,0.48,0.61,-1.46,-2.69,178,233,195,264,285,4
17,0.18,-0.89,0.46,4.46,-3.78,-4.64,179,231,199,260,287,4
18,0.18,-0.88,0.49,4.15,-2.75,-3.97,186,229,201,261,285,4
19,0.17,-0.87,0.47,-1.89,-2.93,-2.2,181,230,197,263,285,4
20,0.21,-0.86,0.46,0.79,-1.28,-5.19,179,232,200,260,285,4
21,0.25,-0.85,0.42,4.21,-3.23,-2.93,178,232,202,264,285,4
22,0.18,-0.84,0.5,2.62,0.18,-0.55,179,231,204,267,286,4
23,0.1,-0.88,0.47,2.26,17.46,-7.57,181,234,202,269,285,4
24,0.07,-0.89,0.43,7.69,-6.53,-10.5,179,231,205,271,289,4
25,0.08,-0.88,0.48,4.15,-9.89,-5.0,181,233,200,266,289,4
26,0.07,-0.88,0.5,-4.03,-2.26,-6.84,180,235,200,265,288,4
