,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.02,-0.94,0.38,1.83,-2.08,-1.95,451,478,432,482,267,5
1,0.0,-0.92,0.34,12.27,0.79,-2.5,450,474,434,487,270,5
2,-0.05,-0.91,0.38,6.16,-4.21,3.11,453,476,436,486,275,5
3,-0.05,-0.92,0.42,1.53,-3.42,-4.46,450,477,430,487,272,5
4,-0.13,-0.93,0.35,-4.82,2.99,-12.94,459,477,433,484,272,5
5,0.14,-0.92,0.37,-8.0,-5.86,-10.5,452,478,434,483,273,5
6,0.09,-0.93,0.31,1.1,-4.03,-0.98,452,479,433,486,272,5
7,0.11,-0.94,0.32,-3.97,-1.83,-5.49,451,477,432,491,274,5
8,0.11,-0.95,0.31,-1.04,-5.31,-0.12,452,478,434,486,273,5
9,0.07,-0.95,0.3,1.53,-6.29,1.46,455,485,430,485,272,5
10,0.08,-0.96,0.29,2.87,-6.9,-1.1,451,481,430,486,272,5
11,0.06,-0.94,0.33,1.34,-5.0,2.38,452,481,430,487,275,5
12,0.04,-0.94,0.35,2.5,-5.8,0.06,451,480,429,486,270,5
13,0.11,-0.92,0.4,9.58,14.59,1.83,454,478,429,486,273,5
14,-0.05,-0.91,0.35,8.06,-6.41,-4.64,452,477,440,488,274,5
15,0.09,-0.88,0.53,2.62,-2.38,2.69,451,494,428,482,273,5
16,-0.04,-0.82,0.59,24.17,-10.62,43.15,446,478,427,486,275,5
17,-0.25,-0.82,0.59,-10.38,-3.6,-21.12,448,474,427,491,274,5
18,-0.21,-1.03,0.76,25.09,48.83,50.23,447,473,426,479,272,5
19,-0.3,-0.37,0.6,76.23,38.64,-18.68,445,477,425,474,277,5
20,-0.44,-0.71,0.58,2.2,5.8,-36.13,449,480,425,476,280,5
21,-0.31,-0.68,0.53,15.5,21.36,-9.4,445,474,425,482,275,5
22,-0.43,-0.7,0.56,16.6,25.33,-18.49,443,475,424,473,269,5
23,-0.31,-0.77,0.59,16.3,25.76,-11.54,444,473,424,473,274,5
24,-0.4,-0.79,0.54,4.58,18.31,-29.54,443,475,424,477,273,5
25,-0.33,-0.75,0.51,10.25,26.06,-17.4,442,476,423,482,275,5
26,-0.09,-0.77,0.6,12.88,-3.17,-47.67,444,475,424,487,275,5
27,-0.32,-0.74,0.55,-8.73,-5.55,0.24,445,474,425,478,275,5
28,-0.21,-0.76,0.55,-12.76,-21.55,3.91,445,477,428,477,273,5
29,-0.38,-0.76,0.47,7.63,-20.69,25.76,444,476,423,479,276,5
30,-0.62,-0.62,0.53,-28.26,3.97,47.49,444,471,422,481,275,5
31,-0.53,-0.78,0.33,-2.87,15.5,0.85,438,474,419,480,278,5
32,-0.53,-0.64,0.79,-14.95,-18.86,18.74,441,473,428,478,274,5
33,-0.27,-0.66,0.34,14.04,0.61,-46.2,442,479,421,478,276,5
34,-0.6,-0.65,0.56,-13.0,-7.26,-4.39,442,475,419,479,276,5
35,-0.4,-0.54,0.24,-21.18,1.22,-16.17,440,477,423,477,276,5
36,-0.69,-0.7,0.39,6.47,4.82,10.19,441,476,424,473,279,5
37,-0.55,-0.66,0.47,2.87,-8.18,-9.22,440,477,420,481,277,5
38,-0.67,-0.57,0.48,8.67,-4.88,7.57,439,475,421,475,274,5
39,-0.55,-0.58,0.41,-4.09,-7.39,-6.04,440,477,420,480,275,5
40,-0.9,-0.52,0.75,16.3,-7.02,28.44,443,476,422,478,272,5
41,-0.26,-0.36,0.09,-26.18,-10.68,-22.71,443,477,421,478,277,5
42,-0.57,-0.76,0.45,-1.83,-20.57,-33.69,444,471,416,477,272,5
43,-0.56,-0.74,0.45,15.81,-0.31,-9.7,441,475,418,480,273,5
44,-0.53,-0.65,0.47,10.25,-8.91,0.24,441,474,420,482,279,5
45,-0.66,-0.62,0.61,-2.08,-8.0,19.1,443,473,417,476,279,5
46,-0.5,-0.58,0.55,-7.02,-1.22,0.37,441,475,418,478,282,5
47,-0.65,-0.58,0.58,4.64,-4.52,-10.01,440,477,429,482,282,5
48,-0.57,-0.58,0.57,1.95,-3.17,-18.43,439,477,419,478,282,5
49,-0.6,-0.63,0.55,-5.8,-0.73,-1.77,441,475,415,477,282,5
