,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.69,0.5,0.65,34.73,-12.02,-16.42,174,444,371,451,260,9
1,0.5,0.71,0.44,49.19,55.05,-51.64,216,463,387,457,276,9
2,0.3,0.81,0.41,-6.16,-25.33,-39.61,256,441,389,438,314,9
3,0.22,0.9,0.38,-6.29,-3.11,-9.7,258,441,396,452,387,9
4,0.19,0.92,0.39,4.21,0.12,5.68,239,335,392,454,389,9
5,0.25,0.91,0.32,6.96,-9.64,2.62,272,446,391,456,390,9
6,0.29,0.9,0.32,0.92,-5.07,3.97,283,449,399,454,385,9
7,0.25,0.94,0.29,3.05,-1.53,10.86,283,463,394,460,386,9
8,0.41,0.84,0.29,8.0,56.95,7.69,287,467,400,465,386,9
9,0.12,1.05,0.39,54.02,43.27,53.59,291,468,402,467,388,9
10,0.05,0.93,0.3,12.7,-2.01,49.13,291,479,402,462,392,9
11,0.3,0.91,0.22,9.09,4.46,8.0,292,469,402,463,392,9
12,0.26,1.02,0.26,-1.71,7.02,5.55,291,469,402,466,392,9
13,0.34,0.96,0.26,2.44,1.83,-7.87,294,468,399,466,393,9
14,0.2,0.91,0.32,-0.12,7.32,-2.2,270,465,401,462,392,9
15,0.27,0.94,0.27,-7.02,-8.54,-8.42,188,465,399,468,395,9
16,0.28,0.93,0.29,0.06,-2.62,0.61,196,465,404,465,399,9
17,0.28,0.91,0.27,-10.38,-6.59,-2.44,184,465,400,466,398,9
18,0.34,0.86,0.35,-23.93,-21.73,-32.47,196,468,396,468,400,9
19,0.2,0.9,0.44,-6.96,8.54,-6.84,197,465,402,471,391,9
20,0.23,0.93,0.39,4.52,-3.72,-0.61,199,464,400,472,398,9
21,0.21,0.89,0.43,1.65,-4.21,-0.61,195,469,405,470,397,9
22,0.24,0.87,0.41,3.66,-2.14,-3.85,209,465,403,474,395,9
23,0.24,0.86,0.4,-3.17,-1.59,-6.41,296,455,399,475,400,9
24,0.23,0.89,0.41,-0.55,-3.85,-4.27,293,455,401,471,403,9
25,0.22,0.91,0.39,3.23,-3.11,-3.91,313,463,400,471,396,9
26,0.22,0.9,0.37,4.09,-3.05,-0.24,321,462,400,467,400,9
27,0.24,0.89,0.34,1.95,-3.91,-3.36,319,471,403,474,398,9
28,0.23,0.9,0.36,-1.59,-0.98,-3.72,314,472,405,471,412,9
29,0.24,0.92,0.35,1.16,-7.75,3.17,316,470,407,469,404,9
30,0.33,0.87,0.4,4.46,-7.93,-2.99,319,471,405,465,402,9
31,0.1,0.86,0.37,-8.54,-2.38,-1.46,312,474,402,470,397,9
32,0.28,0.97,0.35,-0.61,0.12,-17.64,311,470,404,469,401,9
33,0.12,0.9,0.37,-11.72,-19.96,2.2,305,470,401,467,401,9
34,0.52,0.84,0.26,-33.69,-25.57,-38.33,306,467,403,467,403,9
35,0.23,0.88,0.54,-9.58,-71.23,3.85,307,471,403,460,403,9
36,0.21,0.94,0.56,27.28,-72.14,8.36,308,472,403,469,403,9
37,0.24,0.79,0.52,-13.67,-21.42,-29.6,307,469,403,467,399,9
38,0.04,0.6,0.68,5.13,-12.02,-4.09,310,468,404,469,400,9
39,0.0,0.62,0.66,-5.49,3.3,11.05,311,473,406,464,398,9
40,0.29,0.77,0.57,-4.33,15.81,20.94,309,473,404,463,396,9
41,0.12,0.8,0.58,4.52,41.5,54.87,310,470,404,469,399,9
42,0.19,0.59,0.45,-3.97,104.74,-6.84,307,471,405,478,405,9
43,0.19,0.93,0.54,21.18,20.51,-0.37,310,472,406,466,400,9
44,0.49,0.78,0.25,29.72,-12.45,9.34,310,471,418,467,401,9
45,-0.05,0.98,0.49,4.94,22.28,21.18,310,469,403,459,403,9
46,0.15,0.87,0.43,-19.35,-3.97,-25.51,311,474,406,465,404,9
47,0.25,0.95,0.37,-7.51,1.59,-10.99,308,474,404,466,399,9
48,0.33,0.86,0.25,6.47,-31.19,8.06,308,473,404,467,406,9
49,0.36,1.05,0.41,-4.21,-10.74,-9.09,312,469,407,464,403,9
50,0.13,0.9,0.46,-6.53,-0.61,-3.66,309,473,405,468,399,9
51,0.13,0.73,0.5,1.46,-16.91,10.56,309,469,404,460,405,9
52,0.34,0.96,0.42,-3.11,3.11,15.75,310,472,404,466,405,9
53,0.45,1.0,0.37,18.49,22.64,-5.0,311,472,405,469,403,9
54,0.33,1.0,0.36,10.74,7.08,-27.1,310,471,403,467,402,9
55,0.38,0.89,0.33,5.92,-0.92,-19.41,319,471,404,464,403,9
56,0.33,0.93,0.3,5.49,0.31,1.16,307,473,405,471,400,9
57,0.4,0.87,0.34,1.46,21.12,7.32,312,473,404,461,403,9
58,0.26,0.91,0.32,25.45,22.4,-2.87,312,471,405,468,404,9
59,0.21,1.0,0.28,3.54,9.09,-13.92,315,471,403,478,406,9
60,0.28,0.88,0.31,-7.45,-10.5,-15.87,313,470,404,466,402,9
61,0.25,0.95,0.33,2.81,-1.65,-5.43,314,468,405,467,403,9
62,0.15,0.93,0.31,6.04,5.31,-1.77,308,470,405,466,401,9
63,0.29,0.94,0.33,5.37,-0.24,-4.58,306,467,407,482,409,9
64,0.16,0.94,0.3,8.36,6.04,7.26,309,470,407,468,402,9
65,0.18,0.93,0.28,3.66,-3.97,-6.23,310,465,406,467,403,9
66,0.25,0.91,0.26,1.83,-7.51,-1.22,311,468,403,466,410,9
67,0.2,0.94,0.27,-0.12,-11.6,-5.55,313,472,402,469,405,9
68,0.25,0.93,0.24,-3.3,-13.18,-2.08,313,474,402,471,405,9
69,0.22,0.93,0.23,-6.04,-12.94,-4.88,313,471,404,467,406,9
70,0.2,0.92,0.24,-2.75,-5.19,-10.74,312,471,404,466,404,9
71,0.16,0.94,0.25,-0.18,-4.15,-5.13,309,470,404,467,401,9
72,0.15,0.94,0.26,0.98,-4.15,-5.49,303,465,406,469,403,9
73,0.11,0.95,0.28,0.18,-1.16,-2.69,311,467,405,470,405,9
74,0.13,0.95,0.26,2.01,0.31,-7.14,268,462,406,467,407,9
