,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.97,-0.26,0.1,-0.37,-1.83,-0.85,209,478,404,483,284,11
1,0.95,-0.27,0.1,1.22,-4.39,-2.32,216,478,406,478,287,11
2,1.0,-0.26,0.08,-2.38,-5.74,-5.19,213,476,403,479,285,11
3,0.93,-0.23,0.11,-3.36,-4.88,-7.32,212,477,402,479,285,11
4,0.97,-0.25,0.08,-0.85,-3.85,-3.54,211,475,402,483,284,11
5,0.98,-0.24,0.09,-2.32,-3.11,-2.87,212,477,403,478,282,11
6,0.97,-0.24,0.09,-0.31,-2.38,-1.83,211,476,404,479,286,11
7,0.99,-0.23,0.1,-1.53,-3.97,0.12,217,477,406,481,283,11
8,0.97,-0.28,0.07,-3.11,-1.65,-2.5,214,474,408,483,284,11
9,0.89,-0.34,0.04,-2.01,0.43,-7.57,212,476,408,480,282,11
10,0.96,-0.3,0.12,-3.42,2.5,7.51,212,476,406,482,283,11
11,0.89,-0.34,0.15,6.41,-17.64,-3.42,212,486,406,488,281,11
12,0.88,-0.41,-0.0,-4.21,-3.78,3.05,213,473,406,475,282,11
13,0.94,-0.37,0.05,-0.55,14.28,-3.91,210,477,411,484,285,11
14,0.95,-0.35,0.06,-8.48,-2.69,-4.33,210,475,410,480,285,11
15,0.91,-0.38,0.04,-10.01,-8.0,-1.22,209,477,406,483,287,11
16,0.92,-0.4,0.03,0.79,-6.59,-2.69,208,476,406,483,282,11
17,0.95,-0.36,-0.07,-47.12,-19.23,-14.04,218,473,407,468,278,11
18,0.97,-0.34,-0.08,2.26,4.15,-1.22,243,268,363,465,344,11
19,0.82,-0.36,0.21,15.56,3.97,3.91,192,379,352,470,261,11
20,0.94,-0.3,0.05,-2.62,-6.65,-6.16,196,451,390,476,261,11
21,0.96,-0.31,0.04,1.83,-4.52,-1.46,197,457,398,477,266,11
22,0.96,-0.33,0.04,1.83,-2.08,-2.5,200,461,399,475,266,11
23,0.95,-0.33,0.06,1.59,-6.1,-0.24,198,465,397,477,272,11
24,0.94,-0.33,0.06,1.22,-2.5,-2.44,195,466,395,482,273,11
25,0.95,-0.33,0.05,1.77,-3.85,-3.54,197,464,394,478,277,11
26,0.95,-0.32,0.05,1.59,-3.85,-2.2,199,471,396,481,277,11
27,0.92,-0.33,0.08,4.21,-3.42,-1.77,196,469,395,479,281,11
28,0.95,-0.33,0.05,-1.16,0.06,-4.82,201,471,393,477,279,11
29,0.95,-0.32,0.05,-2.56,-5.49,-2.01,200,468,394,478,279,11
30,0.93,-0.33,0.04,3.85,-3.36,-1.04,205,468,390,477,279,11
31,0.94,-0.31,0.04,-1.34,-1.22,-3.23,195,474,392,476,279,11
32,0.95,-0.32,0.03,2.32,-2.69,-2.26,200,469,391,473,283,11
33,0.95,-0.32,0.03,0.98,-3.91,-3.3,202,474,391,479,285,11
34,0.96,-0.32,0.02,0.49,-3.54,-3.97,200,475,394,472,283,11
35,0.94,-0.31,0.03,-0.49,-2.44,-2.01,201,475,395,477,284,11
36,0.95,-0.32,0.03,0.06,-3.6,-1.22,202,473,391,475,284,11
37,0.94,-0.32,0.02,1.4,-2.56,-2.69,203,470,395,481,283,11
38,0.95,-0.33,0.03,1.28,-4.94,-2.81,204,472,392,478,283,11
39,0.94,-0.32,0.02,-0.12,-1.22,-3.36,202,472,395,477,282,11
40,0.95,-0.32,0.02,1.1,-2.38,-2.75,203,475,392,480,285,11
41,0.95,-0.33,0.02,-0.12,-2.2,-2.87,201,468,392,476,284,11
42,0.95,-0.32,0.03,0.55,-1.71,-4.82,202,469,394,472,281,11
43,0.96,-0.31,0.02,1.89,-4.64,-3.23,205,472,391,477,284,11
44,0.96,-0.3,0.01,-1.83,-3.42,-5.74,202,474,390,476,284,11
45,0.97,-0.31,0.01,1.04,-3.42,-4.15,206,473,392,480,287,11
46,0.96,-0.34,0.02,1.65,-3.11,-1.04,201,476,392,477,285,11
47,0.96,-0.32,0.01,-0.31,-3.72,-5.13,202,474,392,476,285,11
48,0.95,-0.33,0.01,0.67,-2.26,-4.94,201,472,394,474,283,11
49,0.95,-0.31,0.02,1.16,-2.93,-2.08,205,474,393,477,286,11
50,0.96,-0.34,0.02,0.06,-3.78,-3.66,204,476,390,477,289,11
51,0.95,-0.3,0.02,0.55,-3.3,-2.81,202,472,393,476,287,11
52,0.96,-0.3,0.02,0.31,-2.62,-3.23,204,477,386,477,289,11
53,0.94,-0.29,0.02,1.1,-4.82,-1.53,200,474,388,481,286,11
54,0.97,-0.29,0.0,-0.12,-3.42,-2.38,202,472,388,480,287,11
55,0.97,-0.29,0.0,-1.22,-3.91,-3.3,205,477,390,480,290,11
56,0.96,-0.29,0.03,1.34,-2.99,-3.11,205,476,390,477,287,11
57,0.96,-0.29,0.01,-1.71,-5.0,-3.66,203,477,389,472,285,11
58,0.96,-0.28,0.01,-0.06,-4.64,-1.89,206,475,391,477,287,11
59,0.96,-0.29,-0.0,0.12,-2.87,-5.13,206,474,392,479,287,11
60,0.96,-0.28,0.0,1.95,-3.48,-2.38,207,475,388,473,292,11
61,0.97,-0.28,-0.0,0.49,-2.93,-2.26,205,474,390,479,288,11
62,0.96,-0.28,-0.0,0.12,-2.69,-2.2,205,474,390,478,286,11
63,0.98,-0.27,-0.02,0.79,-3.6,-4.21,205,473,391,476,288,11
64,0.96,-0.25,-0.01,1.53,-3.23,-3.66,209,476,390,477,287,11
65,0.97,-0.25,-0.01,0.24,-2.93,-3.85,205,472,395,474,291,11
66,0.97,-0.25,-0.02,-0.98,-3.54,-1.89,203,477,394,471,291,11
67,0.97,-0.25,-0.01,0.49,-3.05,-3.23,206,474,393,474,290,11
68,0.96,-0.24,-0.01,1.53,-3.78,-3.42,246,473,387,476,289,11
69,0.97,-0.24,-0.01,0.73,-3.3,-2.38,206,471,389,481,289,11
70,0.97,-0.24,-0.01,-0.06,-2.87,-2.26,209,474,389,474,287,11
71,0.98,-0.23,-0.0,0.49,-3.17,-2.62,209,476,389,478,286,11
72,0.97,-0.23,-0.01,0.85,-3.17,-2.5,211,474,393,477,290,11
73,0.96,-0.23,-0.01,1.04,-2.99,-2.87,207,475,392,472,288,11
74,0.98,-0.23,-0.01,0.43,-2.5,-1.46,209,474,389,476,291,11
75,0.98,-0.23,0.0,1.04,-3.05,-3.05,204,474,390,478,286,11
76,0.98,-0.22,-0.01,1.71,-3.48,-2.26,208,480,392,476,288,11
77,0.98,-0.22,-0.01,-1.16,-2.62,-3.3,206,480,389,470,288,11
78,0.97,-0.22,-0.01,1.65,-2.56,-2.38,209,477,390,478,289,11
79,0.97,-0.22,0.0,-0.43,-2.75,-2.69,205,476,390,474,289,11
80,0.98,-0.21,0.01,1.4,-2.62,-2.99,206,474,390,479,288,11
81,0.97,-0.23,0.0,0.43,-2.26,-3.6,208,474,392,470,286,11
82,0.98,-0.22,-0.0,0.43,-3.91,-2.5,214,475,392,475,289,11
83,0.98,-0.21,0.0,0.67,-1.83,-4.09,206,480,389,479,285,11
84,0.97,-0.23,-0.01,0.18,-3.3,-3.3,209,477,392,470,287,11
85,0.98,-0.22,-0.01,0.67,-2.32,-0.73,226,474,386,477,286,11
86,0.97,-0.22,0.01,0.61,-2.08,0.85,206,473,391,475,288,11
87,0.97,-0.25,-0.02,-2.5,-3.97,-2.08,205,473,390,480,290,11
88,0.98,-0.23,0.02,-2.62,-2.93,-0.55,202,482,387,480,289,11
89,0.98,-0.24,0.0,0.37,-3.11,-3.36,205,475,390,480,287,11
90,0.96,-0.25,0.0,1.4,-3.42,-3.23,208,474,391,475,283,11
91,0.97,-0.25,-0.0,-1.22,-3.48,0.24,208,471,390,475,289,11
92,0.97,-0.25,-0.0,-0.55,-3.78,-1.34,206,474,390,478,291,11
93,0.97,-0.26,-0.01,0.61,-2.5,-2.38,208,476,392,475,293,11
94,0.97,-0.26,0.01,-1.71,-3.17,-2.08,207,476,389,479,289,11
95,0.98,-0.25,-0.0,-0.67,-3.23,-2.87,211,474,386,473,287,11
96,0.97,-0.28,-0.03,0.0,-2.56,-2.5,206,475,390,479,290,11
97,0.96,-0.28,-0.03,-2.99,-3.17,0.73,210,475,398,485,289,11
98,0.99,-0.25,0.0,-0.31,-4.15,-2.2,205,481,390,477,287,11
99,0.96,-0.29,-0.03,-1.46,-2.81,-6.29,197,477,390,478,289,11
100,0.97,-0.27,-0.03,1.22,-3.54,-0.43,207,476,388,477,288,11
101,0.96,-0.28,-0.01,0.31,-2.81,-1.95,206,474,386,477,287,11
102,0.96,-0.27,-0.01,0.55,-3.17,-2.32,209,477,393,481,287,11
103,0.95,-0.28,-0.01,-0.85,-1.89,-1.34,209,472,393,479,288,11
104,0.96,-0.29,-0.01,-1.4,-3.05,-0.67,213,477,392,476,290,11
105,0.95,-0.28,-0.0,0.55,-3.3,-4.03,224,473,391,480,285,11
106,0.94,-0.28,0.0,1.46,-1.89,-1.4,207,471,385,475,289,11
107,0.95,-0.29,-0.01,-0.85,-5.49,1.1,206,474,389,479,290,11
108,0.97,-0.24,0.01,0.85,-2.38,-1.89,216,475,394,471,291,11
109,0.99,-0.22,0.01,-1.4,-3.54,-10.19,204,475,388,479,292,11
110,0.95,-0.29,-0.04,-0.06,-1.1,-2.99,210,472,385,479,291,11
111,0.94,-0.29,-0.02,-2.81,-3.66,-0.06,207,472,389,479,290,11
112,0.95,-0.29,-0.02,0.85,-3.3,-2.69,211,474,386,475,290,11
113,0.97,-0.29,-0.03,0.18,-2.56,-4.82,209,479,387,476,293,11
114,0.96,-0.28,-0.03,0.61,-3.11,-2.38,208,474,388,473,290,11
115,0.96,-0.27,-0.02,0.06,-2.44,-1.4,208,475,392,475,292,11
116,0.96,-0.28,0.0,3.6,-2.38,-1.28,210,475,392,476,291,11
117,0.96,-0.29,-0.02,0.37,-2.14,-2.5,210,474,390,479,290,11
118,0.96,-0.29,0.0,-1.59,-2.81,-5.19,211,474,390,473,290,11
119,0.95,-0.28,-0.02,-0.61,-1.65,-2.75,209,472,391,471,291,11
120,0.95,-0.31,-0.01,-0.73,-2.56,-4.46,212,475,395,476,292,11
121,0.96,-0.29,-0.01,1.65,-3.97,-3.48,209,474,397,477,290,11
122,0.97,-0.28,-0.0,1.1,-1.95,-2.69,210,475,392,475,290,11
123,0.95,-0.29,0.0,0.31,-2.5,-3.66,208,477,395,474,279,11
124,0.95,-0.29,-0.01,0.61,-3.23,-3.6,209,474,392,474,290,11
125,0.96,-0.27,-0.0,0.06,-3.05,-2.38,217,475,394,476,292,11
126,0.96,-0.28,-0.0,1.34,-3.42,-2.14,206,475,392,474,292,11
127,0.96,-0.27,-0.0,0.18,-2.99,-3.6,210,473,392,479,292,11
128,0.96,-0.28,-0.01,1.95,-3.23,-3.17,212,480,392,475,291,11
129,0.96,-0.27,-0.01,-0.06,-2.93,-2.81,210,474,393,470,291,11
130,0.96,-0.28,-0.01,1.04,-2.75,-2.81,248,477,394,470,293,11
131,0.96,-0.27,0.0,1.04,-2.62,-2.2,209,464,394,478,291,11
132,0.98,-0.27,-0.01,0.43,-4.21,2.87,208,474,392,474,293,11
133,0.95,-0.31,-0.01,3.54,-3.36,-0.85,212,475,392,479,289,11
134,0.94,-0.32,-0.0,0.12,-2.44,-2.75,210,477,389,470,290,11
135,0.96,-0.32,-0.0,-1.53,-2.08,-4.94,209,475,395,473,291,11
136,0.95,-0.3,-0.0,0.85,-2.44,-2.62,207,474,394,479,291,11
137,0.95,-0.3,-0.01,-0.55,-2.87,-3.42,210,477,392,470,292,11
138,0.94,-0.29,-0.01,-0.31,-1.65,-2.99,212,474,394,470,290,11
139,0.96,-0.31,-0.0,-0.06,-2.99,-2.38,209,477,392,478,292,11
140,0.96,-0.32,-0.0,3.05,-4.64,0.24,210,472,394,478,291,11
141,0.94,-0.31,-0.02,-2.75,-1.53,-3.48,207,478,392,479,291,11
142,0.96,-0.29,0.01,-0.18,-0.12,-2.32,211,474,395,478,289,11
143,0.96,-0.3,0.0,0.0,-1.95,-4.03,212,473,391,475,291,11
144,0.96,-0.32,-0.02,2.01,-2.87,-4.15,212,474,392,479,297,11
145,0.94,-0.3,0.01,2.44,-3.42,-1.77,210,471,394,483,293,11
146,0.97,-0.28,0.02,-0.12,-4.09,-1.59,212,474,392,479,292,11
147,0.98,-0.3,-0.01,4.46,-3.54,-1.22,213,476,395,479,288,11
148,0.94,-0.32,0.01,0.18,-3.48,-2.56,224,476,393,475,290,11
149,0.96,-0.3,0.0,0.37,-1.77,-4.7,211,473,389,474,292,11
150,0.97,-0.28,0.01,0.31,-3.54,-1.77,211,474,393,475,293,11
151,0.95,-0.3,0.0,0.24,-2.99,-2.81,210,475,391,475,285,11
152,0.96,-0.29,0.03,0.79,-2.75,-3.42,210,476,395,469,292,11
153,0.94,-0.3,0.02,1.71,-2.38,-5.07,208,473,393,474,292,11
154,0.95,-0.29,0.01,-4.21,-1.95,-3.91,218,472,392,476,293,11
155,0.97,-0.28,-0.0,0.49,-2.5,-2.56,212,477,403,475,294,11
156,0.96,-0.28,0.02,0.67,-2.14,-2.32,211,476,395,475,290,11
157,0.96,-0.29,0.01,0.98,-4.21,-1.89,213,473,395,478,292,11
158,0.96,-0.29,0.01,-0.49,-3.97,-2.69,208,474,390,475,294,11
159,0.96,-0.28,0.0,0.37,-2.5,-1.77,213,478,392,478,293,11
160,0.96,-0.28,0.01,1.77,-3.23,-2.87,214,471,392,476,283,11
161,0.96,-0.28,0.01,0.98,-3.36,-3.85,209,474,393,477,293,11
162,0.98,-0.27,0.01,-1.34,-2.69,-3.72,214,477,397,473,292,11
163,0.96,-0.27,0.02,3.48,-4.33,-1.46,211,473,394,474,291,11
164,0.96,-0.27,0.01,0.37,-2.14,-2.93,212,474,390,478,292,11
165,0.96,-0.28,0.02,0.49,-2.5,-1.89,213,476,393,472,289,11
166,0.96,-0.27,0.02,1.1,-3.48,-2.38,208,477,387,471,291,11
167,0.96,-0.27,0.02,0.67,-3.05,-1.28,213,474,392,472,294,11
168,0.97,-0.28,0.03,1.71,-2.69,-0.61,211,474,389,469,292,11
169,0.93,-0.32,0.01,-4.15,-2.5,-2.93,214,475,392,473,292,11
170,0.97,-0.3,0.01,-1.53,-4.58,-9.46,212,477,393,475,294,11
171,0.96,-0.28,0.03,1.04,-2.56,-4.03,212,475,390,477,292,11
172,0.97,-0.25,0.05,0.61,-2.69,-2.99,211,471,395,470,290,11
173,0.96,-0.27,0.02,-0.98,-3.05,-4.33,214,474,390,475,291,11
174,0.98,-0.24,0.02,-0.73,-3.48,-4.03,218,474,392,477,289,11
175,0.98,-0.25,0.02,-0.18,-3.85,-1.53,249,472,393,471,295,11
176,0.97,-0.25,0.03,0.85,-2.44,-3.3,214,486,393,477,290,11
177,0.96,-0.26,0.03,-0.98,-1.83,-3.3,213,474,393,473,293,11
178,0.97,-0.26,0.03,1.28,-2.87,-2.99,211,478,392,472,296,11
179,0.97,-0.26,0.02,0.06,-3.78,-1.1,215,472,395,474,295,11
180,0.97,-0.26,0.02,0.61,-2.93,-1.46,212,473,394,469,291,11
181,0.98,-0.26,0.02,-0.31,-2.26,-0.37,212,471,395,476,294,11
182,0.96,-0.28,0.03,1.16,-3.36,-2.38,210,475,397,478,293,11
183,0.96,-0.27,0.03,0.18,-2.75,-5.13,218,474,392,477,293,11
184,0.96,-0.27,0.02,0.92,-3.3,-2.93,212,474,392,474,293,11
185,0.97,-0.27,0.03,-0.55,-3.05,-1.83,214,475,392,478,295,11
186,0.97,-0.27,0.03,0.55,-2.38,-2.69,212,475,391,477,292,11
187,0.96,-0.27,0.03,1.83,-2.75,-2.44,215,476,395,474,292,11
188,0.96,-0.28,0.03,3.23,-3.85,-1.95,212,477,392,476,294,11
189,0.95,-0.28,0.04,0.06,-2.26,-5.37,215,477,394,475,295,11
190,0.96,-0.27,0.04,0.37,-2.87,0.0,213,477,394,477,295,11
191,0.97,-0.27,0.05,1.34,-3.6,-3.6,215,475,394,470,292,11
192,0.97,-0.27,0.03,-1.34,-3.42,-1.28,212,473,392,475,296,11
193,0.98,-0.26,0.04,0.61,-1.89,-2.44,211,475,393,486,293,11
