,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.88,-0.46,0.0,-1.59,-2.32,-1.83,190,247,199,246,396,13
1,0.9,-0.44,0.02,2.44,-1.65,-3.6,190,246,194,248,393,13
2,0.88,-0.45,0.04,0.61,-3.97,-2.69,191,246,194,248,403,13
3,0.89,-0.45,0.03,3.3,-1.4,-2.5,189,248,200,249,400,13
4,0.89,-0.44,0.03,-1.95,-2.81,-2.08,192,243,199,245,402,13
5,0.89,-0.45,0.03,1.77,-2.87,-2.5,180,258,197,254,397,13
6,0.9,-0.44,0.03,0.49,-2.26,-2.44,188,243,199,253,399,13
7,0.89,-0.45,0.03,1.4,-2.99,-2.81,186,246,198,245,399,13
8,0.9,-0.45,0.03,0.06,-3.05,-2.99,187,246,199,251,402,13
9,0.9,-0.44,0.02,1.1,-2.99,-3.17,188,248,197,251,401,13
10,0.9,-0.44,0.03,1.34,-2.81,-3.17,191,243,194,250,397,13
11,0.9,-0.44,0.03,0.06,-3.85,-3.05,192,244,203,252,402,13
12,0.9,-0.44,0.04,2.14,-3.66,-2.99,193,248,201,251,401,13
13,0.91,-0.44,0.04,0.37,-2.62,-2.62,192,249,201,254,399,13
14,0.9,-0.44,0.04,0.06,-3.36,-2.69,222,249,200,250,399,13
15,0.9,-0.44,0.03,0.37,-2.81,-2.26,193,245,197,250,396,13
16,0.91,-0.44,0.04,0.98,-2.5,-3.05,190,248,198,255,402,13
17,0.9,-0.45,0.04,0.79,-3.11,-2.5,191,248,199,251,400,13
18,0.89,-0.45,0.04,-0.31,-2.99,-2.44,222,248,199,255,397,13
19,0.9,-0.44,0.04,0.18,-3.48,-2.62,190,246,201,249,399,13
20,0.9,-0.44,0.05,1.1,-2.14,-2.69,192,248,205,256,400,13
21,0.9,-0.43,0.04,0.31,-2.26,-2.81,190,246,200,252,402,13
22,0.9,-0.44,0.04,1.16,-3.66,-0.73,184,246,199,252,401,13
23,0.9,-0.44,0.04,-0.55,-3.36,-1.77,194,248,199,251,398,13
24,0.9,-0.45,0.04,1.34,-2.69,-2.93,192,246,198,256,401,13
25,0.88,-0.44,0.05,-0.85,2.26,-2.44,193,246,201,254,398,13
26,0.91,-0.44,0.05,-0.06,-2.56,-3.11,193,247,202,255,401,13
27,0.89,-0.45,0.05,-0.12,-2.62,-2.99,193,246,200,251,400,13
28,0.9,-0.45,0.05,1.04,-2.2,-2.99,190,246,208,255,400,13
29,0.9,-0.44,0.05,0.55,-2.87,-3.11,194,247,197,247,406,13
30,0.91,-0.44,0.05,0.31,-3.54,-3.23,191,246,200,251,401,13
31,0.89,-0.45,0.05,-0.37,-2.69,-2.81,193,250,203,252,403,13
32,0.9,-0.44,0.05,-0.49,-3.72,-2.56,190,249,199,249,404,13
33,0.89,-0.45,0.05,0.18,-3.48,-2.44,195,250,202,265,404,13
34,0.9,-0.44,0.05,0.06,-3.48,-2.08,224,249,202,251,401,13
35,0.9,-0.44,0.05,-0.43,-3.48,-2.69,187,245,199,252,401,13
36,0.9,-0.44,0.04,0.92,-3.05,-2.75,192,248,204,256,397,13
37,0.9,-0.44,0.06,0.79,-2.38,-2.93,191,250,203,254,401,13
38,0.89,-0.45,0.05,0.73,-2.5,-2.87,193,249,200,255,401,13
39,0.89,-0.45,0.05,0.49,-3.17,-3.17,192,250,203,257,399,13
40,0.9,-0.44,0.05,-2.38,-2.99,-2.08,190,249,203,252,399,13
41,0.89,-0.44,0.05,0.06,-2.62,-2.87,195,249,199,256,400,13
42,0.9,-0.45,0.04,2.08,-2.62,-3.11,195,253,206,256,401,13
43,0.89,-0.45,0.04,0.79,-3.17,-2.69,194,248,203,257,399,13
44,0.89,-0.45,0.04,0.43,-2.87,-2.87,195,250,203,252,406,13
45,0.9,-0.45,0.05,0.67,-2.93,-2.44,211,249,202,256,401,13
46,0.9,-0.44,0.04,0.0,-3.6,-3.05,196,248,201,250,401,13
47,0.9,-0.44,0.04,0.98,-3.11,-2.5,190,255,202,255,402,13
48,0.89,-0.45,0.04,0.79,-2.81,-3.54,193,250,199,249,402,13
49,0.9,-0.45,0.04,0.31,-2.32,-2.69,195,250,200,253,398,13
50,0.89,-0.45,0.05,0.79,-2.26,-2.87,196,249,206,254,402,13
51,0.88,-0.45,0.05,1.22,-1.95,-3.17,194,245,205,249,403,13
52,0.9,-0.44,0.05,0.06,-1.1,-3.23,195,248,202,253,402,13
53,0.89,-0.45,0.05,-1.04,-3.91,-2.2,202,246,204,253,401,13
54,0.9,-0.45,0.05,0.0,-3.11,-1.65,195,253,201,253,399,13
55,0.89,-0.45,0.05,0.43,-2.93,-2.5,191,247,203,253,401,13
56,0.89,-0.45,0.05,-0.37,-3.42,-2.32,201,248,201,253,404,13
57,0.89,-0.44,0.05,-0.06,-2.38,-2.69,195,248,202,255,400,13
58,0.9,-0.45,0.05,0.06,-3.05,-2.93,195,250,203,257,401,13
59,0.9,-0.45,0.05,1.16,-2.81,-3.78,196,248,200,258,404,13
