,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.19,-0.97,0.05,6.65,-5.92,4.21,201,241,191,452,304,14
1,0.15,-0.98,0.11,5.49,-2.5,1.59,203,237,193,452,308,14
2,0.1,-0.98,0.12,4.27,1.16,6.23,200,236,195,450,310,14
3,0.09,-1.0,0.19,4.46,5.92,6.16,203,241,197,450,309,14
4,-0.04,-0.98,0.23,11.11,-10.62,10.13,203,242,197,449,311,14
5,-0.18,-0.94,0.28,12.51,-15.63,15.69,204,242,194,452,304,14
6,-0.16,-0.94,0.29,-1.59,-0.79,-5.0,202,239,197,449,311,14
7,-0.14,-0.95,0.27,0.98,-4.94,-5.86,205,241,193,451,308,14
8,-0.15,-0.95,0.29,4.58,-5.49,-1.65,205,242,200,456,304,14
9,-0.11,-0.95,0.27,-1.4,-1.34,-3.72,206,243,198,452,309,14
10,-0.14,-0.94,0.29,5.55,-2.38,-2.44,206,239,193,455,305,14
11,-0.13,-0.95,0.29,1.59,-5.19,-3.17,200,242,196,452,308,14
12,-0.09,-0.95,0.31,-2.14,-0.85,-5.31,206,241,196,452,310,14
13,-0.1,-0.95,0.3,0.31,-3.78,-2.56,208,242,201,455,311,14
14,-0.11,-0.94,0.3,-0.67,-4.33,-5.8,205,244,198,448,307,14
15,-0.05,-0.96,0.28,-7.87,4.33,-15.69,206,243,199,455,305,14
16,0.02,-0.97,0.2,-3.11,3.85,-14.71,205,244,196,456,308,14
17,0.04,-0.97,0.22,0.06,-4.03,-1.71,205,240,196,457,308,14
18,0.04,-0.97,0.23,3.78,-2.87,-2.38,206,244,201,451,310,14
19,0.04,-0.97,0.22,-2.56,-2.2,-4.82,205,242,198,453,311,14
20,0.06,-0.98,0.21,-0.98,-4.15,-4.27,205,242,198,450,310,14
21,0.05,-0.98,0.21,-1.04,-3.05,-2.62,206,244,197,458,307,14
22,0.04,-0.98,0.21,0.43,-7.02,-6.65,233,242,198,458,308,14
23,0.01,-0.98,0.28,-11.72,-20.26,-1.46,209,242,201,452,309,14
24,0.01,-0.95,0.22,-8.36,4.21,-11.17,206,243,197,459,306,14
