,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,-0.17,-0.98,-0.06,0.79,-2.69,-2.81,426,293,238,475,319,24
1,-0.17,-0.98,-0.06,0.37,-3.17,-2.44,428,305,239,466,321,24
2,-0.17,-0.98,-0.06,0.55,-2.2,-2.26,422,296,240,472,319,24
3,-0.18,-0.98,-0.05,0.18,-0.49,-1.89,428,296,239,472,321,24
4,-0.17,-0.98,-0.06,1.53,-5.19,-2.69,423,293,241,471,318,24
5,-0.19,-0.98,-0.05,-0.55,-2.44,-2.99,424,293,238,472,319,24
6,-0.15,-0.96,-0.11,0.0,-0.98,-5.98,423,293,243,474,317,24
7,-0.19,-0.97,-0.04,-0.49,-2.2,-5.86,426,294,240,467,318,24
8,-0.15,-0.97,-0.05,-2.38,7.39,-1.89,424,293,242,470,320,24
9,-0.18,-0.98,-0.03,-0.43,-2.08,-3.11,419,296,239,473,317,24
10,-0.17,-0.98,-0.03,0.79,-4.58,-0.92,423,298,240,473,318,24
11,-0.16,-0.98,-0.05,1.1,-3.23,-1.95,423,293,243,473,315,24
12,-0.16,-0.98,-0.05,1.53,-2.93,-2.08,422,293,239,466,319,24
13,-0.17,-0.98,-0.04,-0.61,-1.89,-2.32,426,295,243,473,320,24
14,-0.17,-0.98,-0.06,-0.73,-0.18,-4.39,422,294,238,471,318,24
15,-0.1,-0.94,-0.14,-2.08,4.33,5.49,425,293,239,474,318,24
16,-0.25,-0.99,0.03,8.18,-8.12,3.66,424,293,237,475,315,24
17,-0.17,-0.99,-0.02,-2.81,8.61,-4.64,424,290,240,468,307,24
18,-0.15,-0.98,-0.03,7.69,-3.72,2.93,431,289,237,478,308,24
19,-0.16,-0.99,0.08,1.46,-1.04,-0.85,422,290,237,475,307,24
20,-0.16,-1.0,0.04,2.99,-0.24,-12.76,428,290,236,470,313,24
21,-0.14,-0.98,-0.05,-1.77,-0.73,1.53,425,294,241,470,313,24
22,-0.16,-0.99,0.01,-1.53,1.46,-7.14,423,296,240,473,311,24
23,-0.12,-0.99,-0.04,-10.74,-0.43,-2.93,425,295,237,466,315,24
24,-0.08,-0.98,-0.03,-5.43,-0.92,-10.93,425,294,240,467,311,24
25,-0.16,-0.98,-0.06,10.01,-7.26,-2.32,424,296,242,470,315,24
26,-0.0,-1.01,0.19,-8.61,7.45,0.43,422,292,242,470,313,24
27,-0.1,-1.05,0.1,-8.61,-3.66,-3.97,425,296,240,471,313,24
28,-0.16,-0.98,-0.12,-13.24,-8.91,-9.28,424,293,237,474,315,24
29,-0.14,-0.97,-0.12,5.43,-2.81,-2.56,425,294,241,471,314,24
30,-0.19,-0.95,-0.13,-2.08,-8.3,0.67,425,291,241,466,313,24
