,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.02,-0.99,-0.16,-3.6,-6.29,1.16,223,271,448,462,296,19
1,0.03,-0.99,-0.16,-0.06,-2.32,-3.91,232,274,449,464,295,19
2,0.02,-0.98,-0.15,-0.18,-4.52,-1.34,223,272,450,462,296,19
3,-0.0,-0.98,-0.17,0.79,-4.58,-0.98,223,272,451,460,295,19
4,0.02,-0.97,-0.16,0.43,-4.27,-1.89,224,273,450,465,297,19
5,0.02,-0.98,-0.15,3.11,-7.51,-8.0,223,276,449,460,297,19
6,0.03,-0.98,-0.15,1.34,-5.25,-2.75,224,285,451,468,296,19
7,0.03,-0.98,-0.14,-0.06,-3.72,-0.43,225,275,450,464,294,19
8,0.0,-0.99,-0.16,-1.59,-2.69,-3.23,224,272,447,460,296,19
9,0.02,-0.99,-0.16,-3.78,-5.62,-3.48,225,274,451,475,294,19
10,0.03,-0.98,-0.18,2.56,-4.03,-3.17,225,275,448,462,299,19
11,0.01,-0.98,-0.15,-2.87,-7.69,0.31,223,274,446,469,292,19
12,-0.0,-0.99,-0.19,-0.85,-4.52,-3.72,224,275,448,468,296,19
13,0.0,-0.97,-0.17,1.4,-2.81,-1.4,226,277,445,467,299,19
14,-0.02,-0.97,-0.18,1.65,-1.77,1.59,224,274,446,466,296,19
15,-0.06,-0.98,-0.18,0.43,-2.2,1.4,224,274,444,466,293,19
16,-0.05,-0.97,-0.17,0.24,-2.81,-1.53,221,275,445,466,297,19
17,-0.07,-0.98,-0.19,-0.55,-1.22,0.92,224,275,445,470,294,19
18,-0.07,-0.98,-0.19,-0.06,-3.66,-3.85,225,287,443,460,296,19
19,-0.08,-0.98,-0.18,0.49,-3.05,-1.83,226,273,441,471,299,19
20,-0.07,-0.97,-0.18,0.12,-3.23,-3.05,222,273,447,470,297,19
21,-0.06,-0.97,-0.18,1.34,-2.26,-2.56,226,274,445,465,297,19
22,-0.08,-0.98,-0.19,0.37,-2.26,-2.38,223,274,447,466,308,19
23,-0.07,-0.97,-0.19,-0.24,-1.89,-2.32,226,272,443,466,298,19
24,-0.08,-0.97,-0.2,-0.31,-2.56,-1.28,224,275,446,465,299,19
25,-0.08,-0.97,-0.21,0.37,-2.69,-2.87,226,275,441,470,297,19
26,-0.08,-0.96,-0.2,0.61,-2.26,-1.16,223,275,447,468,297,19
