,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.17,0.73,0.63,-3.23,-2.75,-1.53,219,296,428,449,313,21
1,0.17,0.76,0.64,1.04,-3.05,-2.75,220,298,425,454,312,21
2,0.18,0.76,0.64,0.31,-4.03,-1.83,221,298,421,454,316,21
3,0.16,0.75,0.65,-0.55,-0.55,-3.36,220,299,423,459,316,21
4,0.14,0.74,0.65,0.55,-1.34,-3.54,223,294,421,457,316,21
5,0.08,0.73,0.66,-8.61,6.71,-6.53,223,296,419,453,316,21
6,0.07,0.74,0.69,-0.92,-2.2,2.99,221,291,421,448,321,21
7,0.09,0.75,0.67,2.81,-5.68,-0.31,214,299,432,456,322,21
8,0.06,0.75,0.67,1.04,-0.12,-1.1,218,295,424,455,322,21
9,0.1,0.75,0.66,1.59,-4.52,-2.08,216,295,421,456,324,21
10,0.11,0.77,0.66,-0.43,-4.33,-1.28,220,298,420,451,322,21
11,0.13,0.74,0.64,0.79,-3.85,-4.39,222,297,419,449,324,21
12,0.08,0.74,0.66,2.38,-2.01,-1.22,219,295,420,456,324,21
13,0.14,0.78,0.65,4.88,-8.12,-3.78,219,301,418,454,327,21
14,0.11,0.76,0.63,1.83,-8.0,3.91,219,299,415,454,323,21
15,0.1,0.87,0.63,0.31,-5.8,12.88,223,314,416,455,327,21
16,0.08,0.75,0.56,-6.84,-13.73,10.13,222,300,415,455,328,21
17,0.25,0.65,0.62,-0.18,-5.74,-8.61,220,301,414,455,331,21
18,0.26,0.69,0.65,7.45,3.36,-18.92,220,300,418,457,329,21
19,0.3,0.86,0.69,7.63,13.73,-34.55,227,297,415,455,328,21
20,0.27,0.84,0.73,9.34,29.66,-42.18,226,303,416,452,328,21
21,0.27,0.79,0.63,-11.17,28.14,-36.07,222,299,414,460,329,21
22,0.22,0.83,0.69,-0.79,9.22,-28.63,225,302,417,457,329,21
23,0.2,0.67,0.61,1.4,12.7,-17.09,226,303,413,458,331,21
24,0.19,0.74,0.65,1.95,-19.59,12.39,224,302,413,458,329,21
25,0.24,0.8,0.64,1.22,3.11,-21.18,225,304,415,454,328,21
26,0.25,0.76,0.62,-2.81,-4.21,-8.24,227,299,410,461,329,21
27,0.25,0.75,0.63,3.36,-2.08,-1.77,222,303,414,460,329,21
28,0.21,0.74,0.63,-0.79,-3.42,1.22,224,303,415,456,330,21
29,0.21,0.74,0.63,1.34,-2.56,-3.72,229,299,411,461,330,21
30,0.2,0.75,0.64,0.43,-2.81,-0.79,224,299,412,454,330,21
31,0.14,0.75,0.64,-0.06,6.96,-6.77,222,299,412,456,332,21
32,0.22,0.86,0.72,-0.55,0.18,-13.49,227,300,410,456,331,21
33,0.13,0.81,0.65,-4.64,21.12,-34.06,225,300,409,453,332,21
34,-0.26,0.72,0.65,1.53,1.46,-3.91,227,300,411,456,333,21
35,-0.08,0.71,0.66,0.98,-16.78,29.17,226,299,412,458,333,21
36,-0.1,0.77,0.67,8.0,-14.4,5.31,229,302,410,461,334,21
37,0.08,0.74,0.67,-2.38,1.04,5.07,227,303,411,452,332,21
38,-0.05,0.72,0.69,2.56,-5.86,-0.06,228,300,407,457,334,21
39,0.06,0.75,0.68,-1.16,-7.93,5.31,227,303,405,457,332,21
40,0.1,0.77,0.69,2.44,0.06,-9.09,224,298,405,459,332,21
41,0.04,0.74,0.67,-1.28,-5.62,-0.73,229,295,407,455,333,21
42,0.07,0.75,0.67,0.24,-2.38,-2.32,227,303,407,460,333,21
43,0.04,0.73,0.67,0.31,-4.15,0.31,226,299,406,457,334,21
44,0.06,0.73,0.67,-0.18,-2.08,-4.33,228,306,406,458,334,21
45,0.03,0.76,0.68,0.24,-1.83,-3.97,228,300,408,454,333,21
46,0.01,0.75,0.68,-0.12,-3.78,-1.1,229,301,404,457,332,21
47,0.01,0.75,0.68,0.92,-0.49,-2.81,227,304,404,456,332,21
48,-0.0,0.75,0.68,1.22,-3.72,-3.17,226,300,404,456,332,21
49,0.03,0.69,0.67,2.32,-14.34,6.35,226,300,401,455,332,21
50,0.06,0.75,0.64,5.86,2.38,-5.0,230,302,407,460,336,21
51,0.06,0.82,0.69,-6.41,-9.95,4.94,229,302,403,460,335,21
52,0.24,0.62,0.62,5.37,-10.44,24.6,227,301,399,459,335,21
53,0.16,0.7,0.65,0.06,-13.12,0.18,225,302,402,457,335,21
54,0.23,0.73,0.63,-11.66,-9.22,18.37,229,305,401,460,333,21
