,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,0.86,-0.48,0.13,-2.81,-3.85,-3.17,395,254,187,466,315,28
1,0.87,-0.47,0.13,-1.83,-3.6,-3.72,398,255,185,462,318,28
2,0.87,-0.47,0.14,0.98,-2.44,-5.92,399,255,189,465,318,28
3,0.88,-0.47,0.12,1.95,-2.81,-1.89,399,256,186,467,315,28
4,0.87,-0.47,0.14,-1.83,-3.72,-1.04,404,257,185,474,316,28
5,0.9,-0.45,0.12,-2.32,-1.22,-3.23,402,257,186,467,322,28
6,0.89,-0.46,0.12,4.64,-1.71,-7.69,403,255,189,470,320,28
7,0.88,-0.44,0.13,0.37,-4.15,-2.5,408,255,190,466,319,28
8,0.89,-0.44,0.12,-1.34,-2.62,-2.5,406,256,190,477,324,28
9,0.89,-0.45,0.12,-0.37,-3.11,-2.56,405,255,190,471,321,28
10,0.89,-0.45,0.13,2.87,-2.75,-2.2,419,253,191,466,320,28
11,0.89,-0.45,0.12,0.31,-3.23,-2.2,409,256,194,467,319,28
12,0.88,-0.45,0.12,1.53,-1.77,-3.17,409,258,188,467,319,28
13,0.88,-0.44,0.12,-1.04,-3.6,-2.01,412,258,194,470,321,28
14,0.89,-0.44,0.12,0.43,-3.23,-0.85,409,254,192,468,318,28
15,0.9,-0.44,0.12,0.12,-2.99,-2.2,415,254,195,470,322,28
16,0.89,-0.44,0.12,-1.53,-1.59,-1.46,408,256,195,469,317,28
17,0.89,-0.45,0.13,0.43,-1.4,-4.64,408,258,196,472,321,28
18,0.89,-0.43,0.14,2.38,-3.17,-3.72,409,257,196,470,317,28
19,0.9,-0.43,0.13,-2.87,-2.81,-2.87,408,259,194,468,320,28
20,0.86,-0.44,0.15,2.44,-3.05,1.53,410,260,197,471,318,28
21,0.89,-0.42,0.14,1.04,3.36,-1.1,411,257,193,467,322,28
22,0.87,-0.47,0.12,5.55,-4.21,-11.23,407,257,195,463,320,28
23,0.89,-0.42,0.16,-3.85,-4.09,-0.61,409,256,195,462,323,28
24,0.91,-0.42,0.15,0.18,-3.91,-3.85,410,258,196,468,323,28
25,0.9,-0.44,0.13,-0.37,-3.05,-2.38,408,257,195,467,317,28
26,0.9,-0.43,0.14,1.95,-3.36,-3.11,402,254,196,462,322,28
27,0.88,-0.43,0.15,-1.16,-3.05,-0.43,406,259,199,466,321,28
28,0.9,-0.44,0.12,1.83,-3.23,-2.2,405,259,194,468,324,28
29,0.89,-0.46,0.12,-0.12,-3.05,-1.71,408,257,199,467,321,28
30,0.89,-0.46,0.13,-0.49,-2.08,-1.95,405,257,198,468,321,28
31,0.88,-0.46,0.12,-0.49,-3.66,-2.08,406,260,200,484,318,28
32,0.88,-0.46,0.12,0.92,-3.05,-2.44,408,260,200,477,321,28
33,0.86,-0.46,0.12,0.0,-2.56,-2.81,405,258,199,468,324,28
34,0.88,-0.46,0.12,0.18,-3.05,-2.01,405,260,208,471,323,28
35,0.88,-0.45,0.11,-0.24,-2.32,-3.17,409,260,202,469,322,28
36,0.89,-0.46,0.14,0.06,-2.87,-1.46,405,256,197,467,322,28
37,0.88,-0.46,0.11,-0.24,-2.5,-2.62,408,257,198,470,321,28
38,0.89,-0.46,0.13,-1.89,-1.77,-4.03,402,259,197,468,322,28
39,0.89,-0.45,0.13,-0.37,-2.62,-2.56,406,258,203,470,327,28
40,0.89,-0.45,0.13,-0.06,-3.3,-2.75,403,259,197,463,321,28
41,0.89,-0.46,0.13,2.2,-3.66,-1.22,406,258,198,472,323,28
42,0.88,-0.46,0.13,0.79,-2.44,-2.2,407,257,201,468,323,28
43,0.88,-0.45,0.13,-0.06,-2.81,-1.83,403,260,212,461,322,28
44,0.87,-0.46,0.12,2.87,-3.97,-1.28,404,260,202,466,326,28
45,0.85,-0.45,0.12,1.71,-3.23,-0.43,404,259,201,468,326,28
46,0.9,-0.46,0.12,0.61,-2.81,-7.14,405,258,200,463,325,28
47,0.89,-0.45,0.12,1.95,-6.1,0.49,404,261,203,470,323,28
48,0.91,-0.43,0.14,-1.83,-3.54,-3.11,405,255,200,470,323,28
49,0.92,-0.39,0.11,2.2,11.35,-19.29,401,258,202,468,324,28
50,0.87,-0.41,0.09,0.79,-12.21,-3.42,424,260,199,472,324,28
51,0.91,-0.36,0.11,-2.87,-0.67,3.85,412,265,201,468,323,28
52,0.93,-0.4,0.1,1.04,-1.1,-3.3,404,260,202,467,323,28
53,0.9,-0.39,0.11,-0.18,-5.07,-2.01,402,257,201,467,329,28
54,0.79,-0.4,0.15,6.1,-6.59,11.47,402,262,199,470,324,28
55,0.94,-0.39,0.09,-2.99,-1.04,-8.06,427,258,201,468,325,28
56,0.93,-0.38,0.09,1.04,-3.23,-4.46,406,258,199,465,324,28
57,0.94,-0.37,0.1,0.79,-2.26,-1.16,404,258,201,464,323,28
58,0.94,-0.4,0.08,-2.38,-0.18,-3.17,407,261,201,465,323,28
59,0.93,-0.41,0.07,2.44,-5.86,-1.28,392,254,216,469,326,28
60,0.96,-0.41,0.08,-2.75,1.04,-2.56,402,258,202,473,324,28
61,0.94,-0.4,0.06,4.58,-4.33,-5.8,402,258,205,466,324,28
62,0.92,-0.4,0.06,-1.59,-2.62,-1.34,400,258,202,468,324,28
63,0.93,-0.37,0.08,2.62,-3.36,-4.46,401,270,200,465,325,28
64,0.93,-0.36,0.08,2.2,-3.3,-2.69,400,262,205,466,325,28
65,0.9,-0.37,0.1,-1.59,-3.3,1.46,397,261,206,466,324,28
66,0.92,-0.37,0.07,-2.44,-3.72,-3.05,399,256,214,470,327,28
67,0.93,-0.38,0.08,-0.61,-2.62,-3.66,400,261,202,472,322,28
68,0.9,-0.39,0.08,0.49,-4.52,-0.43,401,260,203,465,324,28
69,0.83,-0.37,0.14,10.01,-20.63,7.45,397,258,202,471,332,28
70,0.94,-0.39,0.06,-9.09,-3.97,-2.5,396,261,205,471,324,28
71,0.9,-0.35,0.11,7.51,9.64,-17.94,399,262,205,468,327,28
72,0.91,-0.41,0.07,-7.63,-0.85,-1.77,395,258,206,467,325,28
73,0.93,-0.35,0.11,-2.5,3.05,-3.3,400,264,202,471,324,28
74,0.96,-0.39,0.11,-4.21,8.0,-12.21,399,258,203,469,327,28
75,0.9,-0.4,0.14,-1.46,-3.72,-1.71,400,261,205,472,326,28
76,0.91,-0.4,0.13,-1.34,-3.85,-1.77,399,261,207,463,329,28
77,0.9,-0.4,0.14,-0.67,-3.36,-2.38,398,261,204,467,321,28
78,0.9,-0.42,0.12,1.53,-2.44,-2.08,399,262,204,466,326,28
79,0.91,-0.4,0.13,-1.04,-3.72,-3.42,399,258,205,464,329,28
80,0.92,-0.41,0.13,3.54,-3.05,-3.54,400,262,204,472,327,28
81,0.91,-0.4,0.13,1.04,-2.56,-3.78,398,263,206,471,329,28
82,0.91,-0.4,0.13,-1.1,-2.69,-2.14,400,274,206,469,329,28
83,0.92,-0.37,0.14,1.95,-2.08,-4.88,399,264,204,469,324,28
84,0.92,-0.37,0.14,1.65,-1.65,-4.27,398,262,215,466,327,28
85,0.92,-0.38,0.14,0.73,-2.81,-2.08,397,261,207,481,323,28
86,0.91,-0.38,0.14,-0.85,-3.78,-1.04,398,261,208,468,326,28
87,0.92,-0.4,0.14,-0.55,-2.75,-2.26,400,265,208,485,327,28
88,0.91,-0.41,0.14,-3.23,-1.89,-3.36,398,264,209,467,326,28
89,0.91,-0.4,0.14,2.26,-4.21,-2.44,399,263,207,468,326,28
90,0.92,-0.39,0.14,0.85,-2.81,-2.81,402,263,204,473,328,28
91,0.91,-0.4,0.14,-0.37,-2.93,-4.76,400,262,208,472,325,28
92,0.91,-0.4,0.14,0.55,-3.05,-2.75,410,264,206,469,326,28
93,0.9,-0.42,0.14,0.85,-5.43,-2.75,398,260,206,472,326,28
94,0.92,-0.44,0.09,-4.7,-3.36,-5.19,398,262,207,467,327,28
95,0.91,-0.41,0.12,0.37,-3.36,0.12,395,262,208,466,328,28
96,0.89,-0.43,0.12,-1.16,-2.81,-4.39,399,260,207,472,329,28
97,0.93,-0.41,0.11,1.59,-4.82,-4.27,398,262,208,463,324,28
98,0.91,-0.41,0.12,-0.73,-3.6,-2.01,398,261,209,468,325,28
99,0.92,-0.41,0.1,1.65,-2.75,-2.62,398,264,208,464,323,28
100,0.9,-0.41,0.11,2.56,-5.13,-0.12,397,262,210,463,321,28
101,0.88,-0.41,0.13,1.59,-2.26,-3.3,400,264,209,468,325,28
102,0.92,-0.41,0.11,-1.16,-3.11,-3.17,398,261,207,472,326,28
103,0.9,-0.42,0.11,0.61,-3.36,-2.14,400,261,209,468,327,28
104,0.92,-0.42,0.1,-1.65,-1.59,-3.3,400,261,209,463,327,28
105,0.9,-0.42,0.1,-1.4,-3.11,-3.42,398,262,204,463,326,28
106,0.92,-0.41,0.1,1.59,-2.75,-2.87,397,262,206,470,325,28
107,0.94,-0.38,0.1,3.3,-2.93,-3.72,401,264,208,470,325,28
108,0.91,-0.39,0.11,1.28,-2.87,-3.11,400,261,207,462,323,28
109,0.91,-0.4,0.1,0.98,-2.99,-2.62,399,260,205,469,325,28
110,0.92,-0.39,0.11,-0.85,-2.81,-2.81,401,265,207,468,327,28
111,0.92,-0.39,0.11,1.77,-3.3,-2.62,397,258,207,468,324,28
112,0.91,-0.4,0.11,1.1,-3.48,-1.46,397,265,208,469,326,28
113,0.9,-0.42,0.1,-0.98,-3.11,-1.28,398,262,211,464,325,28
114,0.91,-0.42,0.09,-0.49,-1.83,-3.42,399,266,210,468,328,28
115,0.89,-0.41,0.08,1.1,-3.05,-2.08,400,265,206,466,319,28
116,0.9,-0.41,0.1,0.31,-2.99,-2.99,399,262,208,472,328,28
117,0.91,-0.42,0.09,-0.37,-1.71,-3.48,397,260,205,468,327,28
118,0.9,-0.43,0.09,0.79,-2.81,-3.17,400,261,210,468,328,28
119,0.91,-0.42,0.09,0.98,-2.62,-2.44,399,264,206,465,328,28
120,0.91,-0.43,0.08,-0.49,-2.75,-2.81,398,265,207,472,326,28
121,0.9,-0.42,0.1,0.79,-2.26,-3.05,400,264,206,472,326,28
122,0.91,-0.42,0.09,0.67,-2.93,-2.69,401,264,210,471,327,28
123,0.9,-0.42,0.1,1.22,-2.93,-2.56,401,264,209,468,324,28
124,0.9,-0.42,0.1,0.06,-3.05,-3.54,398,265,208,465,326,28
