,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,number
0,-0.12,-0.98,0.15,0.43,-2.75,-2.44,450,317,252,327,296,23
1,-0.12,-0.98,0.15,0.73,-3.11,-2.99,477,316,261,328,294,23
2,-0.13,-0.98,0.15,0.12,-3.17,-2.69,453,318,255,325,294,23
3,-0.13,-0.98,0.15,-0.12,-3.23,-3.42,452,316,255,330,298,23
4,-0.13,-0.98,0.15,0.49,-3.78,-2.56,452,315,255,326,292,23
5,-0.12,-0.98,0.15,0.67,-3.54,-3.05,452,318,251,330,296,23
6,-0.13,-0.98,0.16,0.06,-2.32,-2.99,449,316,257,327,296,23
7,-0.13,-0.94,0.15,0.67,-3.17,-3.23,449,312,255,324,295,23
8,-0.11,-1.0,0.16,4.09,-3.6,-2.93,449,313,255,329,296,23
9,-0.09,-0.98,0.19,1.22,-5.19,-4.03,455,315,253,327,295,23
10,-0.1,-0.98,0.18,0.67,-2.93,-2.32,452,318,259,323,288,23
11,-0.11,-0.98,0.18,0.67,-3.78,-2.5,468,320,255,328,296,23
12,-0.11,-0.97,0.17,0.73,-2.5,-2.14,446,316,256,325,298,23
13,-0.1,-0.98,0.2,1.1,-2.62,-4.03,449,316,259,328,293,23
14,-0.08,-0.98,0.19,0.49,-3.11,-3.17,449,318,258,328,298,23
15,-0.09,-0.97,0.19,0.67,-2.44,0.12,448,316,255,328,293,23
16,-0.12,-0.97,0.18,0.24,-2.5,-1.77,450,318,253,326,296,23
17,-0.12,-0.97,0.18,0.67,-3.11,-2.08,456,316,253,328,298,23
18,-0.13,-0.97,0.19,0.67,-2.38,-2.99,451,317,253,329,294,23
19,-0.14,-0.96,0.18,0.43,-3.78,-2.99,449,316,256,325,297,23
20,-0.12,-1.0,0.19,1.1,-2.99,-2.32,449,317,254,333,299,23
21,-0.14,-0.97,0.2,0.85,-4.52,-4.21,448,311,251,323,298,23
22,-0.12,-0.97,0.2,0.49,-3.78,-3.23,448,318,252,330,296,23
23,-0.11,-0.98,0.19,-0.31,-2.14,-3.78,451,318,257,331,298,23
24,-0.12,-0.98,0.19,-0.06,-2.69,-2.5,449,316,257,339,299,23
25,-0.11,-0.98,0.19,2.32,-2.01,-1.53,448,317,255,331,296,23
26,-0.12,-0.98,0.19,0.43,-2.44,-2.2,461,314,252,332,296,23
27,-0.13,-0.97,0.19,-0.31,-2.81,-2.08,449,315,258,330,296,23
28,-0.12,-0.98,0.17,1.71,-2.69,-1.4,447,317,253,335,294,23
29,-0.13,-0.97,0.19,0.12,-3.42,-2.44,445,312,257,327,297,23
30,-0.13,-0.97,0.19,1.53,-3.54,-2.44,457,314,260,328,299,23
31,-0.12,-0.97,0.18,-0.85,-2.38,-4.94,449,314,255,326,297,23
32,-0.14,-0.96,0.17,0.49,-2.2,-1.77,447,314,255,333,296,23
33,-0.13,-0.97,0.19,0.31,-2.69,-3.05,450,312,255,331,299,23
34,-0.14,-0.98,0.19,0.85,-2.62,-3.97,450,314,256,326,295,23
35,-0.11,-0.97,0.19,-0.31,-4.09,-3.11,443,314,256,331,303,23
36,-0.13,-0.98,0.21,0.12,0.55,-2.5,446,314,257,329,297,23
37,-0.15,-0.97,0.19,1.04,-3.36,-0.85,447,317,256,334,297,23
38,-0.14,-0.97,0.18,0.73,-3.05,-1.59,447,316,258,332,295,23
