,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.97,-0.23,0.17,-2.62,-5.98,-2.62,327,445,442,281,248
1,0.98,-0.22,0.14,0.67,-4.46,-2.56,327,456,441,285,248
2,0.97,-0.22,0.15,-0.92,-2.08,-2.38,328,451,446,283,247
3,0.97,-0.23,0.15,0.73,-2.87,-1.65,328,459,444,286,245
4,0.96,-0.22,0.16,0.0,-2.38,-2.38,328,447,442,299,247
5,0.97,-0.23,0.16,1.1,-3.3,-2.26,333,455,439,283,246
6,0.97,-0.23,0.16,1.34,-3.48,-1.1,327,455,445,283,247
7,0.96,-0.22,0.16,-1.83,-5.49,-3.72,330,452,440,283,246
8,0.97,-0.22,0.15,-0.49,-3.11,-4.52,330,449,439,284,245
9,0.98,-0.23,0.15,-3.23,-5.8,-2.56,329,451,438,283,248
10,0.97,-0.22,0.15,0.61,-3.66,-1.59,327,452,439,280,247
11,0.97,-0.22,0.15,2.08,-2.93,-1.59,330,454,438,286,248
12,0.97,-0.22,0.17,0.18,-2.69,-1.1,329,451,444,281,246
13,0.97,-0.23,0.16,0.61,-2.56,-1.83,330,452,437,290,245
14,0.98,-0.22,0.16,0.24,-2.01,-1.89,331,452,433,284,247
15,0.96,-0.24,0.16,-1.46,-4.15,-0.24,331,455,436,284,248
16,0.96,-0.24,0.17,0.24,-3.23,-1.65,328,452,437,288,245
17,0.96,-0.24,0.16,-0.98,-3.3,-3.23,330,453,438,286,245
18,0.95,-0.25,0.17,-2.87,-2.44,-2.87,333,453,436,280,246
19,0.96,-0.23,0.18,1.04,-3.85,-2.14,330,452,436,282,244
20,0.96,-0.25,0.17,2.26,-2.5,-1.71,333,448,434,282,247
21,0.97,-0.25,0.16,1.4,-3.48,-4.03,331,452,430,286,247
22,0.95,-0.26,0.16,0.31,-3.48,-2.32,332,455,434,283,243
23,0.96,-0.26,0.16,0.61,-3.17,-1.77,331,456,438,284,245
