,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.93,-0.28,0.28,0.67,-2.81,-1.95,340,454,415,493,223
1,0.93,-0.29,0.28,0.73,-2.32,-2.08,336,450,414,502,226
2,0.91,-0.3,0.28,1.28,-2.56,-2.44,350,452,414,493,223
3,0.93,-0.29,0.28,0.92,-2.69,-3.23,336,449,413,493,223
4,0.92,-0.3,0.28,0.0,-1.89,-2.99,338,448,418,491,223
5,0.92,-0.29,0.29,0.85,-3.36,-2.69,335,452,415,490,225
6,0.92,-0.28,0.29,0.06,-2.99,-2.99,341,455,416,490,224
7,0.92,-0.29,0.29,1.34,-3.97,-2.56,339,449,416,493,227
8,0.93,-0.28,0.29,1.65,-2.99,-1.71,337,447,412,493,225
9,0.92,-0.29,0.28,1.04,-2.44,-2.32,339,450,419,490,226
10,0.94,-0.28,0.28,-0.98,-2.56,0.49,338,443,414,488,226
11,0.95,-0.28,0.28,3.97,-3.6,-5.8,339,451,412,497,216
12,0.9,-0.28,0.29,1.77,-4.94,-4.88,338,448,413,492,228
13,0.91,-0.28,0.29,-4.64,-3.23,-1.71,340,457,414,492,229
14,0.93,-0.26,0.29,0.55,-2.08,-1.04,340,447,414,495,229
15,0.91,-0.28,0.29,-0.92,-3.36,-1.95,338,452,413,488,231
16,0.94,-0.27,0.28,-0.85,-5.07,-2.26,338,460,414,490,224
17,0.94,-0.25,0.29,0.79,-2.08,-0.85,341,450,413,488,229
18,0.93,-0.26,0.3,2.93,-6.16,-3.42,340,452,412,487,226
19,0.92,-0.27,0.29,-2.75,-3.66,-2.5,336,448,412,488,230
20,0.91,-0.26,0.3,-0.49,-1.46,-2.99,340,448,412,488,228
21,0.92,-0.28,0.25,3.66,1.53,-6.47,336,445,414,487,228
22,0.89,-0.29,0.27,-2.62,-1.1,2.26,340,448,409,487,230
23,0.94,-0.27,0.28,-3.54,-3.72,-4.21,338,448,412,483,226
24,0.96,-0.23,0.3,-0.24,-0.73,-0.73,341,442,415,486,233
25,0.94,-0.25,0.28,0.55,-1.71,0.0,335,447,413,483,232
26,0.92,-0.28,0.29,-1.77,-1.65,-1.53,338,444,412,494,255
27,0.92,-0.27,0.29,0.06,-2.14,-2.08,339,448,412,488,227
28,0.92,-0.27,0.3,1.46,-3.48,-2.26,341,449,414,486,233
29,0.92,-0.27,0.3,0.24,-2.87,-2.69,338,452,412,485,232
30,0.91,-0.29,0.28,-0.12,-2.75,-1.95,339,449,412,488,234
31,0.92,-0.29,0.29,2.08,-1.65,-2.99,342,448,415,489,233
32,0.93,-0.28,0.3,1.71,-2.56,-3.91,337,447,414,486,229
33,0.92,-0.29,0.3,0.24,-1.89,-2.99,340,452,409,489,239
34,0.92,-0.28,0.32,0.0,-1.22,-2.44,340,451,412,480,234
35,0.91,-0.28,0.33,0.43,-0.92,-0.79,340,457,410,486,230
36,0.89,-0.32,0.32,2.69,-2.38,-1.65,340,452,411,486,233
37,0.89,-0.32,0.32,-3.42,-2.69,1.71,340,452,411,482,235
38,0.91,-0.3,0.33,2.2,-2.62,-2.62,339,448,411,486,235
39,0.9,-0.3,0.35,-0.06,-1.53,-1.59,340,449,413,486,230
40,0.91,-0.29,0.35,5.07,-2.32,-3.6,343,448,410,487,236
41,0.9,-0.28,0.36,0.0,-3.48,-2.38,337,452,413,484,231
42,0.9,-0.28,0.36,1.28,-3.72,-3.05,340,445,410,484,230
43,0.91,-0.28,0.36,1.28,-3.05,-3.54,342,450,413,486,235
44,0.9,-0.29,0.35,1.34,-2.93,-0.79,341,450,410,482,234
45,0.89,-0.3,0.34,0.31,-3.23,-1.95,341,454,413,485,224
46,0.9,-0.3,0.35,0.73,-1.65,-1.46,336,449,415,486,237
47,0.9,-0.29,0.35,0.31,-1.65,-1.59,339,454,412,484,231
48,0.91,-0.29,0.35,-0.24,-3.23,-2.87,336,453,413,486,235
49,0.89,-0.3,0.35,1.28,-3.78,-2.81,339,448,409,483,229
50,0.9,-0.29,0.35,1.46,-3.11,-2.99,343,455,413,484,234
51,0.9,-0.29,0.35,0.18,-3.54,-2.56,336,446,412,485,236
52,0.9,-0.29,0.35,1.77,-2.5,-2.38,340,449,415,483,237
53,0.9,-0.29,0.35,3.3,-2.5,-2.75,340,446,413,483,234
54,0.89,-0.3,0.35,-1.22,-1.28,-0.24,339,451,416,482,235
55,0.89,-0.3,0.36,-0.73,-2.81,-3.11,340,450,411,482,238
56,0.89,-0.3,0.35,0.37,-3.36,-1.77,341,451,415,486,238
57,0.9,-0.3,0.36,1.77,-2.81,-1.83,341,450,411,485,239
58,0.91,-0.28,0.36,0.73,-2.5,-2.93,342,448,413,484,235
59,0.9,-0.29,0.36,0.18,-3.11,-2.32,341,449,423,490,258
60,0.89,-0.29,0.36,2.44,-4.33,-3.36,339,450,413,485,236
61,0.89,-0.31,0.35,-1.83,-2.81,-1.28,338,451,409,483,235
62,0.89,-0.3,0.36,-0.24,-2.99,-1.59,342,445,409,489,233
63,0.9,-0.3,0.36,-1.83,-2.75,-3.05,347,451,411,484,239
64,0.9,-0.29,0.36,-0.24,-2.75,-3.42,340,450,410,484,236
65,0.89,-0.29,0.36,-0.18,-2.56,-2.75,338,450,409,483,237
66,0.89,-0.3,0.36,0.49,-3.3,-2.56,341,455,411,482,236
67,0.94,-0.29,0.36,0.67,-3.42,-2.08,336,454,412,484,237
68,0.91,-0.29,0.36,-0.37,-2.87,-2.32,340,449,412,480,239
69,0.89,-0.29,0.37,1.4,-3.78,-2.14,339,453,409,485,238
70,0.88,-0.29,0.38,-0.61,-0.31,-3.17,340,446,412,492,236
71,0.88,-0.31,0.36,1.46,-2.62,-2.5,342,450,412,484,236
72,0.9,-0.3,0.36,-0.24,-2.75,-3.17,340,457,409,482,236
73,0.89,-0.3,0.36,0.43,-3.3,-2.99,340,451,410,486,240
74,0.9,-0.3,0.36,-0.31,-4.52,-1.89,344,451,411,483,238
75,0.91,-0.3,0.35,0.24,-3.17,-2.93,341,454,410,488,238
76,0.89,-0.3,0.36,0.55,-2.99,-3.11,339,450,413,481,239
77,0.88,-0.29,0.38,-0.12,-3.05,-2.99,341,452,407,483,230
78,0.89,-0.29,0.37,-2.5,-3.78,-5.19,340,454,408,486,242
79,0.89,-0.29,0.37,0.31,-2.62,-3.91,342,454,412,486,234
80,0.88,-0.29,0.36,-2.01,-2.93,-2.93,341,452,412,481,238
81,0.9,-0.28,0.38,2.87,-0.18,-2.2,342,457,410,483,274
82,0.87,-0.31,0.37,1.71,-1.46,-1.34,338,445,409,479,237
83,0.92,-0.3,0.36,2.08,-0.85,-1.59,340,445,406,480,237
84,0.91,-0.28,0.39,-0.61,-0.79,-3.85,341,446,409,484,236
85,0.9,-0.31,0.37,2.99,-1.4,-2.75,340,450,408,482,234
86,0.9,-0.31,0.37,2.62,-1.46,-2.44,341,445,407,486,234
87,0.87,-0.31,0.37,-0.37,-3.05,-1.22,340,449,410,485,231
88,0.88,-0.3,0.37,0.0,-2.87,-2.69,336,450,409,482,233
89,0.88,-0.31,0.37,0.37,-3.85,-2.99,337,451,407,484,233
90,0.89,-0.3,0.38,3.66,-2.26,-0.61,336,450,412,484,224
91,0.88,-0.31,0.38,-0.37,-3.54,-2.93,340,452,413,483,235
92,0.87,-0.31,0.37,-0.06,-2.69,-2.5,339,443,412,481,232
93,0.86,-0.32,0.38,-0.43,-2.93,-3.11,342,453,408,484,235
94,0.89,-0.31,0.37,0.06,-3.54,-3.17,341,453,411,484,234
95,0.88,-0.3,0.37,0.43,-2.01,-3.3,341,448,409,482,233
96,0.89,-0.3,0.38,1.4,-3.23,-2.2,342,449,413,486,232
97,0.89,-0.3,0.38,0.0,-2.75,-2.93,340,453,409,484,236
98,0.88,-0.31,0.37,0.92,-2.87,-2.99,341,449,411,483,239
99,0.88,-0.3,0.38,1.53,-2.38,-2.75,339,450,413,478,233
100,0.89,-0.3,0.38,0.31,-2.87,-2.5,347,445,412,484,235
101,0.89,-0.29,0.39,0.67,-3.17,-2.87,343,445,418,478,234
102,0.88,-0.29,0.38,0.67,-3.23,-1.65,342,451,405,485,240
103,0.88,-0.3,0.37,1.53,-2.5,-1.1,338,446,407,485,236
104,0.89,-0.29,0.38,-0.12,-2.75,-2.32,342,449,408,482,236
105,0.88,-0.3,0.37,0.73,-3.3,-2.14,340,450,412,480,224
106,0.9,-0.29,0.38,0.49,-2.62,-2.69,351,449,412,479,235
107,0.9,-0.28,0.38,0.98,-2.87,-3.23,341,449,409,483,234
108,0.89,-0.28,0.39,-1.53,-2.99,-3.11,342,450,421,479,234
109,0.89,-0.28,0.38,0.79,-2.87,-2.38,340,450,405,480,234
110,0.89,-0.28,0.38,1.22,-2.62,-2.26,340,444,405,476,237
111,0.89,-0.28,0.38,0.12,-3.3,-2.99,340,449,409,481,234
112,0.9,-0.27,0.38,1.59,-3.78,-2.14,340,451,410,481,234
113,0.9,-0.28,0.37,0.73,-3.42,-2.32,341,453,411,481,229
114,0.9,-0.27,0.38,1.16,-3.05,-3.23,338,450,409,478,238
115,0.9,-0.27,0.38,0.43,-2.32,-2.69,340,455,407,483,237
116,0.88,-0.27,0.38,-0.12,-3.05,-2.69,347,445,411,481,235
117,0.9,-0.27,0.38,0.98,-2.5,-2.87,341,452,409,481,238
118,0.89,-0.27,0.39,-1.4,-3.17,-2.01,341,461,409,482,235
119,0.89,-0.28,0.38,0.98,-2.69,-1.83,341,450,412,480,237
120,0.89,-0.27,0.38,-0.67,-2.81,-1.65,347,450,409,480,235
121,0.89,-0.28,0.38,-0.79,-3.11,-2.2,340,451,408,480,237
122,0.9,-0.27,0.38,0.55,-3.17,-2.75,340,456,411,480,236
123,0.9,-0.26,0.38,-1.04,-3.11,-2.56,344,444,410,483,233
124,0.9,-0.26,0.39,1.1,-3.72,-3.54,341,447,411,482,235
125,0.91,-0.26,0.38,0.43,-3.05,-2.32,342,454,412,479,235
126,0.89,-0.27,0.38,-0.43,-2.93,-1.89,341,451,410,477,233
127,0.89,-0.27,0.38,-0.24,-2.99,-1.89,341,454,413,479,238
128,0.89,-0.27,0.38,1.71,-3.48,-2.75,340,451,408,480,236
129,0.9,-0.26,0.39,0.31,-3.72,-2.62,340,450,408,482,236
130,0.89,-0.27,0.38,0.24,-2.56,-2.87,342,450,411,482,247
131,0.88,-0.28,0.38,-1.1,-3.54,-2.75,340,454,410,476,239
132,0.89,-0.26,0.38,0.55,-2.44,-3.48,341,448,407,479,236
133,0.89,-0.27,0.38,0.24,-2.14,-2.56,339,450,411,477,236
134,0.9,-0.26,0.38,0.61,-3.97,-3.6,340,444,409,480,236
135,0.9,-0.26,0.37,0.49,-5.74,-1.95,340,449,405,478,240
136,0.9,-0.26,0.37,0.61,-3.54,-2.81,339,453,404,480,234
137,0.89,-0.26,0.37,0.61,-2.81,-3.42,340,449,408,480,244
138,0.91,-0.26,0.38,-0.79,-2.2,-2.14,340,455,409,482,238
139,0.9,-0.27,0.37,1.28,-2.62,-2.87,341,455,408,480,238
140,0.91,-0.26,0.38,1.04,-1.28,-2.14,341,445,411,482,238
141,0.89,-0.28,0.37,-2.38,-2.69,-3.05,341,450,408,478,242
142,0.9,-0.26,0.37,0.12,-2.38,-2.2,338,450,411,479,234
143,0.9,-0.26,0.38,1.46,-2.69,-2.62,341,451,409,480,235
144,0.9,-0.26,0.38,0.06,-2.93,-2.14,339,450,405,477,235
145,0.9,-0.26,0.38,1.1,-3.05,-3.11,340,452,408,481,236
146,0.9,-0.26,0.38,-0.06,-2.26,-3.23,339,450,408,479,236
147,0.9,-0.25,0.39,1.22,-2.81,-2.32,337,455,409,479,238
148,0.9,-0.27,0.37,1.16,-3.66,-2.26,351,445,410,478,233
149,0.9,-0.26,0.38,-0.55,-3.66,-2.75,342,451,408,480,233
150,0.91,-0.25,0.39,0.55,-2.81,-3.17,334,453,412,478,238
151,0.9,-0.26,0.38,-0.37,-3.54,-2.75,343,450,410,477,237
152,0.91,-0.25,0.38,1.46,-2.01,-3.11,342,452,408,482,236
153,0.9,-0.26,0.39,0.55,-1.89,-1.83,341,452,408,480,238
154,0.89,-0.26,0.4,1.53,-3.91,-3.23,342,448,402,475,236
155,0.9,-0.24,0.4,0.12,-3.36,-0.73,340,452,406,478,236
156,0.88,-0.26,0.41,1.34,-3.3,-2.26,341,456,410,473,237
157,0.9,-0.27,0.38,0.61,-2.62,-2.69,338,451,407,481,234
158,0.86,-0.29,0.39,-0.55,-3.42,-3.36,341,451,409,482,240
159,0.88,-0.27,0.39,1.22,-4.33,-2.75,341,454,414,479,245
160,0.92,-0.26,0.37,2.62,-2.69,-1.28,341,451,405,478,237
161,0.89,-0.28,0.39,-0.12,-1.83,-2.38,341,447,407,476,236
162,0.88,-0.28,0.39,-1.22,-3.23,-3.78,341,453,407,478,237
163,0.88,-0.28,0.38,0.79,-2.2,-1.16,342,451,408,480,237
164,0.88,-0.29,0.39,0.0,-2.69,-2.14,343,452,409,479,234
165,0.88,-0.27,0.4,0.06,-2.14,-2.01,344,451,408,476,237
166,0.9,-0.27,0.4,1.1,-3.54,-1.1,337,452,409,476,240
167,0.9,-0.27,0.39,1.59,-4.39,-0.92,344,452,420,483,235
168,0.87,-0.29,0.39,0.18,-1.34,-2.2,340,451,408,478,236
169,0.87,-0.29,0.39,0.37,-3.17,-1.77,338,454,410,495,237
170,0.85,-0.31,0.38,2.01,-2.81,-3.54,342,451,410,477,236
