,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,-0.06,-0.97,0.25,27.53,1.16,-7.32,287,261,192,220,197
1,-0.05,-0.96,0.28,7.14,-7.51,-4.52,289,265,194,218,199
2,-0.03,-0.96,0.31,-1.65,-4.58,1.77,286,272,198,224,196
3,-0.05,-0.93,0.31,-0.67,-1.22,2.01,287,267,196,219,198
4,-0.06,-0.96,0.29,0.24,0.0,-4.27,286,272,196,219,198
5,-0.04,-0.95,0.26,1.1,-0.55,-1.04,289,265,197,221,198
6,-0.06,-0.95,0.3,-1.16,-0.49,0.61,288,268,199,219,199
7,-0.11,-0.96,0.23,-1.34,-8.3,-2.14,290,280,202,224,199
8,-0.1,-0.95,0.26,-0.12,-4.09,-4.03,289,280,200,223,200
9,-0.1,-0.96,0.28,-2.87,-3.54,-2.69,287,280,205,223,198
10,-0.09,-0.96,0.27,2.01,-4.09,-2.2,286,286,202,224,231
11,-0.08,-0.96,0.3,-1.22,-4.21,-1.16,287,283,205,222,199
12,-0.1,-0.95,0.29,0.85,-3.66,-1.4,285,283,206,221,202
13,-0.1,-0.95,0.28,1.22,-3.48,-2.69,291,286,202,224,199
14,-0.09,-0.95,0.31,0.92,-3.17,-1.83,287,281,201,225,199
15,-0.1,-0.95,0.3,-2.26,-2.75,-3.11,288,282,206,225,202
16,-0.09,-0.95,0.27,-3.11,-1.59,-3.97,286,284,208,223,199
17,-0.1,-0.95,0.28,2.5,-4.15,-3.3,289,285,205,222,199
18,-0.1,-0.95,0.29,0.98,-2.87,-3.54,291,287,206,222,201
19,-0.1,-0.95,0.29,-5.19,2.14,-7.57,291,281,208,222,201
20,-0.1,-0.96,0.3,-2.75,-4.7,-2.08,288,284,219,224,205
21,-0.09,-0.95,0.28,-0.49,-2.93,-2.99,286,285,205,228,200
22,-0.09,-0.95,0.28,-0.12,-1.53,-3.85,290,286,219,229,204
23,-0.09,-0.96,0.28,-0.24,-1.95,-2.99,290,286,209,224,204
24,-0.1,-0.95,0.28,-0.43,-3.23,-1.77,298,285,208,227,204
25,-0.09,-0.95,0.29,0.85,-2.38,-1.59,287,281,205,226,212
26,-0.1,-0.95,0.29,-1.22,-2.32,-3.42,286,281,206,226,204
27,-0.11,-0.95,0.31,1.16,-2.32,-3.85,288,287,203,230,199
28,-0.1,-0.95,0.3,-0.73,-2.44,-3.6,288,282,206,230,203
