,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.65,0.56,0.47,-12.39,-12.21,5.98,415,298,396,329,251
1,0.54,0.64,0.59,6.65,-13.98,9.09,420,303,401,337,253
2,0.55,0.6,0.55,-0.12,3.11,-0.92,418,303,401,339,253
3,0.54,0.65,0.52,19.04,7.87,-12.76,414,307,402,334,250
4,0.59,0.67,0.52,8.0,-11.66,-1.53,415,309,407,324,249
5,0.56,0.75,0.49,24.54,-8.91,5.86,414,307,402,320,247
6,0.43,0.76,0.41,1.46,-12.02,5.19,417,313,405,321,249
7,0.53,0.7,0.47,-12.94,-6.84,1.04,417,315,402,323,249
8,0.5,0.7,0.49,-1.71,-6.47,-3.3,413,313,403,324,250
9,0.54,0.67,0.47,-6.41,-1.95,2.62,418,316,405,327,248
10,0.61,0.68,0.44,5.43,4.88,-3.48,413,312,402,326,248
11,0.62,0.68,0.46,3.17,-1.77,-3.85,415,313,401,323,248
12,0.56,0.67,0.49,-2.56,-0.98,-0.12,411,317,408,329,250
13,0.56,0.65,0.47,-3.17,-0.79,-1.04,416,321,401,330,247
14,0.6,0.65,0.51,-3.05,-4.64,-0.49,413,314,402,329,247
15,0.57,0.65,0.52,-2.56,-5.0,2.14,416,321,406,331,251
16,0.57,0.63,0.49,-0.37,-2.62,-3.17,415,320,403,328,249
17,0.6,0.66,0.5,1.16,-3.42,-3.97,418,323,401,328,252
18,0.58,0.65,0.5,2.2,-2.81,-6.23,417,329,403,330,251
19,0.55,0.68,0.51,1.1,-1.28,-4.09,415,317,403,328,246
20,0.55,0.67,0.51,2.56,-4.46,1.1,417,315,406,328,249
21,0.56,0.65,0.51,-1.59,-4.15,-0.43,415,322,416,330,249
22,0.57,0.66,0.52,0.55,-0.73,-0.98,416,321,405,338,239
23,0.57,0.65,0.51,1.95,-4.03,-5.19,418,320,403,336,252
24,0.58,0.64,0.5,4.33,-2.62,0.73,413,320,401,329,249
25,0.57,0.65,0.51,-0.61,1.04,-1.53,417,324,404,336,251
26,0.6,0.64,0.52,-1.34,-0.12,-3.78,418,315,404,329,248
27,0.59,0.63,0.53,0.12,-3.54,1.59,420,321,403,329,248
28,0.57,0.61,0.54,3.97,-3.97,-4.82,415,319,401,329,246
29,0.56,0.64,0.54,-1.89,-2.08,-3.6,418,318,404,331,251
30,0.56,0.62,0.54,-0.79,-4.52,-4.15,415,320,405,329,250
31,0.58,0.62,0.54,-0.24,-5.31,0.06,415,323,405,330,250
32,0.58,0.62,0.54,-0.67,-0.79,-0.43,417,316,403,340,252
33,0.57,0.62,0.55,4.09,-2.26,-3.36,420,321,403,339,251
34,0.6,0.63,0.54,-2.56,0.31,-0.85,418,315,406,333,251
35,0.61,0.58,0.54,1.1,-9.52,0.0,418,316,402,328,250
36,0.61,0.7,0.6,-5.13,17.64,-15.2,415,322,407,331,252
37,0.64,0.61,0.57,-0.67,-5.49,-0.18,419,321,403,336,246
38,0.6,0.58,0.58,2.62,-6.53,-4.52,419,327,407,336,249
39,0.64,0.59,0.59,8.42,-0.06,-6.04,419,314,403,334,249
40,0.59,0.62,0.51,1.89,-0.98,-5.19,421,321,402,336,247
41,0.6,0.63,0.53,4.03,-0.43,-4.52,416,323,402,335,250
42,0.59,0.65,0.55,0.43,-1.71,-0.43,421,323,400,333,278
43,0.64,0.67,0.53,4.58,-3.3,-1.83,420,324,402,336,253
44,0.55,0.62,0.52,18.8,-2.99,-18.86,417,321,402,332,253
45,0.6,0.69,0.46,4.09,-6.23,-1.22,417,322,404,337,250
46,0.54,0.65,0.45,11.47,-15.44,1.71,415,324,402,338,250
47,0.58,0.75,0.42,-1.59,-7.75,-5.74,414,326,406,337,278
48,0.59,0.74,0.4,5.62,0.06,-5.07,419,323,405,339,251
49,0.62,0.71,0.36,6.23,-0.92,-1.22,421,321,406,336,250
50,0.61,0.71,0.35,3.78,-1.77,-3.72,420,319,411,338,250
51,0.62,0.71,0.35,-2.93,-1.83,-2.56,415,324,404,343,251
52,0.62,0.71,0.38,1.46,-0.79,-3.78,420,328,406,342,251
53,0.57,0.68,0.4,5.0,-2.81,2.75,426,320,403,337,251
54,0.61,0.68,0.39,5.25,0.24,-5.13,421,327,403,337,250
55,0.58,0.72,0.33,-6.53,-4.15,5.62,415,328,399,339,254
56,0.6,0.7,0.36,3.17,-3.11,0.98,420,324,403,337,264
57,0.59,0.71,0.36,1.53,-2.62,-0.24,420,331,400,340,254
58,0.65,0.68,0.35,-0.98,-5.92,0.0,414,325,401,340,252
59,0.63,0.7,0.36,3.85,-2.38,-2.32,420,327,407,337,252
60,0.64,0.67,0.35,5.62,-5.19,-0.98,418,325,404,341,255
61,0.6,0.69,0.32,17.7,-11.35,9.03,420,325,401,341,255
62,0.65,0.69,0.31,3.85,-2.81,-9.34,417,324,402,342,251
63,0.61,0.66,0.32,-4.76,-2.87,-2.01,419,334,403,339,253
64,0.61,0.72,0.33,1.4,-2.5,-6.59,418,326,399,345,254
65,0.61,0.73,0.31,-0.31,-0.79,-4.27,419,332,403,342,249
66,0.6,0.82,0.39,-13.37,-1.71,-4.15,417,331,402,344,254
67,0.59,0.78,0.37,2.69,-2.26,-6.77,416,329,406,345,252
68,0.6,0.75,0.34,0.0,-4.52,-5.43,421,322,405,341,254
69,0.57,0.73,0.34,-1.34,-4.33,-2.08,420,330,403,343,252
70,0.58,0.73,0.33,1.53,-3.97,-0.98,418,330,403,340,255
71,0.59,0.74,0.32,3.97,-4.64,-2.93,419,336,407,332,253
72,0.59,0.75,0.31,1.34,-2.87,-2.01,419,328,400,334,251
73,0.58,0.76,0.32,2.14,-1.95,-3.36,419,332,404,331,254
74,0.58,0.73,0.3,-2.93,-5.0,0.18,421,329,402,338,252
75,0.61,0.74,0.31,2.5,-1.77,0.49,418,329,404,333,252
76,0.6,0.71,0.3,-1.04,-5.86,-0.37,420,327,402,338,255
77,0.61,0.73,0.31,0.43,-2.93,-2.38,419,329,414,332,254
78,0.61,0.73,0.32,-0.98,-3.78,-1.83,421,329,401,336,260
79,0.63,0.73,0.3,1.22,-2.01,-1.83,415,336,399,339,252
80,0.62,0.72,0.3,0.73,-4.15,-4.76,420,329,399,337,253
81,0.62,0.75,0.28,0.37,-5.07,-4.76,419,332,400,339,256
82,0.6,0.76,0.27,2.56,-2.44,-1.04,420,329,402,337,256
83,0.62,0.74,0.25,-2.26,-4.09,-1.59,421,329,403,335,253
84,0.61,0.75,0.26,2.87,-3.17,-5.74,416,330,403,338,257
85,0.6,0.75,0.26,0.92,-3.66,-3.85,420,328,401,348,254
86,0.62,0.75,0.27,2.14,-0.24,-1.95,416,333,402,339,253
87,0.55,0.74,0.28,-9.28,-0.98,-0.85,420,329,403,340,254
88,0.6,0.77,0.3,-0.37,-3.85,0.31,420,325,402,338,252
89,0.6,0.76,0.25,4.58,-3.72,2.75,421,326,403,340,254
90,0.57,0.77,0.32,0.55,-0.98,0.31,419,330,401,341,254
91,0.61,0.77,0.31,6.29,3.91,-6.35,421,335,403,336,254
92,0.59,0.73,0.31,-0.92,-2.2,-7.08,417,336,403,341,252
93,0.54,0.73,0.33,-2.93,-7.75,0.0,416,332,404,342,256
94,0.62,0.75,0.32,-2.44,-9.64,-1.1,415,332,406,344,256
95,0.6,0.7,0.31,1.53,-4.94,-0.18,417,327,405,345,249
96,0.61,0.71,0.29,-0.61,-4.7,-1.59,423,327,406,346,250
97,0.63,0.69,0.3,-5.25,-4.58,-1.1,422,332,402,345,263
98,0.62,0.7,0.34,-0.92,-3.05,-1.71,419,336,404,348,255
99,0.66,0.75,0.34,3.6,3.6,-2.99,420,337,406,348,259
100,0.57,0.75,0.31,4.21,-2.38,-10.62,422,337,404,353,256
101,0.67,0.71,0.32,-1.59,6.35,-4.64,421,332,402,347,256
102,0.62,0.71,0.27,-2.62,-1.83,-8.0,416,329,403,343,253
103,0.6,0.76,0.32,-9.4,-9.58,1.59,415,337,406,345,255
104,0.6,0.74,0.35,13.98,-2.14,-8.42,414,335,402,342,257
105,0.58,0.73,0.3,-1.4,-2.26,-6.71,412,335,403,339,254
106,0.61,0.77,0.28,16.05,-3.17,-0.06,414,339,402,343,255
107,0.55,0.78,0.27,-0.43,-4.33,-7.75,415,335,401,340,254
108,0.52,0.8,0.27,1.77,0.06,-5.98,420,331,405,340,256
109,0.55,0.82,0.27,-5.55,-3.66,4.03,422,337,401,344,256
110,0.56,0.79,0.28,-2.14,-5.49,1.65,421,337,406,344,256
111,0.57,0.76,0.3,0.49,-4.03,0.0,422,334,406,339,256
112,0.58,0.75,0.29,0.92,-1.95,-1.77,422,334,408,342,255
113,0.58,0.76,0.32,1.22,-0.49,-4.64,423,339,405,344,256
114,0.57,0.76,0.31,4.27,-6.59,0.85,420,345,405,345,257
115,0.58,0.75,0.3,1.77,-2.93,-3.48,423,335,405,346,262
116,0.58,0.77,0.31,1.04,-2.75,-0.73,420,336,404,346,255
117,0.6,0.75,0.3,-3.97,-6.71,0.06,418,342,405,343,258
118,0.59,0.76,0.29,2.75,-2.99,-2.01,419,343,408,345,257
119,0.58,0.75,0.29,-1.71,-3.54,-3.42,419,339,403,346,257
120,0.59,0.76,0.3,2.75,-1.77,-5.19,419,344,404,345,255
121,0.59,0.75,0.3,-2.44,-2.56,-5.43,421,338,404,346,258
122,0.58,0.76,0.32,2.44,-2.56,-3.72,420,340,408,347,258
123,0.57,0.76,0.3,2.38,-4.21,-3.48,416,344,404,345,257
