,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,-0.11,-0.89,0.46,-0.06,-2.99,-3.11,416,220,414,451,344
1,-0.11,-0.9,0.44,-1.46,-3.17,-4.15,414,221,410,446,342
2,-0.09,-0.88,0.42,-0.43,-3.54,-2.62,414,223,414,451,339
3,-0.1,-0.9,0.42,1.65,-4.64,0.06,407,222,414,450,337
4,-0.12,-0.9,0.45,-1.1,-1.77,-2.56,410,237,413,451,345
5,-0.11,-0.9,0.45,-0.06,-1.65,-1.4,410,224,423,451,346
6,-0.09,-0.9,0.42,0.73,-0.55,-2.08,406,224,413,457,341
7,-0.07,-0.89,0.4,-2.2,-2.62,-4.21,412,222,409,452,340
8,-0.12,-0.91,0.41,1.28,-1.46,-3.97,405,222,411,447,342
9,-0.09,-0.9,0.41,1.71,-6.23,-1.4,403,223,412,453,343
10,-0.09,-0.9,0.41,-0.12,-0.18,-5.49,403,224,411,447,344
11,-0.09,-0.94,0.41,1.71,-3.78,-2.08,404,225,411,457,344
12,-0.09,-0.92,0.42,1.16,-3.05,-1.59,404,222,411,457,339
13,-0.09,-0.89,0.43,1.65,-4.33,-0.18,401,224,411,457,343
14,-0.1,-0.92,0.4,0.12,-3.42,-1.34,397,226,409,459,343
15,-0.11,-0.91,0.4,-0.85,-2.93,-1.77,400,221,410,457,344
16,-0.08,-0.88,0.39,-5.43,-2.2,0.92,400,227,410,458,343
17,-0.11,-0.9,0.4,-0.18,-3.66,-1.71,398,228,412,454,345
18,-0.11,-0.92,0.4,0.31,-4.27,-3.54,397,225,409,454,343
19,-0.11,-0.89,0.42,3.91,-2.14,-1.65,399,230,411,454,346
20,-0.11,-0.85,0.38,-0.55,-2.08,-1.34,395,226,413,455,346
21,-0.12,-0.92,0.4,15.08,-2.5,-2.56,399,227,408,455,345
22,-0.1,-0.9,0.4,-2.38,-2.26,-3.3,399,229,410,450,345
23,-0.11,-0.92,0.38,-2.56,-4.64,-3.17,398,228,405,456,344
24,-0.05,-0.93,0.37,-5.25,-3.11,-3.36,399,225,407,458,345
25,-0.08,-0.93,0.36,-2.26,-3.23,-1.34,400,227,407,459,355
26,-0.08,-0.93,0.36,0.18,-2.93,-3.23,397,227,405,459,346
27,-0.08,-0.93,0.35,-2.38,-1.34,-4.21,401,226,403,455,347
28,-0.1,-0.93,0.35,0.79,-2.87,-2.26,399,226,404,459,342
29,-0.1,-0.94,0.36,-0.37,-2.93,-3.11,397,229,402,458,345
30,-0.1,-0.93,0.35,-0.43,-2.26,-3.78,398,229,402,461,347
31,-0.08,-0.91,0.36,1.95,-2.32,-4.76,397,222,405,457,345
32,-0.08,-0.92,0.38,0.79,-3.23,-3.6,400,229,402,457,346
33,-0.09,-0.91,0.39,1.28,-1.34,-2.69,397,228,404,459,345
34,-0.1,-0.92,0.37,0.98,-2.38,-2.38,397,227,400,455,348
35,-0.07,-0.93,0.35,-2.26,-1.22,-3.36,397,233,400,455,344
36,-0.11,-0.92,0.37,-0.49,-0.92,-2.69,394,224,398,460,345
37,-0.1,-0.93,0.36,0.0,-2.26,-2.01,397,228,396,455,346
38,-0.09,-0.94,0.35,1.95,-1.16,-2.32,396,227,398,451,344
39,-0.11,-0.92,0.36,0.43,-3.78,-2.2,397,227,397,461,343
40,-0.1,-0.93,0.36,1.04,-4.15,-2.26,403,225,397,458,346
41,-0.11,-0.93,0.37,0.67,-2.56,-2.38,405,228,394,455,347
42,-0.09,-0.92,0.35,0.18,-3.85,-2.08,407,228,400,458,346
