,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.12,-0.99,-0.04,1.65,-2.81,-2.01,211,262,446,456,353
1,0.12,-0.99,-0.03,1.4,-2.81,-2.69,206,265,446,452,353
2,0.13,-0.99,-0.03,0.85,-3.3,-3.54,205,267,444,457,348
3,0.12,-0.99,-0.03,0.73,-2.93,-2.93,205,267,444,456,348
4,0.11,-0.99,-0.04,0.24,-2.87,-2.26,213,269,442,456,352
5,0.12,-0.99,-0.05,-1.22,-2.01,-3.11,208,264,444,455,353
6,0.12,-0.99,-0.05,1.59,-3.05,-2.56,208,275,440,458,351
7,0.12,-0.99,-0.04,0.37,-1.71,-1.77,209,267,444,455,350
8,0.12,-0.99,-0.04,1.04,-2.81,-1.83,211,266,442,452,350
9,0.13,-0.99,-0.04,0.49,-2.69,-2.75,211,268,442,460,350
10,0.12,-0.98,-0.02,-0.31,-1.28,-0.18,208,263,442,460,348
11,0.11,-1.0,-0.07,-1.65,1.46,1.28,212,271,441,451,351
12,0.1,-0.99,-0.05,1.71,-4.94,-4.76,211,268,443,462,349
13,0.11,-0.99,-0.04,-0.61,-3.48,-4.09,209,269,442,452,353
14,0.11,-0.99,-0.04,1.4,-2.56,-3.11,208,263,438,461,352
15,0.11,-0.99,-0.04,0.18,-3.48,-2.08,207,271,439,456,353
16,0.1,-0.99,-0.04,1.22,-2.93,-2.01,208,272,436,457,353
17,0.1,-0.99,-0.05,0.18,-2.5,-3.05,211,271,433,457,351
18,0.11,-0.99,-0.05,-0.37,-1.77,-4.27,207,272,439,456,353
19,0.12,-0.99,-0.05,1.16,-2.32,-2.08,208,269,439,451,353
20,0.12,-0.99,-0.03,-0.06,-2.14,-0.55,210,268,427,449,348
21,0.1,-0.99,-0.05,0.12,-3.17,-0.92,208,265,433,462,350
22,0.08,-1.0,-0.07,-3.78,-0.79,-0.92,210,271,430,460,351
23,0.08,-1.0,-0.07,-0.55,-3.17,-2.62,206,270,431,462,350
24,0.06,-0.99,-0.04,-0.18,-3.85,-2.62,208,272,434,461,350
25,0.06,-0.99,-0.02,-3.66,-3.85,0.12,209,269,436,457,355
26,0.12,-0.97,0.0,5.07,-9.34,-1.1,207,266,433,461,355
27,0.04,-0.99,-0.04,-0.98,-1.71,-1.59,218,268,435,458,356
28,0.02,-0.98,-0.0,-2.38,-6.29,-3.17,213,270,435,456,358
29,0.05,-0.98,-0.01,2.99,-2.5,-0.85,204,273,436,460,356
30,0.03,-1.01,-0.04,-1.16,1.89,-2.44,209,268,435,458,351
31,0.04,-1.01,-0.06,-0.49,-4.27,-4.33,211,261,428,455,359
32,0.05,-1.0,-0.01,5.0,-6.9,-3.66,210,265,429,462,355
33,0.05,-0.98,-0.0,-3.91,-9.64,-7.57,209,264,425,457,358
34,0.05,-0.98,0.01,1.71,0.98,3.17,210,276,431,456,353
35,0.01,-0.99,-0.0,-6.9,-4.27,-0.31,213,276,437,457,354
36,0.07,-0.98,0.02,-0.43,-1.95,-3.42,204,267,430,458,356
