,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,-0.13,-0.87,0.49,-0.92,-4.21,-3.36,292,474,450,482,468
1,-0.12,-0.88,0.46,-4.21,-2.01,-1.22,294,470,451,488,466
2,-0.13,-0.88,0.47,-1.4,-2.81,-2.56,291,469,450,486,467
3,-0.1,-0.88,0.45,-1.65,-5.25,-2.08,293,465,445,486,467
4,-0.12,-0.88,0.46,-0.06,-4.03,-4.33,292,468,449,486,468
5,-0.12,-0.88,0.46,3.05,-3.6,-3.11,291,464,450,489,467
6,-0.13,-0.88,0.46,-0.67,-2.5,-3.05,295,471,449,489,475
7,-0.14,-0.87,0.47,2.56,-2.01,-4.7,294,472,449,488,467
8,-0.12,-0.88,0.45,4.7,-4.39,-3.85,302,470,449,485,469
9,-0.12,-0.88,0.45,2.75,-2.44,-4.39,295,464,445,489,464
10,-0.13,-0.88,0.47,-1.59,-2.5,-2.87,292,466,446,483,467
11,-0.15,-0.88,0.47,-0.73,-1.59,-4.7,291,471,442,484,468
12,-0.11,-0.89,0.45,-0.85,0.06,-4.03,294,469,447,485,468
13,-0.11,-0.88,0.47,-0.98,-2.26,-2.87,297,465,441,487,467
14,-0.11,-0.88,0.47,1.28,-4.27,-3.91,294,481,443,485,462
15,-0.09,-0.88,0.5,15.56,-1.04,-1.28,294,469,443,487,463
16,-0.14,-0.88,0.46,-6.59,-4.21,-2.2,293,481,444,484,466
17,-0.12,-0.89,0.45,0.12,-2.81,-3.54,291,469,443,480,468
18,-0.11,-0.88,0.45,-0.06,-4.46,-4.52,295,472,445,480,464
19,-0.12,-0.88,0.49,2.38,-2.69,-1.89,294,463,439,483,462
20,-0.08,-0.88,0.47,2.2,-3.97,0.0,293,472,440,483,468
21,-0.09,-0.88,0.46,-1.89,-1.16,0.37,295,468,439,484,465
22,-0.09,-0.88,0.45,0.0,-3.11,-2.75,291,463,443,490,466
23,-0.1,-0.89,0.46,-1.34,-3.6,-3.42,298,466,440,482,464
24,-0.09,-0.88,0.46,1.28,-4.39,-2.44,294,473,437,484,464
25,-0.1,-0.89,0.45,-0.12,-3.05,-2.14,298,468,438,485,464
26,-0.09,-0.89,0.45,-0.55,-2.14,-2.62,297,468,437,481,460
27,-0.09,-0.9,0.45,-0.73,-2.2,-2.93,296,471,435,483,463
28,-0.09,-0.89,0.44,1.34,-2.75,-3.23,295,467,435,482,484
29,-0.1,-0.9,0.45,-0.49,0.67,-2.75,294,472,438,481,460
30,-0.09,-0.89,0.44,2.08,-4.76,-2.38,294,468,440,483,465
31,-0.09,-0.9,0.45,0.31,-3.17,-2.38,296,468,439,480,463
32,-0.09,-0.9,0.44,-1.28,-3.23,-3.85,295,480,434,480,463
33,-0.08,-0.9,0.44,-1.34,-2.01,-2.62,290,469,435,479,463
34,-0.08,-0.9,0.43,0.55,-2.69,-2.38,293,463,443,482,487
35,-0.08,-0.91,0.43,-0.24,-2.62,-3.11,296,467,436,478,461
36,-0.08,-0.9,0.42,1.28,-2.69,-2.62,293,468,438,477,465
37,-0.08,-0.9,0.42,0.73,-3.42,-2.69,296,468,434,480,466
38,-0.08,-0.9,0.42,-0.37,-3.3,-2.99,296,471,437,477,461
39,-0.09,-0.9,0.42,1.65,-2.2,-1.89,296,467,437,480,464
40,-0.09,-0.91,0.42,1.34,-2.56,-2.56,290,468,434,481,462
41,-0.09,-0.9,0.43,1.71,-1.34,-3.72,294,472,435,483,464
42,-0.08,-0.91,0.42,-0.61,-2.26,-2.26,291,468,434,475,458
43,-0.09,-0.9,0.41,0.18,-2.75,-2.38,292,472,434,480,463
44,-0.09,-0.91,0.42,1.1,-2.01,-2.81,294,472,434,477,461
45,-0.11,-0.9,0.42,2.56,-4.03,-7.57,295,473,435,478,462
46,-0.09,-0.91,0.41,-0.49,-3.17,-1.53,293,469,436,477,463
47,-0.09,-0.91,0.42,-0.67,-2.01,-2.01,292,466,435,478,460
48,-0.08,-0.93,0.41,-0.85,-2.93,-5.68,293,464,436,479,460
49,-0.09,-0.91,0.41,-1.22,-0.73,-1.16,301,464,441,477,460
50,-0.1,-0.91,0.41,-0.24,-2.62,-2.32,293,472,432,476,461
51,-0.1,-0.91,0.41,-0.61,-2.2,-1.89,291,467,435,480,461
52,-0.1,-0.91,0.4,-1.53,-2.81,-3.05,293,474,431,474,460
53,-0.1,-0.91,0.39,2.69,-5.92,-2.75,294,467,431,475,461
54,-0.1,-0.91,0.39,0.18,-2.75,-2.69,292,468,428,475,459
55,-0.1,-0.92,0.41,-4.03,-3.48,-3.11,294,467,431,476,457
56,-0.1,-1.01,0.21,-31.74,8.54,3.78,295,469,436,476,459
57,-0.14,-0.95,0.2,-10.38,1.46,0.85,294,468,432,477,456
58,-0.22,-0.79,0.04,18.31,-19.04,-1.83,297,485,432,476,455
59,-0.13,-0.84,-0.11,-37.6,2.38,-38.09,296,473,423,477,462
60,-0.15,-0.98,0.09,-9.16,-8.3,-10.13,304,471,426,477,481
61,-0.19,-0.98,0.18,7.69,-4.94,2.32,300,468,425,474,460
62,-0.22,-0.97,0.09,-1.16,-3.05,-1.89,299,471,425,478,459
63,-0.19,-0.99,0.13,-7.14,1.53,-5.62,300,467,426,475,455
64,-0.16,-0.98,0.08,-2.5,-6.96,-3.3,298,471,426,479,459
65,-0.17,-0.97,0.05,0.55,-9.7,0.61,296,471,426,475,457
66,-0.19,-0.98,0.07,1.1,-3.23,-1.1,301,472,426,477,458
67,-0.19,-0.97,0.01,-1.22,-2.14,-1.22,299,471,425,475,458
68,-0.19,-0.97,0.0,3.91,-4.15,-0.92,302,475,422,481,469
69,-0.2,-0.97,0.03,4.94,-3.97,-2.14,301,472,428,479,458
70,-0.2,-0.98,0.06,-1.53,-2.38,-2.93,307,474,424,476,459
71,-0.19,-0.98,0.02,-2.99,-3.11,-3.72,302,475,428,475,459
72,-0.19,-0.97,0.02,2.32,-3.48,-1.59,301,469,423,480,454
73,-0.19,-0.98,0.02,-1.34,-3.11,-1.59,300,476,426,479,457
74,-0.2,-0.98,0.05,0.73,-2.26,-2.69,300,471,426,475,458
75,-0.21,-0.98,0.06,2.01,-4.58,-1.65,302,472,422,473,457
76,-0.2,-0.97,0.04,-0.55,-1.28,-2.62,303,471,424,475,455
77,-0.21,-0.98,0.04,-2.08,-1.71,-1.53,302,476,423,476,456
78,-0.21,-0.97,0.07,-3.48,-3.05,-6.59,304,473,424,477,452
79,-0.19,-0.97,0.05,4.15,-6.41,-0.85,302,476,423,478,456
80,-0.19,-0.98,0.05,0.18,0.12,-3.48,303,473,425,478,455
81,-0.2,-0.97,0.06,1.59,0.18,-2.26,301,475,424,478,457
82,-0.17,-0.98,0.05,0.98,-1.83,-4.39,300,471,419,478,457
83,-0.16,-0.98,0.05,1.4,-3.54,-1.53,308,475,423,478,456
84,-0.15,-0.98,0.1,-0.73,-2.93,-4.7,302,478,423,477,457
85,-0.15,-0.99,0.09,5.31,-2.69,-9.95,312,471,421,475,464
86,-0.11,-0.98,0.1,3.23,1.1,-2.56,322,469,421,475,463
87,-0.15,-0.97,0.04,-1.04,4.33,0.79,308,475,419,485,465
88,-0.13,-0.98,0.06,-1.1,-2.14,-5.37,303,469,422,478,465
89,-0.08,-0.98,0.03,-7.87,-14.28,-4.58,302,472,417,475,464
90,-0.1,-0.99,0.04,2.93,-1.95,-1.53,302,471,413,473,462
91,-0.1,-0.99,0.03,-2.56,-1.34,-4.7,298,476,415,477,461
92,-0.09,-1.0,0.02,1.16,1.65,-4.15,299,472,415,478,461
93,-0.09,-0.99,0.02,0.24,1.34,-1.4,305,473,420,475,462
94,-0.12,-1.01,0.06,-4.52,-4.58,2.32,301,476,417,477,461
95,-0.1,-1.0,0.05,-6.16,-4.64,-1.1,301,471,413,474,472
96,-0.1,-0.99,0.02,-2.99,-1.16,-2.87,301,472,418,471,462
97,-0.11,-0.99,-0.0,2.26,-4.03,-2.26,299,474,414,477,460
98,-0.11,-0.98,-0.0,0.85,-3.85,-1.53,301,476,412,475,461
99,-0.12,-0.99,0.01,-0.31,-1.4,-2.93,301,473,414,477,460
100,-0.12,-0.99,0.02,6.47,-4.21,0.49,294,472,415,473,464
101,-0.15,-0.99,0.03,-0.43,-2.75,-3.05,299,467,417,474,458
102,-0.13,-0.99,0.03,0.79,-4.58,-2.01,302,473,413,474,463
103,-0.13,-0.99,-0.0,1.53,-3.36,-1.46,304,475,416,474,461
104,-0.11,-0.99,0.01,0.98,-3.05,-3.42,301,472,413,474,461
105,-0.13,-0.99,0.01,-0.49,-2.81,-2.38,301,472,412,475,463
106,-0.15,-0.99,0.02,1.53,1.46,-0.55,297,474,415,473,460
107,-0.18,-0.98,0.05,9.83,9.64,0.0,292,472,406,475,460
108,-0.15,-0.98,0.06,0.61,-4.52,-3.42,296,475,410,476,457
109,-0.12,-0.99,0.05,2.08,-12.21,-0.79,306,470,409,473,462
110,-0.15,-0.98,0.04,-0.49,6.29,-3.42,318,474,411,476,464
111,-0.13,-0.98,0.06,0.49,-1.89,-4.82,307,472,410,479,463
112,-0.13,-0.98,0.07,1.95,-1.53,-1.77,304,472,410,482,457
113,-0.14,-0.98,0.07,-0.06,-3.36,-1.4,307,467,406,473,459
114,-0.13,-0.99,0.07,0.0,-3.97,-2.01,301,470,409,477,461
115,-0.14,-0.99,0.07,-0.31,-3.36,-2.75,305,475,410,479,459
116,-0.12,-0.99,0.06,-0.79,-4.94,-3.17,302,472,414,479,460
117,-0.12,-0.98,0.05,-1.04,-3.48,-3.97,299,474,415,485,459
118,-0.14,-0.99,0.06,0.67,-1.16,-2.75,304,472,413,481,463
119,-0.13,-0.99,0.08,1.77,-4.09,-2.08,304,472,414,475,474
