,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.18,0.95,0.26,-2.14,1.65,-9.09,346,447,402,244,192
1,0.11,0.95,0.29,-0.12,3.05,-6.23,344,446,406,243,192
2,0.15,0.95,0.27,0.43,-0.31,-3.78,344,447,401,256,195
3,0.16,0.95,0.27,1.4,-4.27,-0.79,347,450,405,247,194
4,0.14,0.94,0.27,0.55,-3.48,-1.22,341,453,402,243,196
5,0.14,0.96,0.27,2.2,-3.85,-4.03,348,454,408,248,198
6,0.13,0.95,0.26,6.84,-1.65,-4.09,343,450,413,249,195
7,0.14,0.94,0.27,0.61,-3.66,-3.6,345,445,402,246,194
8,0.15,0.97,0.29,0.0,-8.48,-7.63,343,443,405,246,195
9,0.11,0.98,0.26,-2.14,-5.74,-10.07,346,448,405,245,200
10,0.12,0.96,0.26,-0.98,-10.99,-6.9,346,454,406,247,196
11,0.08,0.91,0.26,8.18,3.91,-7.87,346,451,407,249,200
12,0.08,0.96,0.27,1.22,2.93,-4.7,346,454,409,247,198
13,0.09,0.96,0.29,2.14,-1.95,-1.4,348,454,408,249,200
14,0.09,0.94,0.28,-5.49,-4.76,0.43,342,453,405,248,200
15,0.08,0.95,0.3,-0.61,-3.72,-3.6,346,449,405,251,196
16,0.08,0.95,0.3,-1.28,-3.23,-2.44,345,455,407,248,197
17,0.08,0.95,0.31,-0.18,-2.81,-3.3,341,455,408,252,197
18,0.09,0.93,0.29,-1.89,-3.97,-2.69,345,453,406,251,196
19,0.09,0.96,0.3,0.12,-3.36,-3.6,346,451,405,249,201
20,0.08,0.95,0.3,-0.18,-1.83,-3.23,355,454,404,252,198
21,0.08,0.95,0.29,-0.37,-3.6,-1.04,346,455,402,249,199
22,0.1,0.94,0.3,-1.59,-4.39,-2.26,342,448,407,249,199
23,0.1,0.95,0.32,1.22,-3.23,-3.23,343,455,404,250,204
24,0.08,0.95,0.31,2.93,-3.05,-1.4,344,449,408,251,201
25,0.08,0.95,0.29,0.67,-0.92,-1.95,344,452,409,252,202
