,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,-0.17,-0.97,0.15,0.73,-4.03,-2.14,349,318,269,429,464
1,-0.17,-0.97,0.15,0.85,-2.87,-3.05,348,318,269,432,462
2,-0.17,-0.97,0.15,1.34,-2.62,-2.01,345,318,266,433,463
3,-0.17,-0.97,0.15,1.89,-2.38,-2.62,349,321,266,432,482
4,-0.17,-0.97,0.15,-0.61,-2.99,-1.65,351,318,267,431,460
5,-0.18,-0.97,0.15,-0.79,-2.01,-2.14,351,315,273,430,463
6,-0.17,-0.97,0.16,0.12,-3.11,-3.48,348,323,271,431,460
7,-0.18,-0.97,0.15,0.85,-3.97,-2.32,349,318,282,431,461
8,-0.17,-0.97,0.15,0.18,-2.69,-3.05,349,318,270,430,458
9,-0.15,-0.97,0.15,1.46,-3.72,-2.99,349,315,272,430,462
10,-0.17,-0.97,0.17,0.85,-3.54,-2.5,349,315,268,431,463
11,-0.17,-0.97,0.16,0.06,-3.42,-2.56,350,318,271,429,458
12,-0.15,-0.96,0.17,0.92,-4.76,-2.44,350,320,269,430,459
13,-0.17,-0.97,0.17,-0.73,-3.48,-2.87,348,324,273,427,458
14,-0.17,-0.97,0.17,-0.24,-3.6,-2.08,349,326,269,427,461
15,-0.17,-0.97,0.17,-0.67,-2.87,-3.05,350,325,269,427,456
16,-0.16,-0.97,0.15,0.0,-2.99,-2.93,352,325,269,426,473
17,-0.17,-0.96,0.17,-1.65,-0.31,-2.87,349,321,269,429,497
18,-0.17,-0.99,0.16,-4.7,-0.31,-2.56,351,324,272,425,459
19,-0.17,-0.97,0.16,-0.18,-2.14,-2.01,350,323,272,426,455
20,-0.18,-0.97,0.14,-1.83,-0.43,-3.17,351,323,270,426,463
21,-0.17,-0.97,0.12,-1.89,-0.67,-2.75,349,325,271,424,459
22,-0.19,-0.98,0.18,-1.46,-9.28,-3.11,346,327,276,425,453
23,-0.15,-0.97,0.09,4.58,-4.39,-2.69,348,323,272,420,455
24,-0.14,-0.97,0.15,1.65,-1.59,-2.75,351,318,271,419,454
25,-0.14,-0.98,0.14,0.55,-3.6,-2.38,352,324,273,426,455
26,-0.15,-0.97,0.16,1.59,-3.42,-1.65,345,324,272,426,455
27,-0.15,-0.98,0.16,-1.46,-4.03,-3.3,351,321,274,419,452
28,-0.14,-0.98,0.17,1.71,-3.78,-2.99,348,323,277,422,453
29,-0.13,-0.97,0.16,0.37,-2.87,-2.32,349,321,274,423,457
30,-0.15,-0.97,0.15,-0.31,-2.62,-2.87,347,327,274,423,458
31,-0.13,-0.97,0.13,-0.43,-2.26,-1.59,349,325,271,422,459
32,-0.13,-0.98,0.17,-4.33,-1.53,-0.98,347,324,273,425,458
33,-0.15,-0.97,0.07,-12.7,1.53,-6.77,343,326,270,421,456
34,-0.1,-0.99,0.06,-4.64,-10.31,1.53,344,329,276,419,457
35,-0.15,-0.98,-0.0,-0.67,-7.87,9.64,344,328,274,414,453
36,-0.15,-0.97,0.03,0.31,-22.09,-4.15,350,325,274,418,465
37,-0.13,-0.98,0.1,4.46,-7.69,-3.78,350,322,274,415,453
38,-0.15,-0.98,0.13,3.97,-4.88,-5.19,348,325,286,418,458
39,-0.14,-0.98,0.16,1.4,-1.71,-3.6,349,321,274,415,451
40,-0.14,-0.97,0.1,1.34,-5.31,-3.72,349,326,270,419,450
41,-0.14,-0.97,0.11,-3.97,-0.43,-2.75,350,332,273,417,453
42,-0.13,-0.98,0.14,-0.43,3.36,-5.55,348,327,275,421,450
43,-0.16,-0.99,0.1,-0.49,-2.44,1.89,352,329,274,418,444
44,-0.15,-0.98,0.11,1.34,-2.38,2.81,347,326,271,416,452
45,-0.12,-0.98,0.09,6.1,-7.63,-2.5,349,328,272,416,451
46,-0.15,-0.98,0.1,0.0,-4.64,-2.08,351,322,273,416,453
47,-0.15,-0.98,0.1,2.44,-2.5,-3.11,349,331,273,413,452
48,-0.15,-0.98,0.09,1.71,-1.53,-2.38,346,328,278,416,454
49,-0.15,-0.98,0.1,1.4,-3.6,-2.2,348,325,274,422,450
50,-0.16,-0.98,0.11,0.73,-2.08,-1.77,344,327,277,418,451
51,-0.14,-0.98,0.09,-1.28,-7.81,0.31,346,333,272,414,450
52,-0.16,-0.98,0.1,-0.49,-3.97,-2.01,347,328,275,417,449
53,-0.16,-0.98,0.11,0.79,-3.72,-2.62,348,329,275,416,450
