,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,-0.14,-0.94,0.3,11.41,-5.8,-1.34,286,261,187,235,231
1,-0.15,-0.92,0.32,-3.42,-4.76,-3.05,288,262,190,237,229
2,-0.15,-0.93,0.35,0.49,-1.16,-0.18,290,263,189,236,237
3,-0.13,-0.94,0.33,-0.67,-2.14,-2.01,290,262,186,237,234
4,-0.14,-0.94,0.27,-1.71,-5.07,-0.37,293,261,185,238,233
5,-0.13,-0.94,0.32,7.2,0.61,-3.91,293,266,185,238,235
6,-0.13,-0.93,0.34,1.04,-2.2,-2.56,295,273,187,241,236
7,-0.14,-0.92,0.34,-0.67,-3.11,-2.93,295,271,188,242,234
8,-0.14,-0.93,0.35,-1.95,-4.03,-3.78,298,266,188,240,237
9,-0.13,-0.93,0.36,0.49,-2.5,-4.94,300,269,189,238,235
10,-0.16,-0.92,0.38,2.99,0.31,-2.87,301,270,191,238,247
11,-0.16,-0.91,0.39,0.12,-4.09,-1.28,303,271,187,239,230
12,-0.12,-0.92,0.39,1.04,4.94,-8.12,303,270,189,240,234
13,-0.16,-0.89,0.47,18.74,2.75,-1.22,304,274,188,240,231
14,-0.06,-0.92,0.37,2.38,-2.14,-4.33,306,269,191,238,234
15,-0.1,-0.91,0.46,4.27,-5.25,3.66,305,276,192,239,235
16,-0.13,-0.89,0.44,5.43,-3.54,2.5,303,274,193,241,234
17,-0.13,-0.88,0.46,3.17,-3.6,-2.38,306,275,191,245,238
18,-0.14,-0.88,0.46,2.44,-3.11,-1.71,307,271,190,242,238
19,-0.13,-0.88,0.46,0.31,-3.3,-2.14,310,279,194,239,235
20,-0.1,-0.87,0.48,3.42,-4.7,-2.56,311,278,190,241,235
21,-0.12,-0.87,0.48,0.49,-2.44,-1.77,311,282,189,246,233
22,-0.13,-0.87,0.49,-0.92,-2.44,-2.26,310,279,194,246,237
23,-0.12,-0.87,0.49,0.18,-4.09,-2.14,310,278,194,242,236
