,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.87,-0.46,0.1,1.34,-3.3,-5.92,194,277,437,461,343
1,0.9,-0.43,0.1,4.52,-1.53,-7.14,198,274,438,466,344
2,0.9,-0.41,0.13,-0.06,-0.73,-4.46,192,266,437,459,340
3,0.91,-0.41,0.14,-0.67,-1.77,-2.62,198,270,433,453,342
4,0.92,-0.39,0.14,0.67,-2.38,-3.05,197,277,436,463,343
5,0.91,-0.4,0.13,-1.16,-3.3,-2.2,202,271,433,457,351
6,0.89,-0.41,0.13,0.31,-3.72,-2.38,194,268,433,453,343
7,0.9,-0.4,0.1,0.73,-2.56,-2.5,198,266,434,454,345
8,0.91,-0.41,0.13,-1.16,-4.09,-1.89,194,271,433,458,342
9,0.9,-0.42,0.12,-0.12,-1.95,-0.67,200,267,431,456,340
10,0.89,-0.43,0.11,0.92,-5.43,1.22,194,275,432,457,344
11,0.92,-0.41,0.11,-0.06,-2.08,-1.4,198,270,432,464,344
12,0.9,-0.42,0.1,-0.85,-3.17,-1.04,199,270,431,455,344
13,0.9,-0.42,0.12,2.32,-0.06,-3.91,214,270,430,449,343
14,0.92,-0.41,0.11,-0.43,-2.44,-2.44,198,269,430,463,342
15,0.9,-0.42,0.12,0.43,-3.6,-2.5,191,273,433,459,347
16,0.91,-0.4,0.11,-1.28,-2.32,-2.5,202,275,431,460,346
17,0.87,-0.44,0.11,-1.1,-2.75,-3.85,198,271,432,458,342
18,0.9,-0.42,0.12,-0.18,-1.95,-5.31,200,276,432,460,348
19,0.88,-0.43,0.13,-3.23,-1.1,-1.16,200,273,427,455,347
20,0.9,-0.41,0.11,-2.08,-3.05,0.73,199,277,430,459,345
21,0.91,-0.42,0.12,1.65,-4.09,-2.93,199,278,430,460,342
22,0.89,-0.44,0.1,1.53,-3.91,-0.73,201,275,425,458,344
23,0.88,-0.45,0.1,-2.26,-2.87,0.37,198,274,428,455,343
24,0.89,-0.43,0.09,0.12,-4.46,-1.04,206,274,427,467,345
25,0.91,-0.43,0.1,3.48,-3.91,-5.55,200,278,431,462,344
26,0.91,-0.42,0.11,3.85,-3.54,-3.36,200,275,429,461,341
27,0.89,-0.44,0.1,0.43,-3.54,-2.26,203,277,425,465,340
28,0.9,-0.42,0.12,5.31,-3.72,-4.21,200,277,434,463,343
29,0.9,-0.42,0.1,1.1,-1.22,-5.49,200,280,431,460,345
30,0.91,-0.44,0.1,2.44,-2.5,-1.16,204,278,428,462,343
31,0.89,-0.42,0.1,0.43,-3.78,-3.42,206,273,426,464,342
32,0.9,-0.44,0.09,-0.31,-3.17,-3.42,202,279,422,460,344
33,0.9,-0.42,0.1,0.31,-3.05,-1.1,208,276,431,465,344
34,0.9,-0.49,0.11,-1.4,-2.75,-4.33,203,279,427,458,343
35,0.9,-0.44,0.1,-2.56,-4.27,-1.89,205,276,430,461,349
36,0.9,-0.44,0.1,-1.95,-0.37,-2.62,208,276,422,455,342
37,0.9,-0.42,0.09,3.05,-3.05,-2.99,203,278,421,460,342
38,0.89,-0.45,0.09,-0.79,-2.93,-2.81,203,277,423,459,339
39,0.9,-0.43,0.1,3.36,-4.76,-3.3,200,273,420,449,341
40,0.9,-0.44,0.1,0.0,-2.62,-2.81,203,279,424,457,342
41,0.9,-0.44,0.09,2.38,-2.62,-3.85,200,279,422,460,341
42,0.89,-0.44,0.1,0.49,-2.14,-2.08,203,273,419,456,341
43,0.89,-0.45,0.1,0.61,-4.64,-2.99,198,282,425,449,341
44,0.89,-0.45,0.1,-1.77,-3.36,-3.85,199,279,421,458,343
45,0.9,-0.45,0.09,0.49,-3.05,-1.89,205,287,420,459,339
46,0.88,-0.46,0.07,0.85,-2.08,-3.91,205,277,424,459,344
47,0.89,-0.45,0.09,-1.46,-2.62,-0.92,201,279,424,466,343
48,0.9,-0.43,0.1,1.65,-3.11,-2.62,196,281,423,459,345
49,0.9,-0.44,0.09,-1.04,-3.23,-2.5,208,278,424,464,344
50,0.91,-0.44,0.1,0.49,-2.93,-2.5,203,279,422,462,338
51,0.9,-0.44,0.11,2.38,-1.89,-3.85,202,278,422,462,342
52,0.9,-0.43,0.1,-2.44,-1.53,-3.54,205,276,424,462,347
53,0.9,-0.43,0.11,0.61,-2.99,-3.05,203,277,423,464,343
54,0.89,-0.43,0.09,-0.67,-3.42,-4.39,204,278,422,465,343
55,0.91,-0.43,0.1,0.06,-2.5,-3.05,206,279,422,462,346
56,0.91,-0.41,0.1,2.87,-3.11,-4.03,203,275,422,461,341
57,0.91,-0.42,0.11,0.0,-2.14,-2.38,204,278,422,460,343
58,0.9,-0.42,0.1,-0.55,-0.31,-2.56,204,280,422,463,340
