,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.91,-0.38,-0.17,-1.4,-2.32,-2.56,392,465,234,308,227
1,0.94,-0.37,-0.17,-0.18,1.34,0.24,395,463,239,309,232
2,0.94,-0.36,-0.16,-2.38,-1.65,-7.26,393,468,237,307,230
3,0.92,-0.36,-0.17,-0.31,-3.78,-3.66,395,465,237,307,233
4,0.93,-0.35,-0.15,2.32,-9.03,-4.15,394,466,240,309,230
5,0.96,-0.34,-0.18,1.95,-2.81,-1.28,395,465,240,307,231
6,0.93,-0.34,-0.17,2.14,-3.36,-2.26,397,466,238,309,230
7,0.92,-0.36,-0.18,-0.79,-2.99,-0.73,400,463,240,309,230
8,0.91,-0.36,-0.18,3.05,-5.8,-0.79,398,466,235,304,233
9,0.91,-0.37,-0.18,-0.43,0.0,-2.99,393,471,239,305,229
10,0.92,-0.36,-0.17,-1.83,-2.08,-2.32,396,463,240,307,232
11,0.91,-0.37,-0.17,1.71,-2.69,-4.64,396,477,241,306,232
12,0.92,-0.36,-0.17,0.55,-0.85,-1.1,398,466,235,307,231
13,0.92,-0.37,-0.18,2.14,-1.34,-7.2,397,467,238,308,234
14,0.95,-0.34,-0.18,2.08,-2.38,-4.09,403,463,236,310,234
15,0.94,-0.35,-0.15,2.75,-5.43,-1.95,400,474,240,308,233
16,0.92,-0.35,-0.15,0.18,-3.11,-2.2,395,465,238,320,230
17,0.93,-0.36,-0.16,-1.34,4.27,-5.31,399,471,240,308,235
18,0.92,-0.36,-0.15,1.28,-2.2,-3.85,398,466,238,308,236
19,0.93,-0.36,-0.16,1.53,-4.82,-3.54,401,470,236,309,234
20,0.92,-0.36,-0.17,0.24,-3.78,-2.01,400,468,239,307,235
21,0.95,-0.36,-0.17,0.67,2.44,0.37,400,465,250,312,230
22,0.95,-0.36,-0.15,1.83,-3.72,-7.57,398,470,241,307,232
23,0.91,-0.38,-0.16,0.79,-0.79,-5.31,398,466,237,308,233
24,0.9,-0.39,-0.16,-1.28,-11.35,-2.26,397,466,247,307,234
25,0.9,-0.39,-0.17,1.89,-1.28,1.53,399,472,240,306,231
26,0.87,-0.4,-0.17,0.43,-3.72,-2.87,398,471,241,324,232
27,0.9,-0.4,-0.18,-1.1,-2.08,-1.4,400,466,237,310,234
28,0.9,-0.39,-0.17,0.61,-2.93,-2.38,400,467,244,307,234
29,0.91,-0.38,-0.16,5.86,-2.32,-1.71,398,463,236,307,230
30,0.9,-0.39,-0.16,0.18,-2.62,-4.33,399,464,237,306,233
31,0.89,-0.39,-0.16,2.38,-0.12,-1.71,396,468,239,310,232
32,0.88,-0.39,-0.15,-0.85,-1.4,-2.62,399,472,237,309,235
33,0.92,-0.38,-0.18,3.11,0.85,-3.66,398,463,236,308,234
34,0.9,-0.38,-0.16,1.4,-1.83,-3.66,402,469,238,311,233
35,0.91,-0.39,-0.15,-0.37,-2.08,-2.44,395,469,240,308,234
36,0.9,-0.38,-0.14,-0.85,-0.92,-3.54,394,463,235,318,233
37,0.9,-0.38,-0.12,-1.4,2.14,-7.26,399,473,240,318,234
38,0.92,-0.38,-0.14,-1.28,-3.91,-2.81,401,474,237,313,241
39,0.91,-0.38,-0.16,1.71,-4.39,-5.37,398,464,240,311,233
40,0.89,-0.38,-0.15,-1.34,-5.07,-5.07,399,469,238,309,233
41,0.92,-0.37,-0.14,4.46,-5.25,4.82,401,469,240,309,233
42,0.9,-0.37,-0.12,1.95,0.37,-4.7,400,464,241,305,232
43,0.92,-0.37,-0.13,-4.09,-0.18,-1.04,397,461,244,310,231
44,0.92,-0.38,-0.13,0.61,-3.72,-1.95,398,473,237,312,234
45,0.94,-0.37,-0.15,3.54,-6.23,-2.62,400,464,242,310,231
46,0.92,-0.37,-0.13,1.71,-2.14,-1.71,399,469,242,302,235
47,0.93,-0.36,-0.14,0.49,-3.6,-1.71,402,473,238,312,236
