,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.32,0.87,0.33,-8.06,8.0,4.21,414,471,412,346,220
1,0.26,0.85,0.41,-18.49,0.73,3.91,416,464,412,346,220
2,0.36,0.83,0.4,-0.85,-4.94,1.59,413,466,406,338,212
3,0.35,0.85,0.42,3.42,-3.97,-1.4,410,464,408,333,208
4,0.36,0.84,0.41,-2.62,3.78,-6.71,410,463,406,330,212
5,0.37,0.81,0.45,-1.65,-3.91,1.4,412,470,406,323,208
6,0.39,0.8,0.44,-7.75,-6.65,-1.83,413,470,407,326,209
7,0.39,0.81,0.45,-1.16,0.43,-1.77,411,466,407,327,211
8,0.37,0.78,0.48,-2.32,-1.16,-0.37,417,467,414,331,213
9,0.37,0.8,0.48,4.64,-3.72,-2.32,417,461,407,332,212
10,0.4,0.81,0.46,-0.37,-3.17,-2.26,415,467,405,334,214
11,0.39,0.79,0.45,-0.12,-2.5,-1.22,419,466,408,332,216
12,0.41,0.8,0.45,0.55,-4.03,-2.14,419,467,405,336,216
13,0.42,0.8,0.44,-0.12,-3.17,-1.04,416,466,404,333,215
14,0.45,0.8,0.42,4.27,-3.85,0.49,414,466,405,334,224
15,0.44,0.8,0.4,2.01,-7.14,-3.6,417,465,406,334,216
16,0.41,0.66,0.52,-25.39,25.09,-10.25,416,465,402,335,213
17,0.29,0.74,0.6,-0.31,56.88,-38.88,417,461,405,336,217
18,0.39,0.78,0.59,-4.58,-25.33,7.14,415,469,404,338,217
19,0.36,0.83,0.57,7.93,2.32,-22.22,417,466,407,340,217
20,0.38,0.79,0.55,-8.91,-2.69,4.76,414,465,405,345,221
21,0.29,0.75,0.56,0.49,7.51,0.37,414,462,406,343,223
22,0.38,0.79,0.58,-2.56,2.44,0.24,417,461,402,346,220
23,0.36,0.69,0.59,1.71,-4.09,7.69,417,465,404,345,222
24,0.4,0.68,0.59,-2.38,-13.31,5.37,414,465,402,350,228
25,0.46,0.67,0.61,1.46,1.71,1.53,417,469,399,351,225
26,0.45,0.61,0.6,1.83,-5.98,0.85,416,468,399,349,229
27,0.46,0.64,0.61,-0.85,-7.32,0.79,415,465,398,349,226
28,0.52,0.66,0.59,-2.62,1.46,-6.53,414,466,394,348,226
29,0.53,0.64,0.58,2.08,-10.19,4.76,417,462,397,349,229
30,0.53,0.63,0.58,1.65,-2.75,-7.69,417,468,395,352,228
31,0.46,0.65,0.62,2.87,-13.67,-0.55,418,461,396,352,227
32,0.47,0.63,0.61,-0.12,2.2,2.14,421,464,401,347,260
33,0.51,0.57,0.62,-7.63,1.16,3.23,418,464,397,351,226
34,0.45,0.66,0.61,11.72,-9.77,-7.26,416,468,398,351,227
35,0.46,0.73,0.56,5.13,-6.84,-0.61,417,460,399,349,231
36,0.46,0.67,0.58,5.0,-15.26,-0.55,420,464,398,351,228
37,0.52,0.69,0.51,3.66,-3.42,-7.87,417,469,392,350,228
38,0.51,0.66,0.55,-4.03,-8.42,0.31,416,469,398,352,240
39,0.56,0.68,0.55,-3.91,-6.35,0.24,421,461,393,348,230
40,0.51,0.62,0.53,5.68,-17.58,9.34,418,465,391,352,231
41,0.59,0.66,0.49,2.26,0.24,-8.85,419,465,393,357,227
42,0.56,0.65,0.48,1.16,-1.83,-8.48,416,467,393,349,230
43,0.58,0.67,0.5,-0.24,0.67,-4.03,422,464,395,350,231
44,0.6,0.69,0.49,2.62,-1.4,-4.27,430,471,389,347,230
45,0.57,0.64,0.49,1.22,-5.0,-7.08,423,469,388,351,229
46,0.54,0.67,0.51,6.16,-3.66,-3.23,420,465,390,348,230
47,0.53,0.7,0.5,6.65,0.55,-8.54,421,464,392,353,230
48,0.54,0.69,0.5,0.92,-3.48,-1.22,422,471,392,351,230
49,0.54,0.68,0.49,2.08,-0.85,-2.62,421,465,394,347,226
50,0.52,0.68,0.49,1.46,-4.27,-3.91,424,472,389,352,231
51,0.53,0.7,0.49,-2.26,-3.72,-2.93,417,460,392,350,221
52,0.53,0.71,0.5,0.12,-1.71,-2.93,426,466,392,348,230
53,0.52,0.7,0.49,0.31,-2.69,-4.52,420,465,392,348,232
54,0.51,0.71,0.48,-0.12,-1.59,-3.54,421,466,391,351,234
55,0.51,0.72,0.49,-0.73,-1.89,-3.97,422,459,393,349,231
56,0.47,0.74,0.51,-4.21,3.6,-7.14,422,465,394,350,233
57,0.4,0.73,0.58,0.06,5.74,-8.18,425,454,395,351,234
58,0.36,0.72,0.58,-4.09,7.63,-10.01,421,461,397,354,234
59,0.37,0.73,0.59,3.23,-11.41,2.5,422,463,400,355,235
60,0.38,0.74,0.58,0.06,-3.23,-2.38,422,465,398,356,237
61,0.39,0.74,0.58,1.46,-3.23,-2.87,425,463,399,355,234
62,0.39,0.74,0.58,-1.04,-3.11,-1.46,422,462,399,356,236
63,0.37,0.74,0.56,-0.85,-2.38,-1.46,424,463,399,358,235
64,0.38,0.73,0.57,0.06,-1.22,-3.66,419,462,395,358,236
