,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.88,-0.47,-0.04,1.04,-2.32,-1.59,193,276,193,442,323
1,0.87,-0.49,-0.03,0.18,-2.75,-1.77,202,286,194,452,322
2,0.88,-0.46,-0.03,-0.61,-3.05,-0.24,200,274,195,441,326
3,0.89,-0.46,-0.02,1.59,-2.99,-1.89,207,276,187,442,325
4,0.87,-0.47,-0.02,1.22,-2.14,-4.46,204,275,177,444,328
5,0.9,-0.46,-0.02,-0.06,-2.56,-3.91,206,278,189,436,328
6,0.89,-0.46,-0.03,1.59,-2.5,-3.11,203,277,196,448,325
7,0.87,-0.47,-0.0,-0.18,-1.4,-1.95,208,277,192,448,328
8,0.9,-0.46,-0.02,1.77,2.08,-3.54,201,278,190,446,326
9,0.88,-0.47,-0.01,-0.18,-4.21,-1.89,203,279,185,448,326
10,0.86,-0.49,0.02,0.55,-7.2,-3.66,197,275,191,443,326
11,0.87,-0.49,-0.02,0.12,-2.44,3.97,210,278,188,446,326
12,0.88,-0.47,0.0,-0.43,-4.46,-0.67,203,286,195,447,325
13,0.88,-0.47,-0.02,-0.24,-2.93,-2.32,203,276,194,443,326
14,0.89,-0.46,0.01,1.28,-3.05,-1.59,204,278,192,438,329
15,0.88,-0.47,-0.01,0.0,-2.2,-1.77,206,278,194,443,332
16,0.89,-0.48,-0.01,0.12,-2.56,-3.23,204,277,192,443,331
17,0.88,-0.49,-0.01,-0.43,-2.62,-3.66,207,278,194,442,329
18,0.88,-0.48,-0.02,0.37,-2.93,-2.44,206,279,188,449,330
19,0.88,-0.48,-0.01,1.34,-3.6,-2.14,203,281,191,438,330
20,0.88,-0.47,-0.02,1.22,-3.48,-3.42,206,281,192,448,330
21,0.89,-0.47,-0.01,-0.12,-2.56,-1.4,208,278,204,446,328
22,0.88,-0.48,-0.0,-2.08,-2.62,-1.22,209,275,194,445,325
23,0.88,-0.47,0.01,-2.93,-0.85,-3.54,209,281,198,447,327
24,0.89,-0.48,0.0,0.24,-3.23,-2.14,203,280,195,448,332
25,0.87,-0.48,-0.02,0.98,-3.85,-2.81,209,276,194,442,328
26,0.89,-0.48,-0.01,1.59,-4.33,0.92,199,279,199,450,329
27,0.87,-0.49,-0.01,0.12,-2.99,-2.62,205,276,198,446,332
28,0.87,-0.49,-0.02,-0.49,-3.97,-3.23,209,281,211,439,326
29,0.87,-0.48,-0.02,1.53,-4.52,-1.89,207,280,194,449,331
30,0.86,-0.49,-0.01,-2.01,-1.95,-3.05,207,277,199,449,329
31,0.88,-0.48,-0.01,-0.12,-3.05,-2.81,206,282,198,446,331
32,0.88,-0.48,-0.01,-0.24,-3.05,-3.78,207,282,187,444,327
33,0.88,-0.48,0.0,1.89,-3.17,-2.5,207,280,203,447,331
34,0.88,-0.47,0.0,2.2,-2.26,-3.72,204,282,200,447,327
35,0.91,-0.46,0.0,6.29,-4.64,-6.23,206,277,195,443,329
36,0.87,-0.48,-0.01,1.65,-1.1,-5.19,211,290,197,444,328
37,0.88,-0.47,0.01,0.73,-2.44,-5.07,208,274,201,439,328
38,0.9,-0.46,0.0,-3.66,-2.93,-1.1,204,281,198,446,330
39,0.88,-0.47,-0.0,-0.06,-3.91,-0.98,203,280,200,439,329
40,0.88,-0.47,-0.02,0.49,-2.87,-3.6,209,281,200,444,330
41,0.89,-0.47,-0.0,1.53,-2.44,-0.92,208,282,197,448,329
42,0.88,-0.47,-0.01,0.12,-3.17,-2.38,206,284,195,448,331
43,0.89,-0.47,-0.01,3.6,-3.54,-3.36,204,282,197,448,328
44,0.89,-0.47,-0.0,0.61,-2.99,-3.48,208,279,188,447,327
45,0.89,-0.47,-0.01,2.38,-2.5,-2.99,207,279,198,444,332
46,0.88,-0.47,-0.01,2.2,-3.11,-1.89,209,281,197,449,332
47,0.88,-0.47,0.01,0.0,-2.01,-2.62,208,282,198,444,329
48,0.88,-0.49,-0.01,0.61,-2.26,-2.81,210,277,188,449,329
49,0.88,-0.48,-0.01,0.49,-3.05,-2.38,207,282,198,449,324
50,0.89,-0.47,-0.0,0.79,-2.93,-2.32,208,280,197,447,330
51,0.88,-0.48,-0.01,-0.06,-3.17,-2.5,206,280,203,446,329
52,0.87,-0.48,-0.01,0.85,-2.2,-2.87,209,273,201,442,322
53,0.88,-0.47,0.0,0.67,-2.75,-3.23,212,279,200,456,328
54,0.89,-0.47,0.0,1.04,-3.23,-2.2,203,284,198,444,330
55,0.88,-0.48,0.0,1.04,-2.56,-2.87,211,282,199,452,332
56,0.88,-0.48,-0.0,0.24,-2.32,-3.54,210,280,196,441,329
57,0.88,-0.47,-0.0,-0.43,-2.81,-1.83,206,281,205,449,330
58,0.86,-0.46,-0.01,1.1,-3.72,-2.5,209,281,199,451,325
59,0.87,-0.48,-0.01,0.0,-2.38,-3.11,205,283,199,441,325
60,0.87,-0.47,-0.01,0.61,-2.2,-2.93,206,285,195,450,329
61,0.88,-0.47,-0.01,0.06,-2.75,-3.05,206,277,201,451,328
62,0.89,-0.46,-0.0,0.06,-2.75,-3.3,206,278,207,446,331
63,0.89,-0.47,-0.0,-0.12,-2.99,-2.87,209,281,206,448,328
64,0.89,-0.46,-0.01,-0.37,-2.56,-2.62,210,281,199,444,328
65,0.89,-0.46,-0.0,-0.67,-2.87,-2.75,207,280,189,451,323
66,0.89,-0.47,-0.0,1.53,-3.78,-1.83,209,282,199,447,339
67,0.88,-0.47,-0.01,0.98,-3.17,-1.46,208,283,198,448,328
68,0.87,-0.48,-0.01,0.18,-3.11,-1.77,234,280,200,445,327
69,0.88,-0.48,-0.01,-0.18,-2.32,-2.93,207,281,201,450,331
70,0.88,-0.48,-0.02,0.18,-2.38,-3.36,213,283,201,443,329
71,0.87,-0.47,-0.0,0.18,-2.69,-3.05,210,283,199,447,330
72,0.87,-0.46,-0.0,0.61,-2.75,-2.5,207,283,199,443,330
73,0.88,-0.47,-0.01,1.46,-2.99,-2.93,212,277,205,450,328
74,0.89,-0.46,-0.0,0.49,-2.62,-2.62,206,279,201,448,325
75,0.88,-0.47,-0.01,0.55,-3.3,-1.77,210,283,199,445,333
76,0.88,-0.47,-0.0,-0.12,-3.05,-1.77,208,279,198,452,331
77,0.88,-0.48,-0.0,1.4,-3.66,-1.71,209,280,198,444,332
78,0.87,-0.48,-0.02,-0.18,-2.14,-2.93,206,278,195,440,330
79,0.87,-0.48,-0.02,0.24,-2.62,-2.81,206,281,201,448,328
80,0.88,-0.47,0.0,-0.98,-3.05,-2.69,203,281,200,446,328
81,0.9,-0.47,-0.0,-0.61,-2.69,-2.38,206,280,201,448,326
82,0.88,-0.47,-0.01,0.43,-3.11,-2.5,207,279,202,441,328
83,0.89,-0.47,-0.01,1.28,-3.11,-3.72,209,283,199,440,334
84,0.89,-0.48,-0.02,2.14,-3.66,-2.81,207,274,203,446,330
85,0.89,-0.48,-0.0,0.79,-2.99,-1.59,211,282,201,450,324
86,0.89,-0.48,-0.02,-0.37,-2.87,-1.71,206,281,203,442,326
87,0.87,-0.49,-0.0,0.12,-2.32,-3.17,207,283,197,452,331
88,0.87,-0.48,0.0,-0.37,-2.44,-2.81,208,282,200,448,326
89,0.88,-0.48,0.0,-0.37,-2.93,-2.93,208,281,203,447,325
90,0.88,-0.47,-0.0,-0.73,-2.38,-2.44,210,279,201,448,331
91,0.89,-0.48,-0.01,0.43,-2.56,-2.56,207,280,202,447,329
92,0.88,-0.48,0.0,0.06,-2.93,-2.08,207,282,207,448,333
93,0.88,-0.47,-0.0,0.12,-3.54,-1.4,208,281,205,450,331
94,0.87,-0.48,-0.01,0.55,-3.72,-1.77,207,281,196,451,327
95,0.88,-0.48,-0.01,0.24,-3.05,-2.32,210,280,202,450,329
96,0.87,-0.49,-0.01,-1.04,-2.99,-1.71,203,284,203,448,326
97,0.87,-0.49,-0.01,-0.12,-2.26,-2.56,208,280,203,448,332
98,0.89,-0.48,-0.0,0.67,-2.62,-2.87,211,284,204,448,329
99,0.88,-0.48,-0.0,-0.06,-1.95,-2.99,209,283,194,448,331
100,0.88,-0.47,-0.01,0.06,-3.23,-3.11,208,287,203,446,324
101,0.88,-0.48,-0.0,1.4,-2.87,-3.66,212,278,204,453,330
102,0.89,-0.48,-0.01,1.34,-3.05,-3.48,210,282,201,448,329
103,0.86,-0.47,-0.0,-0.49,-3.42,-1.59,208,277,203,447,326
104,0.88,-0.48,-0.01,1.16,-3.48,-2.38,210,284,203,446,333
105,0.88,-0.47,-0.01,-0.43,-2.75,-1.28,215,283,202,444,330
106,0.88,-0.48,-0.0,1.04,-2.5,-2.38,209,287,205,446,330
107,0.89,-0.49,-0.01,-0.06,-2.56,-3.3,208,282,202,445,328
108,0.87,-0.47,-0.01,0.24,-2.14,-2.26,208,282,199,451,328
109,0.89,-0.48,0.0,1.46,-2.87,-2.75,205,282,207,443,331
110,0.88,-0.46,0.0,0.73,-3.11,-1.89,207,284,202,445,329
111,0.89,-0.48,-0.01,0.24,-3.3,-3.11,207,281,199,451,331
112,0.88,-0.48,0.0,0.61,-2.93,-3.05,212,281,202,450,330
113,0.89,-0.48,0.01,0.98,-2.32,-3.23,208,284,202,439,327
114,0.88,-0.5,0.0,-0.61,-1.89,-1.89,208,284,202,442,332
115,0.87,-0.49,0.01,-0.61,-1.53,-2.44,209,286,208,454,331
116,0.88,-0.49,0.01,0.92,-2.81,-3.48,210,281,201,447,325
117,0.87,-0.48,-0.0,1.04,-2.32,-2.75,214,284,195,448,332
118,0.88,-0.48,0.01,-0.06,-3.91,-2.08,211,283,201,449,329
119,0.88,-0.49,0.0,0.43,-3.48,-1.22,210,283,202,446,326
120,0.88,-0.48,-0.0,-0.49,-2.99,-1.95,201,285,204,447,332
121,0.88,-0.49,0.0,0.67,-3.6,-2.75,211,280,206,442,332
122,0.87,-0.48,0.0,0.06,-2.69,-2.32,205,286,204,450,331
123,0.88,-0.48,0.01,1.04,-3.48,-3.05,211,285,202,455,327
124,0.87,-0.48,0.0,0.06,-2.56,-2.99,211,288,204,446,328
125,0.87,-0.48,0.0,0.92,-2.56,-2.81,211,285,202,452,329
126,0.88,-0.47,0.0,0.0,-3.05,-2.32,209,281,201,445,323
127,0.88,-0.48,0.01,0.61,-2.81,-2.62,211,284,205,452,330
128,0.9,-0.48,0.01,0.18,-3.3,-2.26,213,282,210,449,331
129,0.87,-0.49,0.01,-0.49,-2.87,-1.77,210,285,208,441,328
130,0.87,-0.49,-0.0,0.12,-3.17,-2.56,211,290,207,455,328
131,0.88,-0.48,0.0,-0.24,-2.75,-2.26,208,276,205,448,329
132,0.87,-0.48,-0.0,-0.24,-2.69,-2.5,212,279,208,451,329
133,0.88,-0.48,0.0,0.0,-2.56,-3.3,211,283,209,450,324
134,0.89,-0.48,0.01,-0.12,-3.17,-3.11,210,283,198,448,330
135,0.88,-0.47,0.01,0.79,-2.87,-2.08,216,288,205,450,329
136,0.87,-0.48,0.02,0.24,-2.69,-2.32,210,292,204,450,328
137,0.88,-0.47,-0.0,2.26,-3.6,-2.87,214,290,203,448,330
138,0.87,-0.47,-0.0,0.49,-4.33,-2.62,214,285,193,448,330
139,0.88,-0.47,0.01,1.22,-2.44,-2.08,208,285,207,446,326
140,0.88,-0.48,0.0,0.49,-2.87,-2.38,210,280,200,437,328
141,0.88,-0.47,0.0,-0.61,-2.99,-3.3,214,287,202,446,328
142,0.89,-0.46,0.01,1.65,-2.69,-4.58,208,283,205,450,330
143,0.88,-0.48,0.02,0.31,-2.75,-3.72,214,277,202,445,332
144,0.89,-0.46,0.01,0.12,-3.6,-2.08,212,285,200,447,331
145,0.88,-0.46,0.02,-1.95,-3.3,0.06,209,288,210,442,329
146,0.89,-0.47,0.01,-1.83,-3.54,-2.01,210,283,206,445,329
147,0.88,-0.47,0.01,-1.16,-2.44,-3.05,215,282,205,451,330
148,0.87,-0.48,0.01,-3.6,-0.85,-3.72,211,281,208,445,329
149,0.89,-0.46,0.03,-4.03,-1.77,-2.56,206,286,209,449,331
150,0.9,-0.46,-0.0,0.49,-4.21,-3.85,209,285,204,449,333
151,0.89,-0.44,-0.0,-1.28,-3.97,-1.71,206,286,202,442,330
152,0.87,-0.48,0.01,2.01,-6.53,1.28,208,284,208,448,332
153,0.89,-0.47,0.0,1.53,-5.19,-0.49,205,283,207,453,330
154,0.88,-0.49,-0.02,-0.67,-2.87,-1.4,211,281,205,443,328
155,0.87,-0.49,-0.01,0.49,-3.42,-2.69,212,282,205,445,325
156,0.87,-0.49,-0.02,-0.55,-3.48,-2.26,209,287,205,445,332
157,0.88,-0.48,-0.01,-0.24,-2.56,-2.32,212,293,208,446,329
158,0.91,-0.47,0.0,0.0,-1.83,-2.69,209,286,211,446,330
159,0.86,-0.5,0.0,-1.77,-4.76,-0.24,207,282,204,448,330
160,0.9,-0.45,-0.0,4.7,-1.77,-1.71,211,286,207,444,330
161,0.91,-0.44,-0.01,5.37,-4.39,-3.23,207,283,204,448,328
162,0.88,-0.47,0.01,-0.24,-2.2,-1.34,208,284,205,451,326
163,0.89,-0.47,-0.01,-2.69,-2.5,0.24,210,283,199,453,329
164,0.89,-0.47,-0.01,-1.77,-2.81,0.31,209,278,201,449,326
165,0.85,-0.49,-0.01,0.61,-1.95,-3.23,210,285,203,451,328
166,0.87,-0.49,-0.04,-1.16,-0.55,-7.57,214,285,213,445,327
167,0.93,-0.42,0.02,1.34,-0.85,-3.48,211,283,204,450,331
168,0.91,-0.43,0.03,3.23,-2.44,-2.75,209,284,204,447,331
169,0.9,-0.44,-0.0,-0.61,-3.36,-3.54,216,279,209,448,334
170,0.9,-0.44,0.01,3.3,-1.53,-1.89,207,284,206,439,332
171,0.9,-0.45,0.02,-0.85,-4.33,-4.7,210,291,209,448,329
172,0.9,-0.44,0.02,1.22,-3.97,-2.56,211,284,207,445,330
173,0.9,-0.44,0.01,1.46,-3.42,-2.5,208,285,205,447,329
174,0.89,-0.45,0.01,-0.49,-2.01,-2.01,210,285,207,451,333
175,0.89,-0.44,0.02,0.37,-3.05,-2.81,211,284,209,448,325
176,0.9,-0.44,0.01,0.61,-2.62,-2.38,211,285,208,450,331
177,0.9,-0.43,0.02,0.67,-2.08,-2.99,214,280,207,443,332
178,0.9,-0.43,0.03,0.98,-2.99,-2.81,210,278,202,450,328
179,0.91,-0.45,0.03,0.73,-2.44,-4.27,217,283,206,453,330
180,0.89,-0.44,0.02,0.61,-1.77,-3.11,211,283,209,451,329
181,0.9,-0.44,0.02,0.18,-3.23,-2.62,211,286,203,448,332
182,0.9,-0.45,0.02,0.67,-3.11,-2.69,211,285,207,450,328
183,0.91,-0.44,0.02,0.67,-3.17,-2.56,211,299,204,450,330
184,0.9,-0.44,0.03,1.34,-2.69,-2.75,211,279,209,444,329
