,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.8,-0.4,-0.39,-18.68,17.09,-2.99,414,229,170,448,360
1,0.83,-0.4,-0.39,-6.04,-2.5,1.1,415,226,169,450,359
2,0.8,-0.43,-0.38,-0.37,-3.85,-2.2,419,227,169,446,359
3,0.82,-0.4,-0.42,-5.8,-0.24,0.24,416,226,171,445,358
4,0.8,-0.42,-0.41,-3.11,-1.1,-1.89,416,236,167,451,359
5,0.82,-0.4,-0.43,-2.01,-3.78,0.18,417,228,169,453,359
6,0.82,-0.41,-0.39,-2.38,2.62,-0.79,415,232,170,448,355
7,0.83,-0.4,-0.4,0.18,-2.87,-1.53,415,231,173,447,359
8,0.81,-0.41,-0.39,-0.73,-1.71,-2.08,415,231,173,452,359
9,0.81,-0.4,-0.39,-0.24,-5.0,-4.09,419,239,166,448,361
10,0.81,-0.38,-0.41,0.43,-2.14,-2.32,414,229,173,446,359
11,0.82,-0.39,-0.42,-0.18,-3.17,-0.12,416,229,174,449,359
12,0.83,-0.4,-0.41,-1.53,-2.93,-4.64,417,230,173,452,359
13,0.82,-0.42,-0.39,0.85,-2.14,-1.89,416,229,174,453,356
14,0.81,-0.43,-0.39,0.24,-2.26,-2.01,412,233,169,450,360
15,0.81,-0.44,-0.36,-6.29,5.0,2.62,417,233,175,450,361
16,0.84,-0.41,-0.38,-5.8,3.85,1.46,414,232,175,450,359
17,0.86,-0.37,-0.34,-1.59,-2.62,-6.59,413,236,171,445,361
18,0.87,-0.36,-0.34,-1.34,-1.83,1.59,412,231,175,450,359
19,0.85,-0.38,-0.34,-0.73,-3.05,-2.44,411,237,175,449,359
20,0.86,-0.37,-0.36,1.16,-2.87,-3.48,419,232,175,453,357
21,0.84,-0.39,-0.35,2.38,-2.62,-1.04,411,235,177,453,359
22,0.84,-0.39,-0.38,1.65,-1.83,-3.6,412,235,176,450,360
23,0.85,-0.39,-0.36,2.01,-3.11,-1.59,418,234,174,444,359
24,0.84,-0.4,-0.42,20.08,-33.45,-8.3,414,234,175,449,358
25,0.83,-0.4,-0.42,0.67,-4.15,-5.43,410,236,170,444,349
26,0.8,-0.39,-0.39,-1.59,-0.73,-2.75,412,235,176,450,358
27,0.83,-0.4,-0.41,1.83,-2.5,-1.04,414,236,173,447,357
28,0.81,-0.41,-0.41,0.31,-1.53,-2.81,412,234,175,445,359
29,0.82,-0.41,-0.4,1.28,-2.32,-1.1,412,234,174,452,359
30,0.82,-0.42,-0.39,0.98,-2.38,-1.83,414,234,173,453,360
31,0.81,-0.42,-0.39,0.06,-2.87,-1.59,410,240,169,450,362
32,0.82,-0.42,-0.4,-1.77,-1.22,-1.83,413,237,176,452,361
33,0.82,-0.41,-0.39,-1.1,-2.93,-3.48,409,237,171,448,360
34,0.83,-0.39,-0.4,0.0,-2.44,-1.83,413,234,176,452,360
35,0.83,-0.4,-0.39,-0.55,-2.5,-1.83,411,237,173,450,361
36,0.82,-0.42,-0.39,1.16,-2.62,-1.65,407,236,177,445,359
37,0.81,-0.43,-0.39,2.5,-1.89,-1.1,410,236,175,451,360
38,0.8,-0.44,-0.37,-0.37,-3.23,-2.5,407,234,177,446,362
39,0.81,-0.42,-0.38,-0.37,-3.36,-3.3,411,232,174,453,361
40,0.81,-0.43,-0.39,0.31,-3.66,-4.03,410,237,177,452,357
41,0.82,-0.4,-0.4,0.43,-2.81,-3.17,408,234,177,452,360
42,0.81,-0.39,-0.39,2.14,-1.46,-1.4,410,235,175,452,358
43,0.82,-0.41,-0.39,-0.12,-1.89,-1.65,409,238,177,449,362
44,0.8,-0.44,-0.37,1.4,-3.78,-2.08,409,238,175,449,360
45,0.83,-0.39,-0.4,1.1,-3.36,-3.42,409,239,177,448,358
46,0.83,-0.4,-0.4,1.1,-2.38,-3.54,409,238,174,450,360
47,0.83,-0.4,-0.39,-1.4,-2.99,-3.72,406,235,178,451,361
48,0.83,-0.39,-0.39,-0.79,-1.4,-4.09,411,235,179,449,360
49,0.85,-0.36,-0.42,-0.12,-0.79,-6.47,407,236,173,450,358
50,0.83,-0.4,-0.38,-0.67,-3.91,-1.95,412,237,179,456,361
51,0.83,-0.39,-0.38,0.61,-1.89,-3.05,411,236,178,449,361
52,0.82,-0.41,-0.38,1.53,-2.01,-2.01,404,239,177,450,360
53,0.83,-0.41,-0.38,0.18,-2.87,-2.38,408,235,175,449,363
54,0.81,-0.41,-0.36,0.85,-3.72,-2.75,410,239,177,460,361
55,0.84,-0.39,-0.38,0.49,-3.72,-4.15,409,237,180,449,360
56,0.84,-0.38,-0.38,0.12,-3.66,-3.72,414,243,176,451,361
57,0.84,-0.38,-0.38,0.85,-2.14,-1.89,408,239,180,452,352
58,0.84,-0.39,-0.38,0.43,-2.26,-2.56,409,237,181,454,359
59,0.84,-0.39,-0.38,0.55,-2.81,-2.87,407,253,179,447,359
60,0.82,-0.4,-0.36,0.79,-3.72,-2.75,407,238,177,451,361
61,0.84,-0.39,-0.37,-1.1,-3.42,-4.33,407,237,175,446,360
62,0.84,-0.38,-0.38,-1.16,-2.99,-3.72,407,239,180,449,361
63,0.83,-0.39,-0.38,1.65,-2.93,-1.34,413,237,179,454,361
64,0.84,-0.39,-0.37,-0.24,-1.16,-1.4,406,241,179,452,363
65,0.84,-0.39,-0.38,0.73,-2.5,-1.04,405,238,174,449,362
66,0.85,-0.38,-0.37,0.61,-2.62,-3.05,407,240,180,455,362
67,0.84,-0.39,-0.37,0.12,-2.75,-2.99,408,237,181,452,361
68,0.84,-0.37,-0.37,-1.53,-3.66,-3.23,407,236,177,454,361
