,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,0.8,-0.56,-0.18,-5.68,5.31,-3.11,366,243,335,453,360
1,0.83,-0.52,-0.19,5.31,-3.23,-4.64,402,223,432,435,354
2,0.82,-0.54,-0.2,2.75,-4.58,-2.62,403,228,435,444,358
3,0.83,-0.54,-0.22,-2.62,-2.62,-4.33,402,236,434,451,360
4,0.81,-0.55,-0.19,-0.79,-2.75,-1.16,404,236,434,446,359
5,0.84,-0.52,-0.19,-3.36,-3.97,4.21,405,253,434,442,360
6,0.76,-0.61,-0.24,-6.84,-1.22,1.28,405,237,436,450,356
7,0.78,-0.57,-0.22,-1.77,-2.75,-3.85,404,236,430,444,355
8,0.78,-0.57,-0.23,-0.49,-1.59,-2.26,406,239,433,450,358
9,0.78,-0.57,-0.25,3.17,-3.6,-7.75,408,240,432,451,359
10,0.81,-0.55,-0.23,0.0,-3.17,-1.71,405,240,432,451,355
11,0.8,-0.56,-0.22,0.37,-2.62,-2.08,406,240,432,446,358
12,0.8,-0.56,-0.22,0.06,-3.42,-3.05,403,235,431,457,359
13,0.79,-0.55,-0.23,1.4,-3.36,-2.2,405,241,432,455,357
14,0.78,-0.56,-0.22,-1.77,-3.91,-2.14,406,239,431,450,357
15,0.81,-0.58,-0.2,-0.24,-4.46,-0.98,402,243,429,451,356
16,0.81,-0.54,-0.27,-2.32,-2.14,-4.46,405,237,425,452,357
17,0.8,-0.55,-0.23,2.08,0.85,1.1,403,243,425,458,357
18,0.81,-0.54,-0.21,3.42,-1.95,-3.11,401,240,429,453,354
19,0.79,-0.56,-0.23,-2.01,-2.38,-0.79,403,243,428,449,357
20,0.81,-0.55,-0.22,1.04,-2.44,-3.85,409,244,427,453,355
21,0.82,-0.55,-0.21,1.83,-5.07,0.49,403,241,426,457,356
22,0.77,-0.58,-0.24,0.43,-4.15,0.31,400,238,430,452,355
23,0.78,-0.56,-0.23,-0.06,-2.93,-1.4,401,239,426,456,356
24,0.79,-0.56,-0.22,4.76,-3.54,-3.72,402,242,425,451,357
25,0.74,-0.62,-0.24,2.56,-5.19,-5.98,412,245,425,452,357
26,0.81,-0.54,-0.23,2.38,-1.53,-3.05,401,241,427,450,362
27,0.78,-0.57,-0.22,2.01,-3.6,-3.42,401,242,425,454,360
28,0.81,-0.55,-0.23,-0.31,-4.21,-4.58,401,242,428,453,356
29,0.8,-0.55,-0.23,0.37,-1.77,-2.32,401,238,427,453,357
30,0.8,-0.56,-0.23,0.43,-2.62,-3.66,402,239,422,449,360
31,0.8,-0.55,-0.23,1.04,-2.87,-1.95,401,245,427,454,358
32,0.8,-0.55,-0.22,-0.43,-2.32,-2.14,390,247,419,456,362
33,0.8,-0.56,-0.22,-0.49,-2.69,-2.38,401,241,424,455,353
34,0.8,-0.55,-0.21,0.18,-2.26,-1.65,403,245,427,454,363
35,0.8,-0.55,-0.21,-0.67,-2.81,-2.5,399,246,425,455,360
36,0.8,-0.55,-0.22,-1.28,-2.62,-2.56,399,246,422,459,360
37,0.8,-0.55,-0.23,1.22,-4.09,-3.23,398,244,424,456,360
38,0.82,-0.54,-0.22,0.43,-2.81,-3.6,400,243,424,451,363
39,0.82,-0.54,-0.23,0.79,-3.11,-2.75,400,246,432,454,360
40,0.81,-0.54,-0.22,0.18,-2.62,-4.82,399,244,420,460,362
41,0.81,-0.54,-0.23,0.73,-1.53,-1.77,400,244,420,456,361
42,0.81,-0.54,-0.23,1.4,-2.99,-1.59,404,244,422,455,361
43,0.79,-0.56,-0.23,-0.79,-2.75,-2.62,400,248,417,468,360
44,0.8,-0.55,-0.22,-0.49,-2.26,-2.62,401,242,422,459,359
45,0.8,-0.55,-0.21,0.73,-3.11,-2.87,402,246,419,455,361
46,0.79,-0.57,-0.23,-1.28,-5.25,-2.44,397,245,419,450,360
47,0.8,-0.54,-0.21,1.4,1.95,1.46,402,242,418,454,360
48,0.8,-0.54,-0.18,2.2,-2.99,-1.16,400,247,419,460,350
49,0.82,-0.52,-0.24,3.36,-3.42,-3.42,398,242,422,458,358
50,0.78,-0.5,-0.21,0.49,-4.94,-3.11,398,246,417,457,361
51,0.8,-0.55,-0.25,-0.43,-4.94,-5.43,394,248,417,460,362
52,0.79,-0.55,-0.23,0.0,-4.7,-3.72,392,247,417,453,361
53,0.8,-0.55,-0.24,3.05,-3.36,-2.01,389,243,419,460,362
54,0.77,-0.57,-0.26,-2.08,-3.54,-0.06,390,245,418,459,359
55,0.76,-0.59,-0.24,0.18,-1.59,-0.49,385,246,419,461,361
56,0.78,-0.57,-0.24,1.22,-3.11,-2.32,391,248,415,457,360
57,0.76,-0.58,-0.24,4.15,-2.81,-2.08,389,246,416,456,361
58,0.79,-0.56,-0.26,-1.53,-5.68,-8.61,390,247,416,457,360
59,0.79,-0.56,-0.25,3.42,-7.81,-8.06,389,246,416,461,362
60,0.77,-0.58,-0.25,1.1,-3.78,-2.87,392,246,416,454,360
61,0.77,-0.59,-0.24,-2.93,1.65,-0.31,391,244,417,457,360
62,0.76,-0.59,-0.25,-0.73,-2.5,0.0,392,247,413,452,362
63,0.75,-0.6,-0.23,-0.98,-2.44,-3.6,388,249,413,460,359
64,0.76,-0.58,-0.23,-0.12,-1.59,-3.42,392,249,416,456,359
65,0.76,-0.57,-0.2,-1.89,9.64,0.37,390,245,418,461,358
66,0.81,-0.6,-0.07,-1.1,5.62,-7.26,396,248,418,453,354
67,0.83,-0.55,-0.09,2.81,-6.41,-2.56,391,244,417,461,362
68,0.83,-0.57,-0.08,6.23,-6.35,-0.06,381,248,418,457,361
69,0.8,-0.59,-0.04,2.14,-4.46,-0.37,413,246,414,460,362
70,0.78,-0.62,-0.06,-1.34,-3.3,-2.5,380,249,418,458,362
71,0.81,-0.59,-0.07,0.0,-2.01,-3.72,382,246,415,458,361
72,0.84,-0.59,-0.07,-0.67,-4.64,-5.07,378,246,414,457,363
73,0.79,-0.6,-0.06,10.07,-20.02,-3.91,380,249,411,457,358
74,0.85,-0.55,-0.09,2.56,-4.64,-5.31,380,248,412,452,357
75,0.81,-0.59,-0.11,-0.18,-1.83,-5.31,376,251,416,457,362
76,0.8,-0.59,-0.12,-0.73,-3.05,-3.42,373,250,412,462,363
77,0.78,-0.6,-0.1,-2.01,0.37,-2.01,380,248,414,459,363
78,0.81,-0.58,-0.06,-2.93,-1.16,2.44,377,250,408,456,362
79,0.83,-0.57,-0.13,3.42,-5.86,-5.37,378,246,413,454,361
80,0.81,-0.57,-0.1,5.0,-4.76,-8.97,375,250,411,454,363
81,0.85,-0.56,-0.13,4.88,-4.39,-4.03,374,248,407,454,357
82,0.8,-0.59,-0.08,4.94,-3.3,-0.67,376,247,411,459,362
83,0.78,-0.6,-0.09,3.85,-5.19,-2.32,371,249,412,452,361
84,0.79,-0.59,-0.07,-0.92,1.89,-2.26,376,246,409,458,361
85,0.82,-0.57,-0.1,2.26,-2.62,-4.33,385,250,410,459,363
86,0.82,-0.57,-0.09,1.46,-2.87,-4.03,389,248,411,456,361
87,0.82,-0.57,-0.1,1.16,-2.81,-4.33,390,251,407,454,359
88,0.82,-0.56,-0.08,1.16,-3.23,-3.91,392,247,410,453,365
89,0.82,-0.58,-0.1,-1.95,-3.66,-1.53,392,246,408,459,357
90,0.8,-0.59,-0.09,-1.34,-2.81,-1.22,392,248,407,457,360
91,0.8,-0.58,-0.09,-0.61,-3.11,-3.23,389,250,409,450,362
92,0.8,-0.58,-0.1,0.37,-2.99,-2.26,390,250,407,455,362
93,0.8,-0.56,-0.08,-1.53,-3.3,-0.43,387,247,405,454,363
94,0.81,-0.57,-0.07,-1.34,-0.98,-3.11,382,249,409,450,364
95,0.82,-0.57,-0.08,1.28,-1.71,-2.81,386,249,406,454,362
96,0.83,-0.56,-0.11,1.89,-3.78,-2.38,387,247,407,450,359
97,0.82,-0.56,-0.09,0.67,-2.87,-2.38,389,249,408,457,358
98,0.82,-0.57,-0.08,0.67,-3.42,-2.93,388,248,413,453,363
99,0.83,-0.56,-0.08,0.43,-3.17,-3.85,390,249,402,449,355
100,0.82,-0.56,-0.08,0.67,-3.05,-2.5,389,250,409,455,357
101,0.82,-0.55,-0.08,2.01,-1.4,-2.44,390,251,406,455,357
102,0.83,-0.56,-0.09,0.37,-2.38,-2.56,389,251,410,456,356
103,0.82,-0.55,-0.07,0.0,-2.93,-1.22,390,252,409,454,357
104,0.82,-0.57,-0.08,1.53,-2.26,-2.81,388,249,406,454,353
105,0.8,-0.58,-0.08,-2.75,-3.36,-3.66,390,250,402,452,359
106,0.82,-0.56,-0.07,-2.32,-2.14,-5.07,388,245,406,452,357
107,0.83,-0.54,-0.07,-2.81,-2.56,-3.97,388,251,407,454,357
108,0.84,-0.54,-0.11,1.4,-3.23,-2.81,388,250,406,459,357
109,0.81,-0.56,-0.09,0.0,-3.3,-3.91,382,251,406,454,357
110,0.87,-0.51,-0.1,0.79,-1.71,-2.56,383,247,407,459,355
111,0.82,-0.55,-0.1,1.04,-5.62,-2.2,385,249,402,457,362
112,0.87,-0.49,-0.1,0.18,-1.83,-5.86,395,248,406,455,358
113,0.9,-0.46,-0.1,4.94,-2.56,-2.75,393,250,402,455,356
114,0.9,-0.46,-0.13,0.18,-3.6,-0.79,395,252,409,458,358
115,0.86,-0.52,-0.09,0.31,-2.99,0.31,396,249,407,457,360
116,0.85,-0.52,-0.09,6.1,-1.22,-1.22,395,248,407,459,360
117,0.86,-0.5,-0.1,3.78,-3.05,-3.91,393,252,404,456,358
118,0.85,-0.52,-0.08,0.31,-3.78,-2.99,396,253,403,455,357
119,0.85,-0.52,-0.09,1.04,-3.66,-2.44,388,260,404,458,353
120,0.85,-0.51,-0.08,0.67,-3.3,-3.17,391,253,402,455,360
121,0.86,-0.51,-0.08,-0.18,-3.23,-2.87,390,250,405,452,360
122,0.86,-0.51,-0.09,1.77,-4.15,-3.36,381,253,406,450,360
123,0.85,-0.51,-0.09,0.49,-3.72,-2.93,393,253,404,454,361
124,0.86,-0.51,-0.1,0.18,-3.6,-3.97,393,264,405,454,357
125,0.85,-0.51,-0.09,-0.24,-2.14,-2.26,393,251,405,454,361
126,0.86,-0.52,-0.09,0.43,-3.05,-2.75,394,250,406,453,360
127,0.86,-0.52,-0.08,0.67,-3.23,-2.81,390,251,403,455,359
128,0.87,-0.51,-0.09,1.04,-3.05,-2.38,392,253,405,459,362
129,0.85,-0.51,-0.08,0.92,-2.62,-2.32,394,249,403,459,359
130,0.86,-0.51,-0.08,-0.49,-2.32,-2.2,393,253,401,459,360
131,0.85,-0.52,-0.07,0.06,-3.48,-2.08,397,249,405,459,360
132,0.85,-0.5,-0.08,1.22,-3.3,-2.99,392,253,404,466,361
133,0.86,-0.51,-0.09,0.37,-2.81,-3.78,394,254,403,455,362
134,0.86,-0.51,-0.09,-0.31,-2.2,-1.83,395,253,402,456,359
135,0.85,-0.51,-0.09,1.16,-2.26,-2.56,395,250,405,454,360
136,0.86,-0.5,-0.09,0.92,-2.75,-2.26,393,252,405,459,360
137,0.86,-0.51,-0.08,0.43,-2.81,-2.62,392,253,404,455,364
138,0.86,-0.51,-0.09,0.06,-3.11,-2.93,392,253,399,458,362
139,0.85,-0.52,-0.07,0.79,-3.05,-2.32,390,253,404,455,358
140,0.85,-0.51,-0.08,0.24,-3.48,-2.69,393,251,402,455,360
141,0.86,-0.52,-0.08,0.73,-3.36,-2.87,394,254,405,452,367
142,0.86,-0.5,-0.08,-0.43,-2.99,-2.44,395,252,404,453,359
143,0.86,-0.5,-0.08,-0.06,-2.75,-2.5,396,248,402,471,361
144,0.86,-0.5,-0.09,-0.49,-2.5,-2.01,394,255,401,454,361
145,0.86,-0.51,-0.09,0.43,-2.08,-1.53,394,251,403,455,361
146,0.87,-0.5,-0.09,0.49,-2.87,-2.44,395,253,402,455,360
147,0.86,-0.51,-0.09,0.24,-2.62,-2.81,383,250,402,454,363
148,0.86,-0.51,-0.08,0.18,-2.56,-2.93,392,253,401,463,361
149,0.85,-0.5,-0.08,1.04,-2.62,-2.08,389,252,404,450,363
150,0.86,-0.51,-0.07,1.04,-2.93,-3.72,394,249,401,456,361
151,0.87,-0.51,-0.08,0.18,-2.99,-2.44,389,254,401,451,362
152,0.85,-0.52,-0.08,0.06,-2.93,-2.62,393,254,400,449,363
153,0.86,-0.51,-0.08,-0.24,-2.69,-2.81,392,252,401,456,362
154,0.86,-0.5,-0.09,0.0,-2.99,-2.75,391,259,401,455,364
155,0.86,-0.5,-0.09,-0.12,-2.93,-3.11,391,250,398,458,357
156,0.86,-0.5,-0.09,0.06,-2.2,-2.26,391,259,404,454,360
157,0.86,-0.5,-0.08,0.79,-3.05,-2.87,406,253,402,454,363
158,0.86,-0.51,-0.07,0.24,-2.56,-2.5,392,254,398,449,362
159,0.85,-0.51,-0.07,0.55,-2.93,-2.69,394,250,400,454,361
160,0.86,-0.51,-0.08,0.85,-2.69,-2.38,391,249,400,455,360
161,0.86,-0.51,-0.08,0.79,-2.99,-3.11,394,251,401,455,362
162,0.86,-0.5,-0.07,-0.31,-1.83,-2.32,387,248,401,454,361
163,0.87,-0.51,-0.08,-0.18,-2.99,-1.89,394,249,399,454,361
164,0.86,-0.51,-0.08,0.37,-2.62,-2.38,393,251,399,450,363
165,0.86,-0.51,-0.08,-0.24,-3.6,-2.81,394,254,396,450,361
166,0.86,-0.5,-0.08,0.43,-3.66,-3.3,390,251,399,452,361
167,0.86,-0.5,-0.08,-0.31,-2.08,-1.4,391,254,399,454,363
168,0.86,-0.51,-0.09,1.46,-3.23,-2.2,391,252,400,457,361
169,0.86,-0.5,-0.08,0.67,-2.08,-2.81,393,257,402,454,359
170,0.86,-0.5,-0.08,0.73,-2.44,-2.14,392,255,402,450,359
171,0.86,-0.51,-0.07,-0.31,-2.01,-1.71,394,252,399,455,362
172,0.86,-0.51,-0.07,0.49,-3.85,-2.69,391,252,399,451,362
173,0.86,-0.5,-0.08,0.31,-3.05,-3.23,391,256,399,449,362
174,0.86,-0.5,-0.08,0.0,-2.99,-2.56,389,249,400,455,360
175,0.86,-0.51,-0.08,0.49,-2.69,-2.44,393,249,400,458,363
176,0.86,-0.51,-0.07,0.79,-2.87,-2.2,397,254,400,456,360
177,0.86,-0.51,-0.07,0.55,-2.93,-2.56,392,251,399,454,361
178,0.86,-0.51,-0.08,0.24,-2.5,-2.26,394,252,396,450,358
