,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb
0,1.0,-0.3,-0.33,28.08,-8.85,-8.12,228,247,165,411,356
1,0.79,-0.38,-0.49,64.27,-43.46,-5.43,405,262,159,428,319
2,0.78,-0.46,-0.4,27.1,-4.39,-3.42,410,259,154,433,333
3,0.82,-0.49,-0.4,7.45,-3.36,-6.9,408,261,158,435,336
4,0.77,-0.49,-0.38,0.49,-8.97,2.81,406,259,161,441,339
5,0.78,-0.47,-0.4,-1.1,-4.09,-2.26,403,259,164,442,342
6,0.77,-0.48,-0.39,3.42,-2.08,-2.26,399,262,168,434,343
7,0.77,-0.49,-0.4,0.43,-3.54,-1.95,427,261,162,441,340
8,0.77,-0.48,-0.42,1.22,-2.99,-2.93,394,260,165,446,344
9,0.75,-0.48,-0.41,-2.01,-1.53,-4.27,394,259,166,435,345
10,0.76,-0.48,-0.42,1.16,-2.32,-1.16,395,260,168,438,344
11,0.77,-0.48,-0.41,-0.49,-1.95,-1.46,392,261,166,444,340
12,0.77,-0.47,-0.42,-1.71,-3.23,-1.53,385,258,168,441,342
13,0.77,-0.48,-0.42,-0.98,-2.2,-3.48,388,259,168,443,346
14,0.77,-0.47,-0.42,0.49,-3.6,-2.81,388,261,169,441,345
15,0.76,-0.47,-0.42,-0.37,-3.11,-1.77,387,262,169,442,346
16,0.77,-0.48,-0.43,0.24,-1.83,-3.97,387,259,168,442,342
17,0.77,-0.46,-0.41,2.44,-1.1,-1.89,387,260,172,443,347
18,0.78,-0.48,-0.42,2.14,-2.93,-2.32,387,258,168,440,346
19,0.77,-0.47,-0.4,0.92,-2.81,-3.42,383,259,174,441,349
20,0.78,-0.48,-0.4,0.0,-3.42,-2.5,387,259,173,441,348
21,0.78,-0.49,-0.39,-1.53,-2.81,-3.11,379,259,174,442,346
22,0.78,-0.48,-0.4,0.73,-2.93,-1.77,384,260,174,446,342
23,0.77,-0.48,-0.4,0.31,-2.5,-2.93,385,260,174,442,348
24,0.79,-0.47,-0.39,-0.43,-2.32,-2.75,383,261,172,442,348
25,0.79,-0.47,-0.41,0.55,-2.69,-2.56,384,259,171,445,344
26,0.78,-0.47,-0.4,2.01,-1.77,-3.3,381,260,174,444,347
27,0.78,-0.47,-0.4,0.67,-2.62,-2.81,384,260,171,443,347
28,0.79,-0.46,-0.39,0.43,-2.08,-2.14,387,264,171,446,346
29,0.78,-0.47,-0.39,0.98,-3.17,-2.69,384,258,175,446,343
30,0.79,-0.47,-0.39,0.49,-3.17,-3.54,380,259,175,442,348
31,0.79,-0.48,-0.4,-1.89,-2.2,-2.87,384,261,174,439,351
32,0.79,-0.47,-0.4,1.04,-3.36,-3.17,381,264,171,447,346
33,0.79,-0.47,-0.4,-0.49,-3.85,-3.05,385,260,173,445,347
34,0.83,-0.48,-0.45,0.31,-2.2,-3.23,385,263,176,444,347
35,0.79,-0.47,-0.4,0.61,-1.46,-3.85,385,262,179,437,351
36,0.78,-0.47,-0.39,1.34,-3.17,-2.14,383,261,173,443,351
37,0.79,-0.46,-0.39,0.06,-2.2,-2.87,386,260,177,445,350
38,0.79,-0.47,-0.4,0.85,-2.81,-2.32,387,262,177,442,351
39,0.78,-0.46,-0.39,0.85,-2.5,-1.95,385,262,176,443,354
40,0.78,-0.47,-0.37,-1.53,-1.65,-3.91,387,261,177,445,350
41,0.8,-0.47,-0.41,0.67,-2.2,-2.99,381,257,180,438,350
42,0.8,-0.46,-0.4,0.18,-2.01,-2.62,385,263,179,441,353
43,0.8,-0.45,-0.39,0.24,-2.62,-2.56,381,264,179,444,353
44,0.8,-0.45,-0.38,1.04,-2.44,-2.99,384,269,179,444,355
45,0.8,-0.46,-0.38,0.79,-2.62,-2.99,383,262,182,441,355
46,0.81,-0.49,-0.39,-0.24,-2.2,-3.05,379,267,177,444,355
47,0.8,-0.46,-0.39,0.24,-2.87,-2.62,382,262,180,445,354
48,0.8,-0.46,-0.39,-0.37,-3.6,-2.56,380,261,180,447,353
49,0.79,-0.45,-0.39,0.31,-3.54,-2.56,381,264,182,443,354
50,0.79,-0.45,-0.4,0.49,-2.26,-3.17,380,262,178,453,353
51,0.79,-0.44,-0.39,0.92,-2.81,-1.77,378,267,179,440,354
52,0.8,-0.46,-0.38,-1.65,-2.44,-3.05,379,264,179,439,349
53,0.8,-0.45,-0.4,1.65,-3.11,-2.44,388,264,179,446,353
54,0.8,-0.45,-0.38,-0.55,-2.87,-2.81,378,260,180,444,353
55,0.8,-0.46,-0.39,-1.77,-3.48,-3.54,379,262,183,444,353
56,0.79,-0.47,-0.38,0.0,0.98,-4.27,380,261,181,456,355
57,0.78,-0.47,-0.39,3.85,-2.44,-2.62,380,263,185,443,352
58,0.82,-0.49,-0.41,0.12,-0.85,-0.98,377,262,182,448,355
59,0.81,-0.48,-0.39,-0.49,0.61,-12.76,381,263,183,444,355
60,0.81,-0.44,-0.41,-3.72,-2.93,-3.85,382,263,185,443,353
61,0.8,-0.45,-0.42,-2.2,-3.97,-1.46,381,265,184,442,354
62,0.8,-0.43,-0.4,11.11,-5.55,-5.37,381,264,183,438,350
63,0.8,-0.42,-0.37,-2.38,-0.12,-1.83,381,264,182,446,353
64,0.8,-0.39,-0.35,-5.62,3.6,-6.16,380,264,185,445,355
65,0.8,-0.41,-0.36,-1.83,-3.23,0.06,381,264,181,440,353
66,0.83,-0.43,-0.42,1.04,-2.99,-1.53,381,261,180,446,351
67,0.81,-0.43,-0.39,0.67,-2.26,-0.85,382,262,185,442,354
68,0.81,-0.43,-0.39,0.24,-2.08,-1.46,381,262,183,442,353
69,0.81,-0.42,-0.37,-1.59,-3.05,-3.17,383,265,185,438,355
70,0.8,-0.42,-0.37,0.79,-2.81,-1.59,383,263,183,444,352
71,0.82,-0.43,-0.39,-0.24,-1.77,-3.48,379,266,181,445,348
72,0.83,-0.43,-0.39,-0.73,-3.97,-5.0,387,266,183,445,354
73,0.82,-0.41,-0.39,0.92,-4.46,-3.23,381,266,183,442,353
74,0.83,-0.42,-0.39,4.27,-2.08,0.06,376,264,185,441,353
75,0.82,-0.42,-0.38,-0.85,-3.54,-3.3,383,265,183,442,352
76,0.81,-0.42,-0.37,-2.26,-3.42,-1.83,381,264,186,445,353
77,0.83,-0.41,-0.38,0.06,-1.59,-2.14,380,265,183,438,354
78,0.82,-0.4,-0.37,-1.95,-2.69,-0.79,380,266,183,442,351
79,0.82,-0.41,-0.38,-0.12,-1.77,-2.08,379,266,185,438,354
80,0.81,-0.41,-0.35,-2.44,-6.96,-2.81,382,265,185,445,357
81,0.86,-0.39,-0.36,-1.77,-6.77,-6.59,382,264,181,445,356
82,0.81,-0.41,-0.41,-0.98,-2.26,-5.31,375,268,183,444,355
83,0.79,-0.41,-0.44,-12.08,2.32,-0.55,377,270,187,440,353
84,0.79,-0.44,-0.42,-0.24,-3.48,-5.86,374,262,188,437,353
85,0.85,-0.4,-0.38,0.43,2.26,1.46,374,265,184,438,355
86,0.85,-0.41,-0.42,-13.67,1.65,-7.45,376,267,183,441,353
87,0.82,-0.46,-0.44,1.89,-0.98,-1.16,376,265,183,446,355
88,0.82,-0.42,-0.32,2.87,-2.75,3.66,375,267,184,445,354
89,0.85,-0.42,-0.34,1.83,-2.08,-1.77,375,263,185,440,353
90,0.85,-0.43,-0.34,0.31,-2.93,-2.14,373,268,184,444,355
91,0.83,-0.42,-0.32,0.92,-1.4,-2.5,375,265,186,439,353
92,0.82,-0.44,-0.32,-0.12,-4.82,-3.72,378,266,185,442,354
93,0.84,-0.43,-0.35,1.34,-1.34,-4.03,373,269,184,441,353
94,0.84,-0.42,-0.33,0.73,-3.23,-3.36,375,265,187,437,356
95,0.85,-0.43,-0.34,2.14,-3.48,-3.54,374,264,186,441,354
96,0.85,-0.43,-0.33,1.83,-3.48,-3.6,376,268,186,444,354
97,0.86,-0.44,-0.38,-0.06,-0.37,-3.91,375,265,187,445,353
98,0.84,-0.42,-0.31,-0.49,-4.21,-1.59,377,265,188,445,353
99,0.86,-0.43,-0.33,3.23,-2.62,-3.42,375,267,183,441,354
100,0.84,-0.43,-0.32,-0.98,-3.78,-2.75,375,270,185,442,351
101,0.84,-0.43,-0.32,0.18,-3.91,-2.75,378,267,189,442,354
102,0.84,-0.43,-0.32,-0.55,-1.95,-3.48,375,265,195,445,353
103,0.84,-0.43,-0.31,0.0,-2.32,-2.69,376,265,196,441,354
104,0.84,-0.43,-0.31,0.92,-2.44,-2.75,377,265,187,439,357
105,0.85,-0.43,-0.31,0.0,-3.36,-3.23,376,269,187,441,351
106,0.82,-0.44,-0.31,-1.53,-4.39,-1.95,377,265,187,453,355
107,0.78,-0.44,-0.31,7.08,-2.62,-4.7,374,260,191,441,354
108,0.83,-0.43,-0.27,-0.18,0.18,-2.5,374,268,190,456,355
109,0.83,-0.44,-0.34,-2.44,-1.4,2.2,372,266,189,442,355
110,0.84,-0.42,-0.31,-1.77,-1.34,-3.11,376,266,200,441,353
111,0.85,-0.42,-0.3,0.37,-3.48,-1.89,376,266,188,439,356
112,0.86,-0.42,-0.3,3.05,-2.14,-2.44,378,267,191,445,352
113,0.89,-0.44,-0.31,0.12,-2.81,-3.3,376,267,189,445,354
114,0.86,-0.42,-0.3,1.59,-5.0,-1.28,372,269,186,439,355
115,0.86,-0.42,-0.3,1.46,-2.2,-3.48,378,265,183,442,350
116,0.85,-0.43,-0.3,2.44,-2.75,-3.17,378,265,188,442,355
117,0.85,-0.42,-0.3,0.0,-3.66,-3.17,376,268,185,442,352
118,0.85,-0.42,-0.29,0.85,-2.01,-2.87,376,264,189,443,355
119,0.85,-0.43,-0.29,1.04,-2.69,-2.93,375,265,188,436,347
120,0.84,-0.43,-0.29,1.04,-6.16,-2.62,379,266,189,443,353
121,0.85,-0.42,-0.3,-0.37,-2.32,-1.22,378,266,190,445,356
122,0.85,-0.42,-0.3,-0.55,-3.42,-2.75,378,266,191,443,351
123,0.85,-0.43,-0.31,1.1,-3.66,-3.97,377,265,188,436,351
124,0.84,-0.42,-0.31,0.73,-2.69,-2.01,376,269,186,442,355
125,0.83,-0.43,-0.31,-1.83,-2.44,-1.59,378,266,188,442,354
126,0.84,-0.43,-0.29,-1.59,-2.93,-2.69,376,264,184,436,353
127,0.84,-0.47,-0.31,-0.18,-4.82,-6.9,374,269,186,445,352
128,0.88,-0.42,-0.31,0.61,-2.99,-2.93,379,268,197,438,356
129,0.87,-0.42,-0.31,0.49,-3.3,-2.81,375,269,191,442,356
130,0.85,-0.42,-0.29,1.95,-0.79,-0.85,377,268,190,445,355
131,0.84,-0.42,-0.28,1.71,-2.2,0.79,378,265,192,442,355
132,0.87,-0.42,-0.31,-1.04,0.61,-0.18,379,265,186,440,355
133,0.87,-0.42,-0.32,0.85,-3.85,-3.17,376,265,190,450,365
134,0.87,-0.42,-0.31,-1.71,-2.01,-3.42,379,265,188,441,356
135,0.86,-0.42,-0.3,-0.61,-2.81,-2.01,378,265,190,454,354
136,0.85,-0.42,-0.3,-1.46,-2.69,-2.2,375,268,191,443,352
137,0.8,-0.44,-0.28,-1.89,-2.62,-2.08,379,265,188,440,354
138,0.85,-0.44,-0.34,-0.79,-3.3,-3.48,378,264,189,444,350
139,0.85,-0.43,-0.31,-4.03,-2.81,-0.06,378,269,187,442,354
140,0.84,-0.43,-0.3,-3.78,-3.85,1.16,378,263,193,442,353
141,0.85,-0.43,-0.3,-2.56,-5.55,0.61,375,268,189,447,353
142,0.86,-0.44,-0.3,3.11,1.53,-0.24,376,266,193,438,354
143,0.83,-0.45,-0.3,-2.56,-3.3,-4.76,377,268,189,446,357
144,0.81,-0.44,-0.29,1.34,-4.58,-4.33,377,266,192,445,353
145,0.83,-0.44,-0.31,-0.43,-4.52,-2.56,378,266,189,445,350
146,0.83,-0.44,-0.31,-3.6,-2.69,-3.42,379,268,188,441,350
147,0.86,-0.45,-0.34,0.73,-2.87,-2.5,380,270,191,438,352
148,0.86,-0.43,-0.31,-0.67,-3.05,-4.09,375,268,193,443,353
149,0.87,-0.43,-0.32,0.37,0.12,-3.42,380,266,189,438,354
150,0.86,-0.43,-0.3,0.85,-2.32,-2.69,372,266,190,441,355
151,0.86,-0.43,-0.29,0.18,-2.5,-2.99,378,268,190,442,352
152,0.85,-0.43,-0.3,-0.92,-3.54,-2.62,383,269,187,442,353
153,0.86,-0.44,-0.29,-0.24,-2.99,-2.56,396,266,187,437,355
154,0.85,-0.44,-0.3,-1.4,-4.64,-1.59,379,270,192,447,347
155,0.84,-0.44,-0.3,-0.73,-3.78,-1.95,381,263,185,442,355
156,0.84,-0.43,-0.29,-0.55,-2.14,-2.69,377,268,190,437,352
157,0.84,-0.44,-0.29,1.53,-2.2,-2.99,378,266,190,443,353
158,0.85,-0.44,-0.29,0.85,-2.44,-3.42,375,265,193,442,353
159,0.85,-0.44,-0.29,1.04,-2.75,-3.05,382,264,190,442,357
160,0.85,-0.44,-0.29,-0.06,-3.17,-2.38,378,267,190,437,353
161,0.85,-0.44,-0.3,0.06,-2.62,-3.3,377,265,194,442,354
162,0.85,-0.43,-0.3,0.92,-3.23,-2.81,374,266,194,442,352
163,0.85,-0.43,-0.3,-0.06,-3.48,-3.17,376,268,194,442,355
164,0.85,-0.43,-0.31,1.53,-1.04,-3.17,373,267,193,443,353
165,0.85,-0.42,-0.3,2.01,-2.5,-2.14,377,266,195,437,347
166,0.87,-0.42,-0.3,2.93,-0.73,-2.01,378,267,193,441,354
167,0.86,-0.42,-0.29,0.85,-1.71,-1.71,377,268,193,442,355
168,0.86,-0.43,-0.29,1.89,-3.11,-2.26,378,266,193,437,351
169,0.87,-0.42,-0.29,0.55,-3.97,-2.99,373,267,193,443,353
170,0.86,-0.42,-0.3,1.1,-4.09,-3.23,374,267,191,440,353
